"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Site QA","grouping","site qa"
,,"Slab Cast Ins","expanded","slab cast ins","site qa"
,,"Ductwork - First Fix","expanded","first fix","ductwork","site qa"
,,"Ductwork - Second Fix","expanded","second fix","ductwork","site qa"
,,"Heating Water","expanded","heating water","site qa"
,,"Chilled Water","expanded","chilled water","site qa"
,,"Condenser Water","expanded","condenser water","site qa"
,,"Condensate Drains","expanded","condensate drains","site qa"
,,"Pipework","expanded","pipework","site qa"
,,"Electrical Installation - First Fix","expanded","first fix","electrical installation","site qa"
,,"Electrical Installation - Second Fix","expanded","second fix","electrical installation","site qa"
,,"BMS Installation - First Fix","expanded","bms installation","first fix","site qa"
,,"BMS Installation - Second Fix","expanded","bms installation","second fix","site qa"
,"Columns"
,,"B5",,"b5"
,,"B4",,"b4"
,,"B3",,"b3"
,,"B2",,"b2"
,,"B1",,"b1"
,,"G",,"ground level"
,,"L1",,"level 1"
,,"L2",,"level 2"
,,"L3",,"level 3"
,,"L4",,"level 4"
,,"L5",,"level 5"
,,"L6",,"level 6"
,,"L7",,"level 7"
,,"L8",,"level 8"
,,"L9",,"level 9"
,,"L10",,"level 10"
,,"L11",,"level 11"
,,"L12",,"level 12"
,,"L13",,"level 13"
,,"L14",,"level 14"
,,"L15",,"level 15"
,,"L16",,"level 16"
,,"L17",,"level 17"
,,"L18",,"level 18"
,,"L19",,"level 19"
,,"L20",,"level 20"
,,"L21",,"level 21"
,,"L22",,"level 22"
,,"L23",,"level 23"
,,"L24",,"level 24"
,,"L25",,"level 25"
,,"L26",,"level 26"
,,"L27",,"level 27"
,,"L28",,"level 28"
,,"L29",,"level 29"

