resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,step,,,Penos,,,,,,,,
,,,,,,step,,,,Basement 1,,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 1,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 2,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 3,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 4,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 5,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 6,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 7,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 8,,,,,,
,,,,,,step,,,,Ground,,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 1,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 2,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 3,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 4,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 5,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 6,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 7,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 8,,,,,,
,,,,,,step,,,,Level 1,,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 1,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 2,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 3,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 4,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 5,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 6,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 7,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 8,,,,,,
,,,,,,step,,,,Level 2,,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 1,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 2,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 3,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 4,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 5,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 6,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 7,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 8,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 9,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 10,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 11,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 12,,,,,,
,,,,,,step,,,,Level 3,,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 1,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 2,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 3,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 4,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 5,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 6,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 7,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 8,,,,,,
,,,,,,step,,,,Level 4,,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 1,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 2,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 3,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 4,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 5,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 6,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 7,,,,,,
,,,,,,step,,,,Level 5,,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 1,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 2,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 3,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 4,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 5,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 6,,,,,,
,,,,,,step,,,,Level 6,,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 1,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 2,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 3,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 4,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 5,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 6,,,,,,
,,,,,,step,,,,Level 7,,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 1,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 2,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 3,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 4,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 5,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 6,,,,,,
,,,,,,step,,,,Level 8,,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 1,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 2,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 3,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 4,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 5,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 6,,,,,,
,,,,,,step,,,,Level 9,,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 1,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 2,,,,,,
