resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,,,,,step,,,Plant and Equipment Install,,,,,,,,
Plant & Equipment Install - Hot Water Plant,Plant & Equipment Install - Cold Water Pumpset,Plant & Equipment Install - Sewer Pumpwell/s,Plant & Equipment Install - Stormwater Pumpwell/s,Plant & Equipment Install - Stormwater Treatment System/Filter,Plant & Equipment Install - Rainwater Tank,Plant & Equipment Install - Water Storage Tank,Plant & Equipment Install - GIT,Plant & Equipment Install - Diversion Valve,Plant & Equipment Install - Rainwater Filtration System,,folder-with-checklists,,,,Inground ,,,,,,,
Plant & Equipment Install - Hot Water Plant,Plant & Equipment Install - Cold Water Pumpset,Plant & Equipment Install - Sewer Pumpwell/s,Plant & Equipment Install - Stormwater Pumpwell/s,Plant & Equipment Install - Stormwater Treatment System/Filter,Plant & Equipment Install - Rainwater Tank,Plant & Equipment Install - Water Storage Tank,Plant & Equipment Install - GIT,Plant & Equipment Install - Diversion Valve,Plant & Equipment Install - Rainwater Filtration System,,folder-with-checklists,,,,Basement 2 ,,,,,,,
Plant & Equipment Install - Hot Water Plant,Plant & Equipment Install - Cold Water Pumpset,Plant & Equipment Install - Sewer Pumpwell/s,Plant & Equipment Install - Stormwater Pumpwell/s,Plant & Equipment Install - Stormwater Treatment System/Filter,Plant & Equipment Install - Rainwater Tank,Plant & Equipment Install - Water Storage Tank,Plant & Equipment Install - GIT,Plant & Equipment Install - Diversion Valve,Plant & Equipment Install - Rainwater Filtration System,,folder-with-checklists,,,,Basement 1,,,,,,,
Plant & Equipment Install - Hot Water Plant,Plant & Equipment Install - Cold Water Pumpset,Plant & Equipment Install - Sewer Pumpwell/s,Plant & Equipment Install - Stormwater Pumpwell/s,Plant & Equipment Install - Stormwater Treatment System/Filter,Plant & Equipment Install - Rainwater Tank,Plant & Equipment Install - Water Storage Tank,Plant & Equipment Install - GIT,Plant & Equipment Install - Diversion Valve,Plant & Equipment Install - Rainwater Filtration System,,folder-with-checklists,,,,Roof,,,,,,,
,,,,,,,,,,,step,,,Commissioning/Handover,,,,,,,,
Comm/HO - TMV,Comm/HO - Tempering Valve,Comm/HO - Apartment Final Commissioning - Fixture Group,Comm/HO - Commercial Final Commissioning - Fixture Group,FINAL Commissioning - Hot Water Plant,FINAL Commissioning - Cold Water Pumpset,FINAL Commissioning - Sewer Pumpwell/s,FINAL Commissioning - Stormwater Pumpwell/s,FINAL Commissioning - Stormwater Treatment System/Filter,FINAL Commissioning - Diversion Valve,,folder-with-checklists,,,,Inground,,,,,,,
,,,,,,,,,,,step,,,,Retail/tenancy,,,,,,,
Comm/HO - TMV,Comm/HO - Tempering Valve,Comm/HO - Apartment Final Commissioning - Fixture Group,Comm/HO - Commercial Final Commissioning - Fixture Group,FINAL Commissioning - Hot Water Plant,FINAL Commissioning - Cold Water Pumpset,FINAL Commissioning - Sewer Pumpwell/s,FINAL Commissioning - Stormwater Pumpwell/s,FINAL Commissioning - Stormwater Treatment System/Filter,FINAL Commissioning - Diversion Valve,,folder-with-checklists,,,,,Basement 2 - to Level 1,,,,,,
,,,,,,,,,,,step,,,,,Basement 1,,,,,,
Comm/HO - TMV,Comm/HO - Tempering Valve,Comm/HO - Apartment Final Commissioning - Fixture Group,Comm/HO - Commercial Final Commissioning - Fixture Group,FINAL Commissioning - Hot Water Plant,FINAL Commissioning - Cold Water Pumpset,FINAL Commissioning - Sewer Pumpwell/s,FINAL Commissioning - Stormwater Pumpwell/s,FINAL Commissioning - Stormwater Treatment System/Filter,FINAL Commissioning - Diversion Valve,,folder-with-checklists,,,,,,Tenancy 1,,,,,
