resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,,step,,,"DRAINS, STACKS & VENTS",,,,,,,,
,,,,,,,,step,,,,Retail/tenancy,,,,,,,
"Drains: Underslung - Sewer, Stormwater & Vent","Drains: Stack Riser - Sewer, Stormwater & Vent",Drains: Syphonic - Underslung,Drains: Syphonic - Stack Riser,"Drains: Greasy Waste - Underslung, Stacks & Vents","Drains: Trade Waste - Underslung, Stacks & Vents",Drains: Pumpline - Underslung & Stacks,Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Basement 2 - to Level 1,,,,,,
,,,,,,,,step,,,,,Basement 1,,,,,,
"Drains: Underslung - Sewer, Stormwater & Vent","Drains: Stack Riser - Sewer, Stormwater & Vent",Drains: Syphonic - Underslung,Drains: Syphonic - Stack Riser,"Drains: Greasy Waste - Underslung, Stacks & Vents","Drains: Trade Waste - Underslung, Stacks & Vents",Drains: Pumpline - Underslung & Stacks,Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,,Tenancy 1,,,,,
"Drains: Underslung - Sewer, Stormwater & Vent","Drains: Stack Riser - Sewer, Stormwater & Vent",Drains: Syphonic - Underslung,Drains: Syphonic - Stack Riser,"Drains: Greasy Waste - Underslung, Stacks & Vents","Drains: Trade Waste - Underslung, Stacks & Vents",Drains: Pumpline - Underslung & Stacks,Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,,Tenancy 2,,,,,
"Drains: Underslung - Sewer, Stormwater & Vent","Drains: Stack Riser - Sewer, Stormwater & Vent",Drains: Syphonic - Underslung,Drains: Syphonic - Stack Riser,"Drains: Greasy Waste - Underslung, Stacks & Vents","Drains: Trade Waste - Underslung, Stacks & Vents",Drains: Pumpline - Underslung & Stacks,Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,,Tenancy 3,,,,,
"Drains: Underslung - Sewer, Stormwater & Vent","Drains: Stack Riser - Sewer, Stormwater & Vent",Drains: Syphonic - Underslung,Drains: Syphonic - Stack Riser,"Drains: Greasy Waste - Underslung, Stacks & Vents","Drains: Trade Waste - Underslung, Stacks & Vents",Drains: Pumpline - Underslung & Stacks,Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,,Tenancy 4,,,,,
"Drains: Underslung - Sewer, Stormwater & Vent","Drains: Stack Riser - Sewer, Stormwater & Vent",Drains: Syphonic - Underslung,Drains: Syphonic - Stack Riser,"Drains: Greasy Waste - Underslung, Stacks & Vents","Drains: Trade Waste - Underslung, Stacks & Vents",Drains: Pumpline - Underslung & Stacks,Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,,Tenancy 5,,,,,
"Drains: Underslung - Sewer, Stormwater & Vent","Drains: Stack Riser - Sewer, Stormwater & Vent",Drains: Syphonic - Underslung,Drains: Syphonic - Stack Riser,"Drains: Greasy Waste - Underslung, Stacks & Vents","Drains: Trade Waste - Underslung, Stacks & Vents",Drains: Pumpline - Underslung & Stacks,Pod Drain Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,,Tenancy 6,,,,,
