resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,,,,,,step,,,Rough in,,,,,,,,
,,,,,,,,,,,,step,,,,Retail/tenancy,,,,,,,
Main Run Rough In (Cold Water),Main Run Rough In (Hot Water),Main Run Rough In (Non Potable/Rainwater),Main Run Rough In (Gas),Rough In - CW Design Components,Rough In - RW Design Components,Rough In - Mains Water Meter Assembly,Rough In - Meter Install (Fitout),Rough In - Meter Manifold Install,Rough In: Commercial (High & Low Level Rough In) Water Services ,Rough In: Apartment Water Services (High & Low Level Rough In),Pod Rough In Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,Basement 2 - to Level 1,,,,,,
,,,,,,,,,,,,step,,,,,Basement 1,,,,,,
Main Run Rough In (Cold Water),Main Run Rough In (Hot Water),Main Run Rough In (Non Potable/Rainwater),Main Run Rough In (Gas),Rough In - CW Design Components,Rough In - RW Design Components,Rough In - Mains Water Meter Assembly,Rough In - Meter Install (Fitout),Rough In - Meter Manifold Install,Rough In: Commercial (High & Low Level Rough In) Water Services ,Rough In: Apartment Water Services (High & Low Level Rough In),Pod Rough In Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,,Tenancy 1,,,,,
Main Run Rough In (Cold Water),Main Run Rough In (Hot Water),Main Run Rough In (Non Potable/Rainwater),Main Run Rough In (Gas),Rough In - CW Design Components,Rough In - RW Design Components,Rough In - Mains Water Meter Assembly,Rough In - Meter Install (Fitout),Rough In - Meter Manifold Install,Rough In: Commercial (High & Low Level Rough In) Water Services ,Rough In: Apartment Water Services (High & Low Level Rough In),Pod Rough In Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,,Tenancy 2,,,,,
Main Run Rough In (Cold Water),Main Run Rough In (Hot Water),Main Run Rough In (Non Potable/Rainwater),Main Run Rough In (Gas),Rough In - CW Design Components,Rough In - RW Design Components,Rough In - Mains Water Meter Assembly,Rough In - Meter Install (Fitout),Rough In - Meter Manifold Install,Rough In: Commercial (High & Low Level Rough In) Water Services ,Rough In: Apartment Water Services (High & Low Level Rough In),Pod Rough In Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,,Tenancy 3,,,,,
Main Run Rough In (Cold Water),Main Run Rough In (Hot Water),Main Run Rough In (Non Potable/Rainwater),Main Run Rough In (Gas),Rough In - CW Design Components,Rough In - RW Design Components,Rough In - Mains Water Meter Assembly,Rough In - Meter Install (Fitout),Rough In - Meter Manifold Install,Rough In: Commercial (High & Low Level Rough In) Water Services ,Rough In: Apartment Water Services (High & Low Level Rough In),Pod Rough In Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,,Tenancy 4,,,,,
Main Run Rough In (Cold Water),Main Run Rough In (Hot Water),Main Run Rough In (Non Potable/Rainwater),Main Run Rough In (Gas),Rough In - CW Design Components,Rough In - RW Design Components,Rough In - Mains Water Meter Assembly,Rough In - Meter Install (Fitout),Rough In - Meter Manifold Install,Rough In: Commercial (High & Low Level Rough In) Water Services ,Rough In: Apartment Water Services (High & Low Level Rough In),Pod Rough In Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,,Tenancy 5,,,,,
Main Run Rough In (Cold Water),Main Run Rough In (Hot Water),Main Run Rough In (Non Potable/Rainwater),Main Run Rough In (Gas),Rough In - CW Design Components,Rough In - RW Design Components,Rough In - Mains Water Meter Assembly,Rough In - Meter Install (Fitout),Rough In - Meter Manifold Install,Rough In: Commercial (High & Low Level Rough In) Water Services ,Rough In: Apartment Water Services (High & Low Level Rough In),Pod Rough In Connection (Prefab Bathroom or Laundry),folder-with-checklists,,,,,,Tenancy 6,,,,,
