resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,step,,,Fitoff,,,,,,,,
,,,,,,,step,,,,Indigo,,,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,Basement 2 to Roof,,,,,,
,,,,,,,step,,,,,Level 2,,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 1,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 2,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 3,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 4,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 5,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 6,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 7,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 8,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 9,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 10,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 11,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 12,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 13,,,,,
,,,,,,,step,,,,,Level 3,,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 1,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 2,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 3,,,,,
Fit Off/ Fixture Install - Toilets & Cisterns,Fit Off/ Fixture Install - All Items,Fit Off/ Fixture Install - Waste & Trap Clean Out,Fit Off/ Fixture Install - Wall Tundish,Fit Off/ Fixture Install - Hose Taps,Fit Off/ Fixture Install - Gas Cooktop,Fit Off/ Fixture Install - Cleaners Sink,folder-with-checklists,,,,,,Room 4,,,,,
