"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ffd48543-5f14-47dc-84af-e0fa4986a90e","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"4e70155d-cbad-4710-a8a6-5ebaa6c3cc6a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Asphalt"
"8a749567-410f-48f1-881e-27781db37364","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Asphalt","Deliveries"
"5d499a56-ed09-45a9-80a5-72312a2a261c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Asphalt","Deliveries","Design Report 1"
"a3003338-ca81-4f49-9b42-5356226ff792","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Asphalt","Deliveries","Design Report 2"
"1daaeca0-809f-400b-b95e-112e4f5ce076","","checklist-flat","not-started","Verified Program","checklist-flat","FALSE","FALSE","Site QA","Asphalt","Verified Program"
"383ed816-45dc-464e-bfb7-1234e2bdee43","","checklist-flat","not-started","QMP","checklist-flat","FALSE","FALSE","Site QA","Asphalt","QMP"
"e98f10c7-1bf4-477a-bb59-ed61b71944f0","","checklist-flat","not-started","Production and Testing ITPs","checklist-flat","FALSE","FALSE","Site QA","Asphalt","Production and Testing ITPs"
"17ffdcd2-d403-4a56-9ec5-bf51f59cba17","","checklist-flat","not-started","Approved JMF","checklist-flat","FALSE","FALSE","Site QA","Asphalt","Approved JMF"
"268eef3c-1795-4403-a512-d83cded49a0c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Chipseal"
"73e5c522-67ac-494d-b4fc-cc33c4077b8f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Chipseal","Deliveries"
"bc77e159-e738-4cd1-96de-261bbe273ca9","","checklist-flat","not-started","Verified Program","checklist-flat","FALSE","FALSE","Site QA","Chipseal","Verified Program"
"a4695799-77ef-4d4d-b49a-061cda7fd39d","","checklist-flat","not-started","QMP","checklist-flat","FALSE","FALSE","Site QA","Chipseal","QMP"
"915b4902-be72-4107-b457-3bb8de43af2c","","checklist-flat","not-started","Production and Testing ITPs","checklist-flat","FALSE","FALSE","Site QA","Chipseal","Production and Testing ITPs"
"fc3ece5e-b390-465d-a904-ba7a2fa5759c","","checklist-flat","not-started","Approved JMF","checklist-flat","FALSE","FALSE","Site QA","Chipseal","Approved JMF"
"ac57bc9e-1744-4ded-a343-57dbb5ee1f28","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Road Rehabs"
"45ee0141-acdb-49f9-b85a-2fcdcdf56634","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Road Rehabs","SH2 Edgeley Road"
"237bc5ea-bb05-478d-8896-0ea1eb1c7eac","","checklist-sectioned","work-in-progress","ITP - In-Situ Modified Basecourse","checklist","FALSE","FALSE","Site QA","Road Rehabs","SH2 Edgeley Road","ITP - In-Situ Modified Basecourse"
"6f72620c-a06c-440a-886b-2a31c9a3c6ce","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Road Rehabs","SH03 Stewart Road"
"43f5eeea-6302-4519-adda-83507ca26597","","checklist-sectioned","pass","ITP - In-Situ Modified Basecourse - Stewart Rd","checklist","FALSE","FALSE","Site QA","Road Rehabs","SH03 Stewart Road","ITP - In-Situ Modified Basecourse - Stewart Rd"
"f780c2b8-16ba-4e8c-bf16-7505eb5fed66","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Road Rehabs","SH57 Currin's Road"
