type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,
checklist-flat,Verified Program,,,,,Yes,Verified Program,a3ce49c5-a4d1-42f2-95c4-acf61bdfbb16,,,,,,,
checkpoint,Verified Program,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,Approved JMF,,,,,Yes,Approved JMF,b8eb8d25-6b00-4555-88b1-fd1d5c217015,,,,,,,
checkpoint,Approved JMF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,QMP,,,,,Yes,QMP,dd354f9d-68fb-42bb-bddc-cadbbf7b50ae,,,,,,,
checkpoint,QMP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,Production and Testing ITPs,,,,,Yes,Production and Testing ITPs,21a70bf6-59b2-46e5-8f4b-6bddde70f403,,,,,,,
checkpoint,Production and Testing ITPs,,,,,,,,,,,,,,
