"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ab11ba69-750b-4f5f-8e62-ee747356d794","","not-started","zSYS - Doors & Frames ITP (old version)","checklist","FALSE","FALSE","Main Scope","B7","250.11.238","Doors & Frames ITP"
"027a5d67-fed6-41be-8a5a-44448177a7b4","","not-started","Corner Guards ITP","checklist","FALSE","FALSE","Main Scope","B7","250.11.238","Corner Guards ITP"
"61f02849-3a79-43ed-b237-ed65f2e6bc26","","not-started","Wall Protection ITP","checklist","FALSE","FALSE","Main Scope","B7","250.11.238","Wall Protection ITP"
"93e77ba4-a7c6-4287-a87d-884a82cd1c45","","not-started","","folder","TRUE","FALSE","Main Scope","B7","250.11.239"
"843df372-578d-4aee-a1d0-609d3c29e71e","","not-started","zSYS - Doors & Frames ITP (old version)","checklist","FALSE","FALSE","Main Scope","B7","250.11.239","Doors & Frames ITP"
"60a74136-c3bf-4b21-8f21-a1f9c74c74ec","","not-started","Corner Guards ITP","checklist","FALSE","FALSE","Main Scope","B7","250.11.239","Corner Guards ITP"
"15649b79-a5bc-4ad1-b1f9-2cfc56b41450","","not-started","Wall Protection ITP","checklist","FALSE","FALSE","Main Scope","B7","250.11.239","Wall Protection ITP"
"2f8d9381-398c-478a-814d-815132b388bc","","not-started","","folder","TRUE","FALSE","Main Scope","B7","250.11.240"
"7b2b6c16-1e57-4983-ba12-3667140f4cc8","","not-started","zSYS - Doors & Frames ITP (old version)","checklist","FALSE","FALSE","Main Scope","B7","250.11.240","Doors & Frames ITP"
"fdc05013-b6dc-4f11-9c28-32e2fe741d7f","","not-started","Corner Guards ITP","checklist","FALSE","FALSE","Main Scope","B7","250.11.240","Corner Guards ITP"
"a40a1b38-ed51-42e4-a3fd-1212642f1ec3","","not-started","Wall Protection ITP","checklist","FALSE","FALSE","Main Scope","B7","250.11.240","Wall Protection ITP"
"17007ffd-3a0a-4583-8929-488f891b205d","","work-in-progress","","folder","TRUE","FALSE","Main Scope","B6 - Platform centre level"
"bf5d0a41-3c5c-438c-9c22-bb32345f80e2","","not-started","","folder","TRUE","FALSE","Main Scope","B6 - Platform centre level","250.01.201"
"a237f774-29d3-4bf0-b9e5-dadb6fc21d7e","","not-started","Partitions ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.01.201","Partitions ITP"
"36882d48-b726-4066-863a-0d49a3534c0a","","not-started","Ceiling ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.01.201","Ceiling ITP"
"32bc0dd7-b484-4c40-b605-d032ad4f3c20","","not-started","zSYS - Doors & Frames ITP (old version)","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.01.201","Doors & Frames ITP"
"3183fd82-6a32-48c4-97f4-f055e18db084","","not-started","Corner Guards ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.01.201","Corner Guards ITP"
"9565f9b0-cf28-48b4-812c-cd1ede41c924","","not-started","Wall Protection ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.01.201","Wall Protection ITP"
"a555929c-0c03-49a6-9be7-9d1d812f8073","","not-started","","folder","TRUE","FALSE","Main Scope","B6 - Platform centre level","250.04.201a"
"27cec9d2-5018-4298-83fe-ca3b3a943b3b","","not-started","Partitions ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.04.201a","Partitions ITP"
"cd467537-ad88-49c6-a79d-08cae9d018fe","","not-started","Ceiling ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.04.201a","Ceiling ITP"
"7b55bda1-b04e-44bc-a584-a73e61367538","","not-started","zSYS - Doors & Frames ITP (old version)","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.04.201a","Doors & Frames ITP"
"b02d7759-3ccf-407e-b320-dc0ca18dbba1","","not-started","Corner Guards ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.04.201a","Corner Guards ITP"
"2f3cf3ab-44c8-4a76-9322-ea319cfc6fda","","not-started","Wall Protection ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.04.201a","Wall Protection ITP"
"06a3a2c3-57eb-467d-91c3-c72425c54d20","","not-started","","folder","TRUE","FALSE","Main Scope","B6 - Platform centre level","250.04.202a"
"66d052aa-f3c7-49a5-9aa3-47b6076a941d","","not-started","Partitions ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.04.202a","Partitions ITP"
"97170731-370f-4546-9e50-72ae6cecfa06","","not-started","Ceiling ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.04.202a","Ceiling ITP"
"303e449e-4a77-4ced-8ce1-71b66750ec03","","not-started","zSYS - Doors & Frames ITP (old version)","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.04.202a","Doors & Frames ITP"
"e4617ffa-38fa-4366-af74-9c86de07546f","","not-started","Corner Guards ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.04.202a","Corner Guards ITP"
"fd825eaf-38fc-4cae-8c5e-df58f53666c8","","not-started","Wall Protection ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.04.202a","Wall Protection ITP"
"97f579ac-b72d-4c1b-a533-46c014efc60e","","not-started","","folder","TRUE","FALSE","Main Scope","B6 - Platform centre level","250.04.204a"
"0f113bc2-e84e-4b6c-b5f0-025854dc6409","","not-started","Ceiling ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.04.204a","Ceiling ITP"
"bc72e5c6-12d1-4977-ac33-3c4c6f178a0c","","not-started","zSYS - Doors & Frames ITP (old version)","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.04.204a","Doors & Frames ITP"
"29420e2f-5c01-47e6-a27d-ca2c8a493a81","","not-started","Corner Guards ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.04.204a","Corner Guards ITP"
"49a66f45-268f-4f78-b326-09268af60787","","not-started","Wall Protection ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.04.204a","Wall Protection ITP"
"69291fb5-16ff-4b20-8fc1-b73ffd9cf4d2","","not-started","","folder","TRUE","FALSE","Main Scope","B6 - Platform centre level","250.05.201a"
"d828cf4f-a2c1-4401-a9b2-3bbc9da37f70","","not-started","Partitions ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.05.201a","Partitions ITP"
"6e8648de-b8e1-42cc-891f-83ba23737ace","","not-started","Ceiling ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.05.201a","Ceiling ITP"
"7039ec7d-7669-4584-8760-a29d1192e723","","not-started","zSYS - Doors & Frames ITP (old version)","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.05.201a","Doors & Frames ITP"
"87a0fc91-f692-445a-a6d3-d0a3b782b943","","not-started","Corner Guards ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.05.201a","Corner Guards ITP"
"ce27b425-8747-4948-bf26-544225ab8b70","","not-started","Wall Protection ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.05.201a","Wall Protection ITP"
"4a4208db-6ac0-4867-b5d3-b80684a5ae76","","not-started","","folder","TRUE","FALSE","Main Scope","B6 - Platform centre level","250.05.207"
"b8c3145f-bffa-442f-8204-967680403a7d","","not-started","Partitions ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.05.207","Partitions ITP"
"068279f7-b33e-4bb1-a2f4-46916e7b77db","","not-started","Ceiling ITP","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.05.207","Ceiling ITP"
"5e47e845-7537-442c-8fb2-461cd20acbe8","","not-started","zSYS - Doors & Frames ITP (old version)","checklist","FALSE","FALSE","Main Scope","B6 - Platform centre level","250.05.207","Doors & Frames ITP"
