"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"763bf17c-ece5-48e0-9f67-bf2976874989","","not-started","COC","checklist","FALSE","FALSE","COC"
"c9fedd73-33d3-4b4f-a217-6b5e15765a73","","work-in-progress","","folder","TRUE","FALSE","SP2C - Level 2"
"1a163449-91ff-532d-855a-a81f37ce9f3e","","work-in-progress","","folder","TRUE","FALSE","SP2C - Level 2","Site QA"
"f58abe64-dfe2-5777-b7b3-812e508ea0ce","","work-in-progress","QA - Blockwork Checklist","checklist","FALSE","FALSE","SP2C - Level 2","Site QA","QA - Blockwork Checklist 12/6/2024 E4M level 2 pour 001"
"8e90065f-85f6-5969-a012-b6ef1ebcde3d","","work-in-progress","QA - Blockwork Checklist","checklist","FALSE","FALSE","SP2C - Level 2","Site QA","QA - Blockwork Checklist 2/7/2024, E4M, Level 2, pour 002"
"4422c82e-763c-5d68-9101-205cf9b2cd81","","work-in-progress","QA - Blockwork Checklist","checklist","FALSE","FALSE","SP2C - Level 2","Site QA","QA - Blockwork Checklist 6/7/2024, E4M, Level 2, pour 003"
"5a4b2b27-d2fb-59ca-81fd-645d01d422e4","","work-in-progress","","folder","TRUE","FALSE","SP2C - Level 2","Daily Diary"
"e2a954fb-2e71-5e93-a727-8f02b8d3cdda","","work-in-progress","Daily Diary","checklist","FALSE","FALSE","SP2C - Level 2","Daily Diary","Daily Diary 22/5/24"
"4ac934de-07fe-433e-8ff4-6f360e90007c","","pass","","folder","TRUE","FALSE","SP3 - Power Centre 69 (PC69)"
"7cb4b1a0-9836-4a15-9c61-616be3b29a74","","pass","Pour Checklist","checklist","FALSE","FALSE","SP3 - Power Centre 69 (PC69)","PC69 Pour No: 1"
"0de75be0-81ee-4de9-88f5-7ed631611830","","pass","Pour Checklist","checklist","FALSE","FALSE","SP3 - Power Centre 69 (PC69)","PC69 Pour No: 2"
