"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"763bf17c-ece5-48e0-9f67-bf2976874989","","not-started","COC","checklist","FALSE","FALSE","COC"
"4ac934de-07fe-433e-8ff4-6f360e90007c","","pass","","folder","TRUE","FALSE","SP3 - Power Centre 69 (PC69)"
"7cb4b1a0-9836-4a15-9c61-616be3b29a74","","pass","Pour Checklist","checklist","FALSE","FALSE","SP3 - Power Centre 69 (PC69)","PC69 Pour No: 1"
"0de75be0-81ee-4de9-88f5-7ed631611830","","pass","Pour Checklist","checklist","FALSE","FALSE","SP3 - Power Centre 69 (PC69)","PC69 Pour No: 2"
