"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Apartment Fit-Off"
,"Scope",,,"site qa"
,"Rows"
,,"BLK-A","grouping","blk-a"
,,"BLK-A - Level 3 - A311",,"apartment fit-off checklist [e]","fit-off","blk-a","site qa","a311","level 3"
,,"BLK-A - Level 3 - A312",,"apartment fit-off checklist [e]","fit-off","blk-a","site qa","level 3","a312"
,,"BLK-A - Level 3 - A313",,"apartment fit-off checklist [e]","a313","fit-off","blk-a","site qa","level 3"
,,"BLK-A - Level 3 - A314",,"apartment fit-off checklist [e]","a314","fit-off","blk-a","site qa","level 3"
,,"BLK-A - Level 3 - A315",,"apartment fit-off checklist [e]","fit-off","blk-a","a315","site qa","level 3"
,,"BLK-A - Level 3 - A316",,"apartment fit-off checklist [e]","fit-off","blk-a","site qa","a316","level 3"
,,"BLK-A - Level 3 - A317",,"apartment fit-off checklist [e]","fit-off","blk-a","site qa","a317","level 3"
,,"BLK-A - Level 3 - A318",,"apartment fit-off checklist [e]","fit-off","blk-a","site qa","a318","level 3"
,,"BLK-A - Level 3 - A319",,"apartment fit-off checklist [e]","fit-off","blk-a","site qa","a319","level 3"
,,"BLK-A - Level 3 - A320",,"apartment fit-off checklist [e]","fit-off","blk-a","site qa","a320","level 3"
,,"BLK-A - Level 4 - A411",,"level 4","apartment fit-off checklist [e]","fit-off","blk-a","site qa","a411"
,,"BLK-A - Level 4 - A412",,"level 4","apartment fit-off checklist [e]","a412","fit-off","blk-a","site qa"
,,"BLK-A - Level 4 - A413",,"level 4","apartment fit-off checklist [e]","a413","fit-off","blk-a","site qa"
,,"BLK-A - Level 4 - A414",,"level 4","apartment fit-off checklist [e]","fit-off","blk-a","a414","site qa"
,,"BLK-A - Level 4 - A415",,"level 4","apartment fit-off checklist [e]","fit-off","blk-a","site qa","a415"
,,"BLK-A - Level 4 - A416",,"level 4","apartment fit-off checklist [e]","fit-off","blk-a","site qa","a416"
,,"BLK-A - Level 4 - A417",,"level 4","apartment fit-off checklist [e]","fit-off","blk-a","site qa","a417"
,,"BLK-A - Level 4 - A418",,"level 4","apartment fit-off checklist [e]","fit-off","blk-a","site qa","a418"
,,"BLK-A - Level 4 - A419",,"level 4","apartment fit-off checklist [e]","fit-off","blk-a","site qa","a419"
,,"BLK-A - Level 4 - A420",,"level 4","apartment fit-off checklist [e]","fit-off","blk-a","site qa","a420"
,,"BLK-A - Level 5 - A511",,"apartment fit-off checklist [e]","a511","level 5","fit-off","blk-a","site qa"
,,"BLK-A - Level 5 - A512",,"apartment fit-off checklist [e]","level 5","a512","fit-off","blk-a","site qa"
,,"BLK-A - Level 5 - A513",,"apartment fit-off checklist [e]","level 5","fit-off","blk-a","a513","site qa"
,,"BLK-A - Level 5 - A514",,"apartment fit-off checklist [e]","level 5","fit-off","blk-a","site qa","a514"
,,"BLK-A - Level 5 - A515",,"apartment fit-off checklist [e]","level 5","fit-off","blk-a","site qa","a515"
,,"BLK-A - Level 5 - A516",,"apartment fit-off checklist [e]","level 5","fit-off","blk-a","site qa","a516"
,,"BLK-A - Level 5 - A517",,"apartment fit-off checklist [e]","level 5","fit-off","blk-a","site qa","a517"
,,"BLK-A - Level 5 - A518",,"apartment fit-off checklist [e]","level 5","fit-off","blk-a","site qa","a518"
,,"BLK-A - Level 5 - A519",,"a519","apartment fit-off checklist [e]","level 5","fit-off","blk-a","site qa"
,,"BLK-A - Level 5 - A520",,"apartment fit-off checklist [e]","level 5","fit-off","blk-a","site qa","a520"
,,"BLK-A - Level 6 - A611",,"apartment fit-off checklist [e]","a611","fit-off","blk-a","level 6","site qa"
,,"BLK-A - Level 6 - A612",,"apartment fit-off checklist [e]","fit-off","blk-a","level 6","a612","site qa"
,,"BLK-A - Level 6 - A613",,"apartment fit-off checklist [e]","fit-off","blk-a","level 6","site qa","a613"
,,"BLK-A - Level 6 - A614",,"apartment fit-off checklist [e]","fit-off","blk-a","level 6","site qa","a614"
,,"BLK-A - Level 6 - A615",,"apartment fit-off checklist [e]","fit-off","blk-a","level 6","site qa","a615"
,,"BLK-A - Level 6 - A616",,"apartment fit-off checklist [e]","fit-off","blk-a","level 6","site qa","a616"
,,"BLK-A - Level 6 - A617",,"apartment fit-off checklist [e]","fit-off","blk-a","level 6","site qa","a617"
,,"BLK-A - Level 6 - A618",,"a618","apartment fit-off checklist [e]","fit-off","blk-a","level 6","site qa"
,,"BLK-A - Level 6 - A619",,"apartment fit-off checklist [e]","a619","fit-off","blk-a","level 6","site qa"
,,"BLK-A - Level 6 - A620",,"apartment fit-off checklist [e]","fit-off","blk-a","level 6","site qa","a620"
,,"BLK-A - Level 7 - A710",,"apartment fit-off checklist [e]","a710","fit-off","blk-a","site qa","level 7"
,,"BLK-A - Level 7 - A711",,"apartment fit-off checklist [e]","fit-off","blk-a","a711","site qa","level 7"
,,"BLK-A - Level 7 - A712",,"apartment fit-off checklist [e]","fit-off","blk-a","site qa","level 7","a712"
