ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Site QA","grouping","site qa"
,,"basketball courts","expanded","site qa","basketball courts"
,,"gym","expanded","gym","site qa"
,,"town square and café","expanded","town square and café","site qa"
,,"high performance","expanded","high performance","site qa"
,,"internal street","expanded","internal street","site qa"
,,"oculus","expanded","oculus","site qa"
,,"Access Towers",,"access towers"
,,"Plant",,"plant"
,"Columns"
,,"Kingzip",,"kingzip"
,,"Ortech",,"ortech"
,,"Gutter",,"gutter"
,,"Flashing",,"flashing"
,,"Fascia",,"fascia"
,,"Roof safety system",,"roof safety system"
,,"Roof",,"roof"
,,"Penetrations",,"penetrations"
,,"Wall cladding",,"wall cladding"

