Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,,,,
Level Progress,,,,,,,,,,,,,,,
,Scope,,,Site QA,,,,,,,,,,,
,Rows,,,,,,,,,,,,,,
,,Basement Level,,Basement Level,Site QA,,,,,,,,,,
,,Ground Level,,Ground Level,Site QA,,,,,,,,,,
,,Level 1,,Level 1,Site QA,,,,,,,,,,
,,Level 2,,Level 2,Site QA,,,,,,,,,,
,,Level 3,,Level 3,Site QA,,,,,,,,,,
,,Level 4,,Level 4,Site QA,,,,,,,,,,
,,Level 5,,Level 5,Site QA,,,,,,,,,,
,,Level 6,,Level 6,Site QA,,,,,,,,,,
,,Roof Level,,Roof Level,Site QA,,,,,,,,,,
,Columns,,,,,,,,,,,,,,
,,In-Ground Services,,In-Ground Services,,,,,,,,,,,
,,Penetrations,,Penetrations,,,,,,,,,,,
,,Stacks & Vents,,Stacks & Vents,,,,,,,,,,,
,,Downpipes & Overflows,,Downpipes & Overflows,,,,,,,,,,,
,,Water Mains/Risers,,Water Mains/Risers,,,,,,,,,,,
,,Gas Mains/Risers,,Gas Mains/Risers,,,,,,,,,,,
,,Wastes & Vents (Apts Only),,Wastes & Vents (Apts Only),,,,,,,,,,,
,,Water Rough-Ins (Apts Only),,Water Rough-Ins (Apts Only),,,,,,,,,,,
,,Gas Rough-Ins (Apts Only),,Gas Rough-Ins (Apts Only),,,,,,,,,,,
,,Fixtures & Tapware (Apts Only),,Fixtures & Tapware (Apts Only),,,,,,,,,,,
,,Plant & Equipment Installation,,Plant & Equipment Installation,,,,,,,,,,,
,,Testing (General Plumbing),,Testing (General Plumbing),,,,,,,,,,,
,,Testing (Apts Only),,Testing (Apts Only),,,,,,,,,,,
,,Commissioning (Plant & Equipment),,Commissioning (Plant & Equipment),,,,,,,,,,,
,,Commissioning (Apts Only),,Commissioning (Apts Only),,,,,,,,,,,
,,Water Meter Installation,,Water Meter Installation.,,,,,,,,,,,
,,,,,,,,,,,,,,,
Apartment Progress,,,,,,,,,,,,,,,
,Scope,,,Site QA,,,,,,,,,,,
,Rows,,,,,,,,,,,,,,
,,Ground Level - T1 (Lwr),,Ground Level,T1 (Lwr),Site QA,,,,,,,,,
,,Ground Level - T2 (Lwr),,Ground Level,T2 (Lwr),Site QA,,,,,,,,,
,,Ground Level - G.01,,Ground Level,G.01,Site QA,,,,,,,,,
,,Ground Level - G.02,,Ground Level,G.02,Site QA,,,,,,,,,
,,Ground Level - G.03,,Ground Level,G.03,Site QA,,,,,,,,,
,,Ground Level - G.04,,Ground Level,G.04,Site QA,,,,,,,,,
,,Ground Level - G.05,,Ground Level,G.05,Site QA,,,,,,,,,
,,Ground Level - G.06,,Ground Level,G.06,Site QA,,,,,,,,,
,,Ground Level - G.07,,Ground Level,G.07,Site QA,,,,,,,,,
,,Ground Level - G.08,,Ground Level,G.08,Site QA,,,,,,,,,
,,Ground Level - G.09,,Ground Level,G.09,Site QA,,,,,,,,,
,,Ground Level - G.10,,Ground Level,G.10,Site QA,,,,,,,,,
,,Ground Level - G.11,,Ground Level,G.11,Site QA,,,,,,,,,
,,Level 1 - T1 (Upr),,Level 1,T1 (Upr),Site QA,,,,,,,,,
,,Level 1 - T2 (Upr),,Level 1,T2 (Upr),Site QA,,,,,,,,,
,,Level 1 - 1.01,,Level 1,1.01,Site QA,,,,,,,,,
,,Level 1 - 1.02,,Level 1,1.02,Site QA,,,,,,,,,
,,Level 1 - 1.03,,Level 1,1.03,Site QA,,,,,,,,,
,,Level 1 - 1.04,,Level 1,1.04,Site QA,,,,,,,,,
,,Level 1 - 1.05,,Level 1,1.05,Site QA,,,,,,,,,
,,Level 1 - 1.06,,Level 1,1.06,Site QA,,,,,,,,,
,,Level 1 - 1.07,,Level 1,1.07,Site QA,,,,,,,,,
,,Level 1 - 1.08,,Level 1,1.08,Site QA,,,,,,,,,
,,Level 1 - 1.09,,Level 1,1.09,Site QA,,,,,,,,,
,,Level 1 - 1.10,,Level 1,1.10,Site QA,,,,,,,,,
,,Level 1 - 1.11,,Level 1,1.11,Site QA,,,,,,,,,
,,Level 1 - 1.12,,Level 1,1.12,Site QA,,,,,,,,,
,,Level 2 - 2.01,,Level 2,2.01,Site QA,,,,,,,,,
,,Level 2 - 2.02,,Level 2,2.02,Site QA,,,,,,,,,
,,Level 2 - 2.03,,Level 2,2.03,Site QA,,,,,,,,,
,,Level 2 - 2.04,,Level 2,2.04,Site QA,,,,,,,,,
,,Level 2 - 2.05,,Level 2,2.05,Site QA,,,,,,,,,
,,Level 2 - 2.06,,Level 2,2.06,Site QA,,,,,,,,,
,,Level 2 - 2.07,,Level 2,2.07,Site QA,,,,,,,,,
,,Level 2 - 2.08,,Level 2,2.08,Site QA,,,,,,,,,
,,Level 2 - 2.09,,Level 2,2.09,Site QA,,,,,,,,,
,,Level 2 - 2.10,,Level 2,2.10,Site QA,,,,,,,,,
,,Level 2 - 2.11,,Level 2,2.11,Site QA,,,,,,,,,
,,Level 2 - 2.12,,Level 2,2.12,Site QA,,,,,,,,,
,,Level 3 - 3.01,,Level 3,3.01,Site QA,,,,,,,,,
,,Level 3 - 3.02,,Level 3,3.02,Site QA,,,,,,,,,
,,Level 3 - 3.03,,Level 3,3.03,Site QA,,,,,,,,,
,,Level 3 - 3.04,,Level 3,3.04,Site QA,,,,,,,,,
,,Level 3 - 3.05,,Level 3,3.05,Site QA,,,,,,,,,
,,Level 3 - 3.06,,Level 3,3.06,Site QA,,,,,,,,,
,,Level 3 - 3.07,,Level 3,3.07,Site QA,,,,,,,,,
,,Level 3 - 3.08,,Level 3,3.08,Site QA,,,,,,,,,
,,Level 3 - 3.09,,Level 3,3.09,Site QA,,,,,,,,,
,,Level 3 - 3.10,,Level 3,3.10,Site QA,,,,,,,,,
,,Level 4 - 4.01,,Level 4,4.01,Site QA,,,,,,,,,
,,Level 4 - 4.02,,Level 4,4.02,Site QA,,,,,,,,,
,,Level 4 - 4.03,,Level 4,4.03,Site QA,,,,,,,,,
,,Level 4 - 4.04,,Level 4,4.04,Site QA,,,,,,,,,
,,Level 4 - 4.05,,Level 4,4.05,Site QA,,,,,,,,,
,,Level 4 - 4.06,,Level 4,4.06,Site QA,,,,,,,,,
,,Level 4 - 4.07,,Level 4,4.07,Site QA,,,,,,,,,
,,Level 5 - 5.01,,Level 5,5.01,Site QA,,,,,,,,,
,,Level 5 - 5.02,,Level 5,5.02,Site QA,,,,,,,,,
,,Level 5 - 5.03,,Level 5,5.03,Site QA,,,,,,,,,
,,Level 5 - 5.04,,Level 5,5.04,Site QA,,,,,,,,,
,,Level 6 - 6.01,,Level 6,6.01,Site QA,,,,,,,,,
,,Level 6 - 6.02,,Level 6,6.02,Site QA,,,,,,,,,
,Columns,,,,,,,,,,,,,,
,,Waste & Vent Installation,,Waste & Vent Installation,,,,,,,,,,,
,,Water Service Installation (Rough-ins),,Water Service Installation (Rough-ins),,,,,,,,,,,
,,Gas Service Installation (Rough-ins),,Gas Service Installation (Rough-ins),,,,,,,,,,,
,,Toilet & Cistern Installation,,Toilet & Cistern Installation,,,,,,,,,,,
,,Wash Basin & Tapware Installation,,Wash Basin & Tapware Installation,,,,,,,,,,,
,,Shower & Tapware Installation,,Shower & Tapware Installation,,,,,,,,,,,
,,Bath & Tapware Installation,,Bath & Tapware Installation,,,,,,,,,,,
,,Kitchen Sink & Tapware Installation,,Kitchen Sink & Tapware Installation,,,,,,,,,,,
,,Washer Machine Installation,,Washer Machine Installation,,,,,,,,,,,
,,Laundry Trough & Tapware Installation,,Laundry Trough & Tapware Installation,,,,,,,,,,,
,,Tundish Installation,,Tundish Installation,,,,,,,,,,,
