resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,,,step,,,Site QA,,,,,,,,
Authority Main to Meter Installation,,,,,,,,,checklist,,,,Authority Water Connection,,,,,,,
,,,,,,,,,step,,,,In-Ground Services,,,,,,,
,,,,,,,,,step,,,,,Basement Level,,,,,,
Drainage Installation (In-ground),,,,,,,,,checklist,,,,,,Drainage Installation (In-ground),,,,,
Water Service Installation (In-ground),,,,,,,,,checklist,,,,,,Water Service Installation (In-ground),,,,,
Gas Service Installation (In-ground),,,,,,,,,checklist,,,,,,Gas Service Installation (In-ground),,,,,
,,,,,,,,,step,,,,,Ground Level,,,,,,
Drainage Installation (In-ground),,,,,,,,,checklist,,,,,,Drainage Installation (In-ground),,,,,
Water Service Installation (In-ground),,,,,,,,,checklist,,,,,,Water Service Installation (In-ground),,,,,
Gas Service Installation (In-ground),,,,,,,,,checklist,,,,,,Gas Service Installation (In-ground),,,,,
,,,,,,,,,step,,,,Penetrations,,,,,,,
Penetration Installation,,,,,,,,,folder-with-checklists,,,,,Ground Level,,,,,,
Penetration Installation,,,,,,,,,folder-with-checklists,,,,,Level 1,,,,,,
Penetration Installation,,,,,,,,,folder-with-checklists,,,,,Level 2,,,,,,
Penetration Installation,,,,,,,,,folder-with-checklists,,,,,Level 3,,,,,,
Penetration Installation,,,,,,,,,folder-with-checklists,,,,,Level 4,,,,,,
Penetration Installation,,,,,,,,,folder-with-checklists,,,,,Level 5,,,,,,
Penetration Installation,,,,,,,,,folder-with-checklists,,,,,Level 6,,,,,,
Penetration Installation,,,,,,,,,folder-with-checklists,,,,,Roof,,,,,,
,,,,,,,,,step,,,,Stacks & Vents,,,,,,,
Stack & Vent Installation,,,,,,,,,folder-with-checklists,,,,,Basement Level,,,,,,
Stack & Vent Installation,,,,,,,,,folder-with-checklists,,,,,Ground Level,,,,,,
Stack & Vent Installation,,,,,,,,,folder-with-checklists,,,,,Level 1,,,,,,
Stack & Vent Installation,,,,,,,,,folder-with-checklists,,,,,Level 2,,,,,,
Stack & Vent Installation,,,,,,,,,folder-with-checklists,,,,,Level 3,,,,,,
Stack & Vent Installation,,,,,,,,,folder-with-checklists,,,,,Level 4,,,,,,
Stack & Vent Installation,,,,,,,,,folder-with-checklists,,,,,Level 5,,,,,,
Stack & Vent Installation,,,,,,,,,folder-with-checklists,,,,,Level 6,,,,,,
Stack & Vent Installation,,,,,,,,,folder-with-checklists,,,,,Roof,,,,,,
,,,,,,,,,step,,,,Downpipes & Overflows,,,,,,,
Downpipe & Overflow Installation,,,,,,,,,folder-with-checklists,,,,,Basement Level,,,,,,
Downpipe & Overflow Installation,,,,,,,,,folder-with-checklists,,,,,Ground Level,,,,,,
Downpipe & Overflow Installation,,,,,,,,,folder-with-checklists,,,,,Level 1,,,,,,
Downpipe & Overflow Installation,,,,,,,,,folder-with-checklists,,,,,Level 2,,,,,,
Downpipe & Overflow Installation,,,,,,,,,folder-with-checklists,,,,,Level 3,,,,,,
