Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,,,
Columns,,,,,,,,,,,,,,
,Scope,,,,,,,,,,,,,
,Rows,,,,,,,,,,,,,
,,Level 4,grouping,Columns,Level 4,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 4,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 4,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 4,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 4,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 4,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 4,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 4,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 4,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 4,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 4,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 4,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 4,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 4,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 4,C6,,,,,,
,,Level 5,grouping,Columns,Level 5,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 5,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 5,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 5,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 5,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 5,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 5,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 5,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 5,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 5,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 5,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 5,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 5,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 5,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 5,C6,,,,,,
,,Level 6,grouping,Columns,Level 6,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 6,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 6,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 6,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 6,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 6,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 6,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 6,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 6,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 6,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 6,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 6,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 6,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 6,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 6,C6,,,,,,
,,Level 7,grouping,Columns,Level 7,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 7,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 7,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 7,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 7,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 7,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 7,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 7,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 7,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 7,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 7,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 7,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 7,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 7,C5,,,,,,
