Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Overall Progress,,,,,,,
,Scope,,,Site QA,,,
,Rows,,,,,,
,,Temp Boards,dynamic,Temp Boards,Site QA,,
,,Temp Lighting,dynamic,Temp Lighting,Site QA,,
,,Rough In ,dynamic,Rough In.,Site QA,,
,,Cut Out,dynamic,Cut Out,Site QA,,
,,Fit Off,dynamic,Fit Off,Site QA,,
,,Commissioning,dynamic,Commissioning,Site QA,,
,,Temp Board (De-Commission),dynamic,Temp Board (De-Commission),Site QA,,
,Columns,,,,,,
,,Site QA,,Site QA,,,
,,,,,,,
Temp Boards,,,,,,,
,Scope,,,Temp Boards,,,
,Rows,,,,,,
,,Temp Boards - Basements/Lower/Upper Ground,grouping,Temp Boards - Basements/Lower/Upper Ground,,,
,,Basement 2,,Basement 2,Temp Boards,Site QA,
,,Basement 1,,Basement 1,Temp Boards,Site QA,
,,Lower Ground,,Lower Ground,Temp Boards,Site QA,
,,Upper Ground,,Upper Ground,Temp Boards,Site QA,
,,Temp Boards - Building A,dynamic,Building A,Temp Boards,Site QA,
,,Temp Boards - Building B,dynamic,Building B,Temp Boards,Site QA,
,Columns,,,,,,
,,Area accessible & ready,,Area accessible & ready,,,
,,Locate & fix into position,,"Locate & fix into position, bolt temporary board down with at least 2 fixings",,,
,,Install submains cabling as appropriate,,Install submains cabling as appropriate eg: glands/tray/duct,,,
,,Install lugs & terminate,,Install lugs and terminate,,,
,,Cables not terminated prior to energisation removed,,Any cables not terminated prior to energisation must be removed from cubicle at origin and have ends covered in heat shrink. At destination cables must be covered in heat shrink and be contrained in a junction box,,,
,,Clearly identify services,,Clearly identify services,,,
,,Ready to energise,,When ready to energise proceed in accordance with energisation procedure,,,
,,Energise & record results on Vast RCD test sheet,,Energise & record results on Vast RCD test sheet,,,
,,Install A3 laminated sign on face of temp board,,Install A3 laminated sign on face of temp board with floor plan and where the board is fed from,,,
,,Update Temporary Power Board register,,Update Temporary Power Board register & save to project folder/design control/temp const.,,,
,,,,,,,
Temp Lighting,,,,,,,
,Scope,,,Temp Lighting,,,
,Rows,,,,,,
,,Temp Lighting - Basements/Lower/Upper Ground,grouping,Temp Lighting - Basements/Lower/Upper Ground,,,
,,Basement 2,,Basement 2,Temp Lighting,Site QA,
,,Basement 1,,Basement 1,Temp Lighting,Site QA,
,,Lower Ground,,Lower Ground,Temp Lighting,Site QA,
,,Upper Ground,,Upper Ground,Temp Lighting,Site QA,
,,Temp Lighting - Building A,dynamic,Building A,Temp Lighting,Site QA,
,,Temp Lighting - Building B,dynamic,Building B,Temp Lighting,Site QA,
,Columns,,,,,,
,,Area accessible & ready,,Area accessible & ready,,,
,,Refer to temporary wiring setout plan,,Refer to temporary wiring setout plan,,,
,,Fit off plug base and or powerpoint/isolator,,Fit off plug base and or powerpoint/isolator,,,
,,"Install light fitting, exit/emg, power",,"Install light fitting, exit/emg, power",,,
,,Terminate cable to temp board,,Terminate cable to temp board. Ensure temp board is isolated! Test Test Test,,,
,,Test & commission,,Test & commission,,,
,,,,,,,
Rough In,,,,,,,
,Scope,,,Rough In.,,,
,Rows,,,,,,
,,Basement 2,dynamic,Basement 2,Rough In.,Site QA,
,,Basement 1,dynamic,Basement 1,Rough In.,Site QA,
,,Lower Ground - Common Areas,dynamic,Common Areas,Lower Ground,Rough In.,Site QA
,,Lower Ground - Supermarket Tenancy,dynamic,Supermarket tenancy,Lower Ground,Rough In.,Site QA
,,Lower Ground - Retail Tenancy,dynamic,Retail tenancy,Lower Ground,Rough In.,Site QA
,,Lower Ground - Double Story Apts,grouping,Lower Ground - Double Story Apts,,,
,,Double Story Apt 1,,Double Story Apt 1,Lower Ground,Rough In.,Site QA
,,Double Story Apt 2,,Double Story Apt 2,Lower Ground,Rough In.,Site QA
,,Upper Ground,dynamic,Upper Ground,Rough In.,Site QA,
,,Building A - UG,dynamic,UG,Building A,Rough In.,Site QA
,,Building A - L1,dynamic,L1,Building A,Rough In.,Site QA
,,Building A - L2,dynamic,L2,Building A,Rough In.,Site QA
,,Building A - L3,dynamic,L3,Building A,Rough In.,Site QA
,,Building A - L4,dynamic,L4,Building A,Rough In.,Site QA
,,Building A - L5,dynamic,L5,Building A,Rough In.,Site QA
,,Building A - L6,dynamic,L6,Building A,Rough In.,Site QA
,,Building A - L7,dynamic,L7,Building A,Rough In.,Site QA
,,Building A - L8,dynamic,L8,Building A,Rough In.,Site QA
,,Building A - L9,dynamic,L9,Building A,Rough In.,Site QA
,,Building A - L10,dynamic,L10,Building A,Rough In.,Site QA
,,Building A - L11,dynamic,L11,Building A,Rough In.,Site QA
,,Building A - L12,dynamic,L12,Building A,Rough In.,Site QA
,,Building A - L13,dynamic,L13,Building A,Rough In.,Site QA
,,Roof,dynamic,Roof,Building A,Rough In.,Site QA
,,Building B - UG,dynamic,UG,Building B,Rough In.,Site QA
,,Building B - L1,dynamic,L1,Building B,Rough In.,Site QA
,,Building B - L2,dynamic,L2,Building B,Rough In.,Site QA
,,Building B - L3,dynamic,L3,Building B,Rough In.,Site QA
,,Building B - L4,dynamic,L4,Building B,Rough In.,Site QA
,,Building B - L5,dynamic,L5,Building B,Rough In.,Site QA
,,Building B - L6,dynamic,L6,Building B,Rough In.,Site QA
,,Building B - L7,dynamic,L7,Building B,Rough In.,Site QA
,,Building B - L8,dynamic,L8,Building B,Rough In.,Site QA
,,Building B - L9,dynamic,L9,Building B,Rough In.,Site QA
,,Building B - L10,dynamic,L10,Building B,Rough In.,Site QA
,,Building B - L11,dynamic,L11,Building B,Rough In.,Site QA
,,Building B - L12,dynamic,L12,Building B,Rough In.,Site QA
,Columns,,,,,,
,,Rough In,,Rough In.,,,
,,,,,,,
Cut Out,,,,,,,
,Scope,,,Cut Out,,,
,Rows,,,,,,
,,Basement 2,dynamic,Basement 2,Cut Out,Site QA,
,,Basement 1,dynamic,Basement 1,Cut Out,Site QA,
,,Lower Ground,dynamic,Lower Ground,Cut Out,Site QA,
,,Upper Ground,dynamic,Upper Ground,Cut Out,Site QA,
,,Building A - UG,dynamic,UG,Building A,Cut Out,Site QA
,,Building A - L1,dynamic,L1,Building A,Cut Out,Site QA
,,Building A - L2,dynamic,L2,Building A,Cut Out,Site QA
,,Building A - L3,dynamic,L3,Building A,Cut Out,Site QA
,,Building A - L4,dynamic,L4,Building A,Cut Out,Site QA
,,Building A - L5,dynamic,L5,Building A,Cut Out,Site QA
,,Building A - L6,dynamic,L6,Building A,Cut Out,Site QA
,,Building A - L7,dynamic,L7,Building A,Cut Out,Site QA
,,Building A - L8,dynamic,L8,Building A,Cut Out,Site QA
,,Building A - L9,dynamic,L9,Building A,Cut Out,Site QA
,,Building A - L10,dynamic,L10,Building A,Cut Out,Site QA
,,Building A - L11,dynamic,L11,Building A,Cut Out,Site QA
,,Building A - L12,dynamic,L12,Building A,Cut Out,Site QA
,,Building A - L13,dynamic,L13,Building A,Cut Out,Site QA
,,Roof,dynamic,Roof,Cut Out,Site QA,
,,Building B - UG,dynamic,UG,Building B,Cut Out,Site QA
,,Building B - L1,dynamic,L1,Building B,Cut Out,Site QA
,,Building B - L2,dynamic,L2,Building B,Cut Out,Site QA
,,Building B - L3,dynamic,L3,Building B,Cut Out,Site QA
,,Building B - L4,dynamic,L4,Building B,Cut Out,Site QA
