Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Quality - In Ground conduit install.,,,,,,,,,,
,Scope,,,,,,,,,
,Rows,,,,,,,,,
,,LOTS,dynamic,lots,landside,in ground hv conduits,,,,
,Columns,,,,,,,,,
,,Receipt of conduit delivery to site & storage.,,receipt of conduit delivery to site & storage. (itp reference item 1),,,,,,
,,Set out.,,set out. (itp reference item 2),,,,,,
,,Excavation - Correct trenching alignment & depth.,,excavation - correct trenching alignment & depth. (itp reference item 3),,,,,,
,,Conduit Installation.,,conduit installation. (itp reference item 4),,,,,,
,,Spacer Frame Installation.,,spacer frame installation. (itp reference item 5),,,,,,
,,"Change of direction/bend Installation, correct bending radius used as per drawing.",,"change of direction/bend installation, correct bending radius used as per drawing. (itp reference item 6)",,,,,,
,,Bellmouths installed within Insitu Pits.,,bellmouths installed within insitu pits. (itp reference item 7),,,,,,
,,Glue Conduits together.,,glue conduits together. (itp reference item 8),,,,,,
,,TSB Installation around & above conduits.,,tsb installation around & above conduits. (itp reference item 9),,,,,,
,,150mm cover of backfill above TSB.,,150mm cover of backfill above tsb. (itp reference item 10),,,,,,
,,Warning tape installation above 150mm cover.,,warning tape installation above 150mm cover. (itp reference item 11),,,,,,
,,Back fill & compact.,,back fill & compact. (itp reference item 12),,,,,,
,,Rope & pathway test.,,rope & pathway test. (itp reference item 13),,,,,,
,,Sealing of conduits.,,sealing of conduits. (itp reference item 14) hold point,,,,,,
,,,,,,,,,,
ITP,,,,,,,,,,
,Scope,,,,,,,,,
,Rows,,,,,,,,,
,,B1.1,,basement,quality itcs,terminal,lots - cable tray & conduit,itp,b1.1,
,,B1.2,,basement,quality itcs,terminal,lots - cable tray & conduit,itp,b1.2,
,,B1.3,,basement,b1.3,quality itcs,terminal,lots - cable tray & conduit,itp,
,,B1.4,,basement,b1.4,quality itcs,terminal,lots - cable tray & conduit,itp,
,,B1.5,,basement,quality itcs,terminal,lots - cable tray & conduit,b1.5,itp,
,,B1.6,,basement,b1.6,quality itcs,terminal,lots - cable tray & conduit,itp,
