Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,Apartment Fit Off Checklist,,,,,Yes,Apartment Fit Off Checklist,6772ce3b-7105-49c2-9c21-779d5841ee66
checkpoint-group,,,section,Laundry Fit Off,,,,,,,
checkpoint-status,,,checkpoint,Laundry Trough,,,,,,,
checkpoint-status,,,checkpoint,Laundry Trough Mixer,,,,,,,
checkpoint-status,,,checkpoint,Laundry Trough Mini Stops,,,,,,,
checkpoint-status,,,checkpoint,Laundry Trough Waste,,,,,,,
checkpoint-status,,,checkpoint,Floor wastes - cleared of blockages,,,,,,,
checkpoint-group,,,section,Kitchen Fit Off,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Mini Stops,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Sink Waste,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Sink Mixer,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Dishwasher,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Cooktop,,,,,,,
checkpoint-group,,,section,Bathroom Fit Off,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Shower Mixer,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Shower Rail/Rose,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Basin,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Basin Mixer,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Bottle Trap,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Toilet,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Urinal,,,,,,,
checkpoint-status,,,checkpoint,Floor wastes - cleared of blockages,,,,,,,
checkpoint-group,,,section,Balcony Fit Off,,,,,,,
checkpoint-status,,,checkpoint,Balcony Tap,,,,,,,
checkpoint-status,,,checkpoint,Gas Point,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,Other Areas Fit Off Checklist,,,,,Yes,Other Areas Fit Off Checklist,847601df-ea86-40ab-aee2-73d6afc42ac6
checkpoint-group,,,section,Kitchen/Butler's Pantry Fit Off,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Mini Stops,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Sink Waste,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Sink Mixer,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Dishwasher,,,,,,,
checkpoint-status,,,checkpoint,Kitchen Cooktop,,,,,,,
checkpoint-group,,,section,Female Bathroom Fit Off,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Shower Mixer,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Shower Rail/Rose,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Basin,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Basin Mixer,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Bottle Trap,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Toilet,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Urinal,,,,,,,
checkpoint-status,,,checkpoint,Floor wastes - cleared of blockages,,,,,,,
checkpoint-group,,,section,Male Bathroom Fit Off,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Shower Mixer,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Shower Rail/Rose,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Basin,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Basin Mixer,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Bottle Trap,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Toilet,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Urinal,,,,,,,
checkpoint-status,,,checkpoint,Floor wastes - cleared of blockages,,,,,,,
checkpoint-group,,,section,DDA Bathroom Fit Off,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Shower Mixer,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Shower Rail/Rose,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Basin,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Basin Mixer,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Bottle Trap,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Toilet,,,,,,,
checkpoint-status,,,checkpoint,Bathroom Urinal,,,,,,,
checkpoint-status,,,checkpoint,Floor wastes - cleared of blockages,,,,,,,
