"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"31def95a-4bf5-4b4a-a633-681d2406cdae","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"0a32817a-a4bb-407c-b7e2-ab7427eb2f1f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Bulk Tanks"
"7d4c7f34-f778-45a9-8730-d105257b4182","","checklist-flat","work-in-progress","QA - Bulk Tank","checklist-flat","FALSE","FALSE","Site QA","Bulk Tanks","Bulk Tank 1"
"ad938fcf-9465-4629-a740-23f04bfdd088","","checklist-flat","not-started","QA - Bulk Tank","checklist-flat","FALSE","FALSE","Site QA","Bulk Tanks","Bulk Tank 2"
"6e6c4e15-0fa0-4025-a6e9-c648df0257d8","","checklist-flat","work-in-progress","QA - Bulk Tank","checklist-flat","FALSE","FALSE","Site QA","Bulk Tanks","Bulk Tank 3"
"03307b92-00fb-4c97-8632-77562b68be8e","","checklist-flat","not-started","QA - Bulk Tank","checklist-flat","FALSE","FALSE","Site QA","Bulk Tanks","Bulk Tank 4"
"3e1d1219-37bb-4713-8255-e0581bd41e01","","checklist-flat","not-started","QA - Bulk Tank","checklist-flat","FALSE","FALSE","Site QA","Bulk Tanks","Bulk Tank 5"
"33934720-74ed-41f4-adc0-7605de650fc9","","checklist-flat","work-in-progress","QA - Bulk Tank","checklist-flat","FALSE","FALSE","Site QA","Bulk Tanks","Bulk Tank 6"
"4971f6e9-4d29-4387-a4d1-a675c7b73907","","checklist-flat","work-in-progress","QA - Bulk Tank","checklist-flat","FALSE","FALSE","Site QA","Bulk Tanks","Bulk Tank 7"
"9cb17af5-a526-473b-a364-8f28fc0881e5","","checklist-flat","work-in-progress","QA - Bulk Tank","checklist-flat","FALSE","FALSE","Site QA","Bulk Tanks","Bulk Tank 8"
"38ab9de7-ef9e-441c-816c-c6bf02462e8e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Bulk Tank Install"
"3d4016dd-8aaa-4c3c-ace5-14fd283b6dd2","","checklist-flat","work-in-progress","QA - Bulk Tank Install","checklist-flat","FALSE","FALSE","Site QA","Bulk Tank Install","Bulk Tank 1"
"80a7381e-2ef2-40ef-affa-4e956aa606da","","checklist-flat","not-started","QA - Bulk Tank Install","checklist-flat","FALSE","FALSE","Site QA","Bulk Tank Install","Bulk Tank 2"
"6d2b52b5-8ad4-4f56-94e9-de3e32e90782","","checklist-flat","not-started","QA - Bulk Tank Install","checklist-flat","FALSE","FALSE","Site QA","Bulk Tank Install","Bulk Tank 3"
"d55654c4-452c-45af-9220-5d00e12ee9f9","","checklist-flat","not-started","QA - Bulk Tank Install","checklist-flat","FALSE","FALSE","Site QA","Bulk Tank Install","Bulk Tank 4"
"c60313ea-8b03-4c39-9e13-9149dedcf988","","checklist-flat","not-started","QA - Bulk Tank Install","checklist-flat","FALSE","FALSE","Site QA","Bulk Tank Install","Bulk Tank 5"
"9edb7f41-1708-42f0-b336-81bd32a0088e","","checklist-flat","not-started","QA - Bulk Tank Install","checklist-flat","FALSE","FALSE","Site QA","Bulk Tank Install","Bulk Tank 6"
"ab4f5877-bc41-4fff-bd02-3e9ddc241599","","checklist-flat","not-started","QA - Bulk Tank Install","checklist-flat","FALSE","FALSE","Site QA","Bulk Tank Install","Bulk Tank 7"
"ffeaf5b9-c056-41af-ac43-3c7ff1281740","","checklist-flat","not-started","QA - Bulk Tank Install","checklist-flat","FALSE","FALSE","Site QA","Bulk Tank Install","Bulk Tank 8"
"1d1206fe-eb06-47a0-8c1e-49f4207c5a9b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Fuel System Install"
"e5fa2909-41c5-4676-b11d-d0d1ad53bbd1","","checklist-flat","not-started","QA - Fuel System Installation Checklist: Common Equipment","checklist-flat","FALSE","FALSE","Site QA","Fuel System Install","Fuel System"
"91cf17d5-8755-4d4e-a666-de8ddfa164e2","","checklist-flat","not-started","QA - Fuel System Installation Checklist: Bulk Tanks","checklist-flat","FALSE","FALSE","Site QA","Fuel System Install","Bulk Tanks"
"97703304-4370-4c0b-992d-ae0ebbce7882","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Admin Tank"
"5eb10536-3206-435d-82fe-bcd4570582f2","","checklist-flat","work-in-progress","QA - Fuel System Installation Checklist: Admin Tank","checklist-flat","FALSE","FALSE","Site QA","Admin Tank","Admin Tank 1"
"6239b32f-98c1-4318-95b6-3e8cbdc28be9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Fuel System"
