"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"665fff61-4bc6-4f3f-a60b-c2ff624ad38c","","folder-normal","pass","","step","TRUE","FALSE","Building Y","Manufacture QA","Level BY","Lid"
"99797bd9-9394-4e0e-bc6f-54e4f415292a","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Lid","BY-P51"
"e1973be8-3b5a-414e-9a9a-deb57ff27d4a","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Lid","BY-P52"
"bda16ff4-5166-4696-9c83-f830f45fb25a","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Lid","BY-P63"
"62ae0cad-162c-4332-a29b-9dbd23d6cc57","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building Y","Manufacture QA","Level BY","Stair"
"c21d6dde-c6a3-42b8-a3a4-7d133e5c3b94","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Stair","BY-SF11"
"7eed8bb6-cf2e-40b1-8092-29966502d509","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Stair","BY-SF12"
"fe085337-70b4-40af-afc2-fdab4cfff104","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Stair","BY-SF13"
"ae933f0f-ecc1-42b1-9fbd-a4eb6cce8bf2","","checklist-sectioned","work-in-progress","Manufacturing Checklist","checklist","FALSE","FALSE","Building Y","Manufacture QA","Level BY","Stair","BY-SF14"
"a30b12ca-ca54-454b-9175-6848104c4d37","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building Y","Delivery / Installation Day"
"75af5cae-0d12-43c7-aae7-ec21ac2ae947","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building Y","Delivery / Installation Day","230819"
"11d6f4d1-b32d-4ff4-9a75-3cee812c0b9c","","checklist-flat","pass","1d65c89b793b004575817092f4abd4ca55f0bf52e8fa7435c42c6925f09f9ffd","checklist-flat","FALSE","FALSE","Building Y","Delivery / Installation Day","230819","Load 1"
"7feb3cc5-3a4c-4fab-8b11-5564e64f9c92","","checklist-flat","pass","1d65c89b793b004575817092f4abd4ca55f0bf52e8fa7435c42c6925f09f9ffd","checklist-flat","FALSE","FALSE","Building Y","Delivery / Installation Day","230819","Load 2"
"e497bec8-a2c2-4951-a1db-b1d8ea6ca4ba","","checklist-flat","pass","1d65c89b793b004575817092f4abd4ca55f0bf52e8fa7435c42c6925f09f9ffd","checklist-flat","FALSE","FALSE","Building Y","Delivery / Installation Day","230819","Load 3"
"9ec118bc-5747-4fd5-969a-4550ba76a36f","","checklist-flat","pass","1d65c89b793b004575817092f4abd4ca55f0bf52e8fa7435c42c6925f09f9ffd","checklist-flat","FALSE","FALSE","Building Y","Delivery / Installation Day","230819","Load 4"
"b929d7a8-563f-4bb5-a63b-d946bdbf6da1","","checklist-flat","pass","1d65c89b793b004575817092f4abd4ca55f0bf52e8fa7435c42c6925f09f9ffd","checklist-flat","FALSE","FALSE","Building Y","Delivery / Installation Day","230819","Load 5"
"682268ff-3827-4144-8df3-ee5997269f20","","checklist-flat","pass","1d65c89b793b004575817092f4abd4ca55f0bf52e8fa7435c42c6925f09f9ffd","checklist-flat","FALSE","FALSE","Building Y","Delivery / Installation Day","230819","Load 6"
"30cc58ca-e447-4150-86cb-dd7a79574c3e","","checklist-flat","pass","1d65c89b793b004575817092f4abd4ca55f0bf52e8fa7435c42c6925f09f9ffd","checklist-flat","FALSE","FALSE","Building Y","Delivery / Installation Day","230819","Load 7"
"ba7b98d6-5df3-40c7-bd9f-f5583a495c8a","","checklist-sectioned","not-started","Delivery / Installation Day Checklist","checklist","FALSE","FALSE","Building Y","Delivery / Installation Day","230819","Delivery / Installation Day Checklist"
"82226194-94f7-4e52-b082-be063271d436","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building Y","Delivery / Installation Day","230826"
"a440f03b-baaa-46c6-94cd-3311d58e43a6","","checklist-flat","pass","1d65c89b793b004575817092f4abd4ca55f0bf52e8fa7435c42c6925f09f9ffd","checklist-flat","FALSE","FALSE","Building Y","Delivery / Installation Day","230826","Load 1"
"ae90fcee-90a2-417e-a9d3-f9d617a57ecd","","checklist-flat","pass","1d65c89b793b004575817092f4abd4ca55f0bf52e8fa7435c42c6925f09f9ffd","checklist-flat","FALSE","FALSE","Building Y","Delivery / Installation Day","230826","Load 2"
"07638154-d7c3-4ade-ab1e-daf1a33955df","","checklist-flat","pass","1d65c89b793b004575817092f4abd4ca55f0bf52e8fa7435c42c6925f09f9ffd","checklist-flat","FALSE","FALSE","Building Y","Delivery / Installation Day","230826","Load 3"
