resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,Site QA,,,,,,,,,
,step,,,,Level 1,,,,,,,,
,step,,,,,Zone 1 - A1511,,,,,,,
,step,,,,,,1028 - Sterile Store ,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1029 - Processing area ,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1040 - Transport Trolley,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,Zone 2 - A1512,,,,,,,
,step,,,,,,1069 - Sterile Implant Receipt,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1083 - Cart Dispatch,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1020 - Corridor R,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Entrance Mat,checklist,,,,,,,Entrance Matting,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1020 - Corridor L,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Entrance Mat,checklist,,,,,,,Entrance Matting,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,Zone 3 - A1513,,,,,,,
,step,,,,,,1001 - Stair 1 Lobby,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1091 - Cleaners,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,2010 - Lift 10,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1090 - Corridor,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1080 - Corridor,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1047 - Male Staff Change,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1046 - Staff Shower,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1045 - SHR,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1044 - ACC WC / SHR,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1041 - WC,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1042 - WC,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1043 - WC,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1038 - Female Staff Chanfing,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
Wall Vinyl / Cove / Splashback,checklist,,,,,,,Wall Covering,,,,,
,step,,,,,,1036 - Staff Shower,,,,,,
Floor Prep,checklist,,,,,,,Preparation,,,,,
Floor Vinyl / LVT / Marmoleum,checklist,,,,,,,Floor Vinyl,,,,,
