Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,SP3a Roof,,,,,Yes,SP3a Roof,dd181874-e0e5-450c-b82d-c654557fde10
checkpoint-status,,,checkpoint,Remove ACM and Demo,,,,,,,
checkpoint-status,,,checkpoint,Assess Framing,,,,,,,
checkpoint-status,,,checkpoint,Multi grips and hold down straps,,,,,,,
checkpoint-status,,,checkpoint,New furrings @ 900cs,,,,,,,
checkpoint-status,,,checkpoint,New roof 2 degrees,,,,,,,
checkpoint-status,,,checkpoint,New Purlins @ 1200cs,,,,,,,
checkpoint-status,,,checkpoint,HOLDPOINT Engineers sign off,,,,,,,
checkpoint-status,,,checkpoint,Tray dec Installed,,,,,,,
checkpoint-status,,,checkpoint,Plinth framing,,,,,,,
checkpoint-status,,,checkpoint,Vapour Barrier,,,,,,,
checkpoint-status,,,checkpoint,80mm PIR installed,,,,,,,
checkpoint-status,,,checkpoint,60-80mm Taped PIR,,,,,,,
checkpoint-status,,,checkpoint,Drip edge flashing,,,,,,,
checkpoint-status,,,checkpoint,Fibretite Membrane installed,,,,,,,
checkpoint-status,,,checkpoint,Pressure Bar to drip edge,,,,,,,
checkpoint-status,,,checkpoint,Fascia installed,,,,,,,
checkpoint-status,,,checkpoint,Gutter and downpipes installed,,,,,,,
