"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"deb28b8e-0da5-5f98-9564-05e703054709","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ03","Window Installed"
"817df722-d931-5f7e-9616-b4dfb379f060","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ03","Head Flashing Installed"
"d5c17574-734b-5eba-8862-8471b7f9beca","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ03","Gib and Architraves"
"8173a4ce-00d6-5d1c-861d-6297df829b32","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ03","Window opener installed"
"86193afb-345a-4728-918a-30c43aeab490","","checklist-flat","pass","nAJ0 - Window","checklist-flat","FALSE","FALSE","Project QA","Phase 2","Stage 1","Windows","nAJ04"
"5c09d483-eee8-5b4e-b599-1ad9d5a2e36f","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Window removed"
"871c0e22-b457-56b4-aa8c-471fe3e05281","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","New Window Opening"
"a5826734-92e4-5978-9a5a-2616def79f48","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Sill chamered to form Fall"
"85df7127-5c04-5640-8d46-17dc00864bde","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Window Tape"
"dbbc1272-32d5-5716-8ad7-ef5f743e3454","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Sill Flashing Installed"
"ab09a227-a662-5c2d-8c61-6f394536f1b3","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Cavity Batten Installed"
"12f27cfc-ef31-59b1-a237-cbd7bf4f4c9c","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Window Installed"
"c40cda39-1b46-5c20-bb83-a586be94713d","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Head Flashing Installed"
"c179d5fd-65af-586c-af59-514d2c88d6ce","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Gib and Architraves"
"3086814e-fd3f-52ea-9142-d5ad75558081","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Windows","nAJ04","Window opener installed"
"8b30cbb0-5e99-4ca6-91ac-431654dba524","","checklist-flat","pass","Block N East Elevation 2","checklist-flat","FALSE","FALSE","Project QA","Phase 2","Stage 1","Block & East Elevation"
"ce490079-2db3-5a1e-98d3-725e74f01cb0","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block & East Elevation","Remove Asbestos"
"c6f6338d-ab3f-5c51-aa0e-d285a88cdafd","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block & East Elevation","Inspect timber framing"
"154d5c54-3933-567a-be87-2a9c86493490","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block & East Elevation","Install Rigid Wall Underlay"
"43fbb6f6-9748-531b-a094-1e047985b244","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block & East Elevation","Install Cavity Battens"
"c17377ba-2642-5449-a61e-90d6494d2bdb","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block & East Elevation","Install 9mm Fibre Cement board"
"4a38a90d-7c39-511a-8dc4-5858970da61f","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block & East Elevation","Install Trims"
"36b0c9bc-5174-59a8-a4de-c7ea005cff49","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block & East Elevation","Paint"
"189a6dcc-94f9-488a-b8d6-2da0d00b3f14","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Phase 2","Stage 1","Block N & K South Elevation Infills"
"b2a97cd0-d66a-4672-8df0-70bbcca297ae","","checklist-flat","pass","Block N & K South Elevation Infills","checklist-flat","FALSE","FALSE","Project QA","Phase 2","Stage 1","Block N & K South Elevation Infills","No. 1"
"01deb9bd-0034-535b-ac9c-5f88aa4cd69d","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block N & K South Elevation Infills","No. 1","Remove Asbestos"
"579a5abe-b5a7-4c59-8646-6c687a36f281","","checklist-flat","pass","Block N & K South Elevation Infills","checklist-flat","FALSE","FALSE","Project QA","Phase 2","Stage 1","Block N & K South Elevation Infills","No. 2"
"0438534c-77a0-5060-821c-ebb46f669155","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block N & K South Elevation Infills","No. 2","Remove Asbestos"
"b7dd435a-9ab9-4312-8826-65ce406eefda","","checklist-flat","pass","Block N & K South Elevation Infills","checklist-flat","FALSE","FALSE","Project QA","Phase 2","Stage 1","Block N & K South Elevation Infills","No. 3"
"870aabcc-f3ec-5380-9a3e-3380636f37b9","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Block N & K South Elevation Infills","No. 3","Remove Asbestos"
"1e182005-e2c7-43d0-8e6d-ed754ec4647d","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Phase 2","Stage 1","Weatherboard Replacement"
"723f2a22-22e3-46e7-b8fc-17e6d9978890","","checklist-flat","pass","Northern Elevation","checklist-flat","FALSE","FALSE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Northern Elevation"
"080dc18d-44bd-5ed8-bbf9-0dfd8fe16c64","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Northern Elevation","Existing damaged weatherboard"
"e726c417-356a-5367-b65e-65c5248d70ed","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Northern Elevation","New replacement"
"32d578da-4818-5e51-9125-d792032620f6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Northern Elevation","Paint"
"148aab28-1c8b-4971-9287-69bd5242f23c","","checklist-flat","pass","Northern Elevation","checklist-flat","FALSE","FALSE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Western Elevation"
"0ae784f4-0df6-5564-8f6c-24e07d2630c6","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Western Elevation","Existing damaged weatherboard"
"5ace21a8-c7e4-5eb4-8e60-29e591f3e577","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Western Elevation","New replacement"
"20e25e90-f6c5-57d8-8768-1bb99aedf960","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project QA","Phase 2","Stage 1","Weatherboard Replacement","Western Elevation","Paint"
"7aa49d22-7830-4c8a-b264-317a38b26c98","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Phase 2","Stage 2"
"e70d8f98-9980-45f5-b23c-f6b63cc491e1","","checklist-flat","pass","Upper Roof","checklist-flat","FALSE","FALSE","Project QA","Phase 2","Stage 2","Upper Roof"
"72bce662-9248-52a0-a6c9-8d20d25c450b","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","Delap photos"
"2d8eda7f-08ad-5e0c-9f6b-98547b3bad3c","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","Clean roof"
"ec8a6a66-ef72-5334-a199-e5fbbe50c64b","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","Remove existing cap flashings"
"ba75838e-06f8-507e-85c1-0ae03ec9bec8","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","Install screws to substrate"
"62844f86-84d6-5fa3-be3b-a5921a184316","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","Install Trough Infill PIR"
"63b9c6e4-1949-57db-aa03-1a375af3ac9b","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","New Vapour Barrier"
"661173b9-7f04-5bd1-89dc-78196f0b1f9a","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","New 40mm PIR"
"68f80554-6f4e-54f4-b071-56494fdcc73c","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","New Fibretite Membrane"
"9d78ad22-1c90-5c60-b370-c0bec831c454","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","New Fascias"
"2f9dd027-2b6f-5516-9085-73ded1aa8d11","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","Parapet flashing"
"b771e79c-168f-5105-b0e8-f7b2944849c5","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Upper Roof","Gutters and Down pipies"
"7a629674-fd98-4ba4-bcfb-6fc9bed90c38","","checklist-flat","pass","Lower Roof","checklist-flat","FALSE","FALSE","Project QA","Phase 2","Stage 2","Lower Roof"
"b448b65f-1789-5d56-bfeb-86e7f936b748","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","Delap photos"
"5f2f9d32-ecc9-58bc-ad83-a7da4b645411","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","Clean Roof"
"27f48f6e-37d9-54cf-99f1-c510eeb0ae83","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","Remove existing cap flashings"
"093d5d57-a20a-57fe-bad8-91345c77d88f","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","Install screws to substrate"
"85c95fe2-ca80-5198-9924-5193003220f1","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","Install Trough Infill PIR"
"94e67062-2fa0-597d-8635-52006827557a","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","New Vapour Barrier"
"58c5ec69-eb90-52d1-80d4-cf1d5b70c777","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","New 40mm PIR"
"62581bf1-1588-57d8-8b9e-02d3d4678653","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","New Fibretite Membrane"
"8d1986af-920c-5b43-8213-9f135ec9b932","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","New Fascias"
"c5c433ee-ff1d-5b3c-adea-57b91ba51904","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","Parapet flashing"
"fbcf96f2-c459-5252-995b-070c9982f547","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Lower Roof","Gutters and Down pipies"
"902659d5-811b-414e-9a91-762078ce7f35","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Phase 2","Stage 2","Windows"
"547c8161-283e-4477-8c95-a63d55862f7a","","checklist-flat","pass","nAJ0 - Window","checklist-flat","FALSE","FALSE","Project QA","Phase 2","Stage 2","Windows","nAJ05"
"276894c1-340a-50e2-a5ad-1c93055f39d9","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Window removed"
"7c7b8dce-7ecc-5842-aac4-5f654f70bdc5","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","New Window Opening"
"01a59bc7-61bc-52e3-a971-4bc79dd99a9e","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Sill chamered to form Fall"
"574f5a19-0b0c-5ff1-b41f-f784425364ca","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Window Tape"
"89ba6acb-73d2-5552-a709-a8354ea7bd13","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Sill Flashing Installed"
"0e141caa-d429-5096-a037-468002d33703","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Cavity Batten Installed"
"add95c2e-2e0c-592f-900c-d229d1989bb7","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Window Installed"
"06b0fc2e-8139-5248-82f0-2bd1959f1fbe","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Head Flashing Installed"
"5f5ddfa5-e39a-5b3b-b1e4-cf13bcabcd6a","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Gib and Architraves"
"4855f2e4-b8bc-57e5-a554-815ea0d243a6","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ05","Window opener installed"
"1f84203d-7125-4639-ab82-168e3c9b0730","","checklist-flat","pass","nAJ0 - Window","checklist-flat","FALSE","FALSE","Project QA","Phase 2","Stage 2","Windows","nAJ06"
"6aea03db-006e-569c-a5cf-178034cfc0a9","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ06","Window removed"
"b2b07685-62cd-5ed2-bf1d-9542d7b21706","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ06","New Window Opening"
"bc1b649b-5177-561e-9a45-6ea203cd2874","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ06","Sill chamered to form Fall"
"564f9ee8-c3e1-57af-b7da-c2d80ebcd590","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ06","Window Tape"
"f25af94a-322f-5e55-a34c-0023ad0b98b3","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ06","Sill Flashing Installed"
"2a6ccd08-3895-5df8-8971-3cba47c569c8","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ06","Cavity Batten Installed"
"fcf17216-b9e7-5c1f-b4ad-c64c9bce24b2","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ06","Window Installed"
"1a337628-ff3f-560b-a627-9b90bbe7d3b1","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ06","Head Flashing Installed"
"5d06934f-ecd4-5939-9a8f-4f2b838834e1","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ06","Gib and Architraves"
"bc4d538a-05ca-51d6-8615-ae160cb3897b","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ06","Window opener installed"
"d4b935f0-8698-41cc-9275-2454643b3a2d","","checklist-flat","pass","nAJ0 - Window","checklist-flat","FALSE","FALSE","Project QA","Phase 2","Stage 2","Windows","nAJ07"
"9d7ff142-3968-528c-9ad7-fe5f2e23522f","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ07","Window removed"
"8246074a-65df-5d2f-b0e5-0c2057fecdd1","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ07","New Window Opening"
"069fd060-3b88-54a9-bf51-d5b2279459d9","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ07","Sill chamered to form Fall"
"ba9d877c-c65b-5f50-9e1c-c5d767f98123","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ07","Window Tape"
"bde680e8-2bc2-5e37-b9c7-6f3683b12cc5","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ07","Sill Flashing Installed"
"d12960a7-1034-5b05-ac5d-9a072da56ef6","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ07","Cavity Batten Installed"
"be9f0b8d-2920-5715-9317-d60bb86384ae","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ07","Window Installed"
"eec8a94d-3452-5613-bee5-cd7d0d18b0b0","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ07","Head Flashing Installed"
"0e1f4162-3962-5647-b044-d5206e305ffd","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ07","Gib and Architraves"
"c9d2becf-6fff-5698-9ddb-39792692d3fa","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ07","Window opener installed"
"4ff3f07b-58a8-4f86-87d8-0783a582900e","","checklist-flat","pass","nAJ0 - Window","checklist-flat","FALSE","FALSE","Project QA","Phase 2","Stage 2","Windows","nAJ08"
"993aca34-0a51-5f93-befd-5f56c538345d","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Phase 2","Stage 2","Windows","nAJ08","Window removed"
