"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cebf4bb2-baf2-4ac6-a35c-fa02f0a1178b","","folder-normal","","","step","TRUE","FALSE","Site QA"
"30f82176-f395-4026-adc3-88453384585b","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 1 – Bunkers Hill Road"
"900ac462-683c-4618-a0af-42ca44917182","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 1 – Bunkers Hill Road","AC00088"
"0b759d6b-623a-4018-95c7-5b7dc055b4ad","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 1 – Bunkers Hill Road","DM00869"
"a862cce9-db08-4041-8529-4f57c127f370","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 1 – Bunkers Hill Road","DM00870"
"e2e7cf29-b045-4a05-9bdb-7c01871eb5a0","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 1 – Bunkers Hill Road","DM00549"
"7070c49a-3c50-441a-a8d9-baabc4a5f600","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 1 – Bunkers Hill Road","DM00548"
"9af64714-e9ee-464e-ba4c-ecab7796cb4b","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 7 – Upper Kangaroo River Road"
"c2da1f20-d8cc-4efa-83b2-e222c294cf01","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 7 – Upper Kangaroo River Road","DM00583"
"550e99cc-c1df-404b-bc6f-afd4fa129061","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 7 – Upper Kangaroo River Road","AQ00001"
"21a64a0d-d94c-499f-a1ae-ae48a1340023","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 7 – Upper Kangaroo River Road","NH00011"
"989824ec-59fb-4464-8c45-7ea9af71efb6","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 7 – Upper Kangaroo River Road","DM00828"
"837baba4-57e8-495e-997a-10bf17b450ee","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 3 – Burrier Road"
"fab937fa-f879-412f-aa40-da593c577a74","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 3 – Burrier Road","SH00288"
"ce9fbdcf-c701-4794-922d-c0447f7abec2","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 3 – Burrier Road","SH00292"
"d0e5e2e7-87f5-4017-a0fa-dec4a123e572","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 3 – Burrier Road","DM00890"
"dd7c85c0-d2d2-45ec-b035-9045a47ebf26","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 3 – Burrier Road","SH00282"
"5aedf037-1fb5-4314-a573-aa132b975864","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 2 – Woodhill Mountain Road"
"88d2ea1e-823d-4def-8b07-47ded5ec16d2","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 2 – Woodhill Mountain Road","DM00808"
"4e9e763f-94f8-43b0-90dd-89f73ae34d3b","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 2 – Woodhill Mountain Road","MT00008"
"bc4f68b1-11fa-45e5-b6ad-07334b9aca90","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 4 – Foremans Road"
"fae114e1-b97f-4c2a-8368-66b9b5b2d301","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 4 – Foremans Road","DM00882"
"9e4db5b0-7fff-4f7b-8382-dee4c602b309","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 4 – Foremans Road","DM00555"
"c435cb68-fa1d-4855-841e-f22add901f9c","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 6 – Kangaroo Valley Road"
"5276e712-814f-449e-9441-5b2347183126","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 6 – Kangaroo Valley Road","DM00806"
