Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,Add New Task,,,,,Yes,Add New Task,03ec6984-b366-47c9-9ce5-ca3d8d12dabb
checkpoint-group,,,section,Details:,,,,,,,
checkpoint-status,,,checkpoint,"Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints",,,,,,,
checkpoint-status,,,checkpoint,New task checked off (Add brief description of this task and take photos),,,,,,,
