"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Rough In Progress"
,"Scope",,,"rough in"
,"Rows"
,,"Basement (6-1)","grouping","basement (6-1)"
,,"Basement 6","expanded","basement 6","rough in"
,,"Basement 5","expanded","basement 5","rough in"
,,"Basement 4","expanded","basement 4","rough in"
,,"Basement 3","expanded","basement 3","rough in"
,,"Basement 2","expanded","basement 2","rough in"
,,"Basement 1","expanded","basement 1","rough in"
,,"Ground Floor","grouping","ground floor"
,,"Lobby, Lift & Stairs","expanded","ground floor","lobby, lift & stairs","rough in"
,,"Level 1","grouping","level 1"
,,"Lobby, Lift & Stairs","expanded","level 1","lobby, lift & stairs","rough in"
,,"101","expanded","101","level 1","rough in"
,,"102","expanded","102","level 1","rough in"
,,"103","expanded","103","level 1","rough in"
,,"Generator Room","expanded","generator room","level 1","rough in"
,,"Level 3","grouping","level 3"
,,"Lobby, Lift & Stairs","expanded","lobby, lift & stairs","level 3","rough in"
,,"301","expanded","301","level 3","rough in"
,,"302","expanded","302","level 3","rough in"
,,"303","expanded","303","level 3","rough in"
,,"Level 4","grouping","level 4"
,,"Lobby, Lift & Stairs","expanded","level 4","lobby, lift & stairs","rough in"
,,"401","expanded","401","level 4","rough in"
,,"402","expanded","402","level 4","rough in"
,,"403","expanded","403","level 4","rough in"
,,"404","expanded","404","level 4","rough in"
,,"405","expanded","405","level 4","rough in"
,,"406","expanded","406","level 4","rough in"
,,"407","expanded","407","level 4","rough in"
,,"Communal Area","expanded","level 4","communal area","rough in"
,,"Pool","expanded","pool","level 4","rough in"
,,"Male Toilet","expanded","male toilet","level 4","rough in"
,,"Female Toilet","expanded","level 4","female toilet","rough in"
,,"Accessibility Female Toilet","expanded","level 4","accessibility female toilet","rough in"
,,"Accessibility Male Toilet","expanded","level 4","accessibility male toilet","rough in"
,,"Level 5","grouping","level 5"
,,"Lobby, Lift & Stairs","expanded","level 5","lobby, lift & stairs","rough in"
,,"501","expanded","501","level 5","rough in"
,,"502","expanded","502","level 5","rough in"
,,"503","expanded","503","level 5","rough in"
,,"504","expanded","504","level 5","rough in"
,,"505","expanded","505","level 5","rough in"
,,"506","expanded","506","level 5","rough in"
,,"507","expanded","507","level 5","rough in"
,,"508","expanded","508","level 5","rough in"
,,"509","expanded","509","level 5","rough in"
,,"Level 6","grouping","level 6"
,,"Lobby, Lift & Stairs","expanded","lobby, lift & stairs","level 6","rough in"
,,"601","expanded","601","level 6","rough in"
,,"602","expanded","602","level 6","rough in"
,,"603","expanded","603","level 6","rough in"
,,"604","expanded","604","level 6","rough in"
,,"605","expanded","605","level 6","rough in"
,,"606","expanded","606","level 6","rough in"
,,"607","expanded","607","level 6","rough in"
,,"608","expanded","608","level 6","rough in"
,,"609","expanded","609","level 6","rough in"
,,"Level 7","grouping","level 7"
,,"Lobby, Lift & Stairs","expanded","lobby, lift & stairs","level 7","rough in"
,,"701","expanded","701","level 7","rough in"
,,"702","expanded","702","level 7","rough in"
,,"703","expanded","703","level 7","rough in"
,,"704","expanded","704","level 7","rough in"
,,"705","expanded","705","level 7","rough in"
,,"706","expanded","706","level 7","rough in"
,,"707","expanded","707","level 7","rough in"
,,"708","expanded","708","level 7","rough in"
,,"709","expanded","709","level 7","rough in"
,,"Level 8","grouping","level 8"
,,"Lobby, Lift & Stairs","expanded","level 8","lobby, lift & stairs","rough in"
,,"801","expanded","801","level 8","rough in"
,,"802","expanded","802","level 8","rough in"
,,"803","expanded","803","level 8","rough in"
,,"804","expanded","804","level 8","rough in"
,,"805","expanded","805","level 8","rough in"
,,"806","expanded","806","level 8","rough in"
,,"807","expanded","807","level 8","rough in"
,,"808","expanded","808","level 8","rough in"
,,"809","expanded","809","level 8","rough in"
,,"Level 9","grouping","level 9"
,,"Lobby, Lift & Stairs","expanded","level 9","lobby, lift & stairs","rough in"
,,"901","expanded","901","level 9","rough in"
,,"902","expanded","902","level 9","rough in"
,,"903","expanded","903","level 9","rough in"
,,"904","expanded","904","level 9","rough in"
,,"905","expanded","905","level 9","rough in"
