"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8e12bb11-6e0b-4097-95c7-154203689a29","","work-in-progress","","folder","TRUE","FALSE","QA Checks"
"bc0bc1c6-7664-4dcc-89ac-1207acbcf824","","not-started","","folder","TRUE","FALSE","QA Checks","August"
"982d7acc-39f7-42b3-9952-869aefacef17","","not-started","Load Check","checklist","FALSE","FALSE","QA Checks","August","QA Form"
"086915a4-296b-4c79-8ad0-aa51b0a85a28","","work-in-progress","","folder","TRUE","FALSE","QA Checks","September"
"e15205a3-d3ba-4aef-9cc7-995f1d3f5d46","","work-in-progress","Ω (Deprecated) Form 87 - QA Form (v0)","checklist","FALSE","FALSE","QA Checks","September","14017 / B&J Catalano"
"5fe23fc3-a4b9-4ab9-ac87-8d5723670007","","work-in-progress","","folder","TRUE","FALSE","QA Checks","October"
"5baee840-0c4f-4c73-afd5-07dbc80f3980","","work-in-progress","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","October","Form 87 - QA Form"
"cbb3ac44-9a7b-4206-81e6-6d8aa5cf99af","","pass","","folder","TRUE","FALSE","QA Checks","October","14186. Melchor"
"31a060f6-c5d6-4ac1-863b-fa2f7a0ff290","","pass","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","October","14186. Melchor","ITP - 2100x1500 RCBC Inverted "
"1be5ea35-9fc7-488d-91f4-7c7b9c16a5bd","","pass","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","October","14186. Melchor","ITP - 2100 x 2400 Link Slab"
"06d2af25-3882-4149-a3cf-47b1e69df954","","pass","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","October","14186. Melchor","ITP - 2415 x 1710 End Slabs"
"3afd60ea-cb29-4491-9c82-fe1f61426bf6","","no-status-not-started","","folder","TRUE","FALSE","QA Checks","November"
"27268f9a-8844-4766-98df-471b2a0d5a23","","no-status-not-started","","folder","TRUE","FALSE","QA Checks","December"
"1ada6c5c-00ba-4d1f-84c4-d8b21a41b8d8","","work-in-progress","","folder","TRUE","FALSE","QA Checks","14146. Pilbara Port"
"281445de-7287-4008-9cb9-fc3bec38ba95","","pass","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","14146. Pilbara Port","14146. ITP 08.10.24"
"ace75157-5882-4eb1-bcd1-26d6baceda0a","","pass","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","14146. Pilbara Port","14146. ITP 10.10.2024"
