"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bbd34046-2dfa-4650-87e8-8253dc55dd76","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"0ffd4aee-732e-44b4-802a-d735336062b7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns"
"2c0333a2-32fd-4bbc-ac31-b42b53a2262e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Level 4"
"0d02e2e5-1922-48a7-938c-59a53316a429","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Level 4","East"
"4397265b-1224-4155-bfb4-7641dd7f0d30","","checklist-flat","not-started","Concrete Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slabs & Columns","Level 4","East","Hydraulic Services"
"18aa0159-01b4-4160-9719-c2722c165fea","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Level 4","South"
"4e5e35be-6a84-4868-b89d-c68776afb8ed","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Level 4","South","Columns"
"a9bbcf23-e0df-4584-a674-42d137a4fb98","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Level 4","South","Columns","C9"
"69357088-01e3-4f1a-be8e-e587367befd8","","checklist-flat","not-started","Concrete Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slabs & Columns","Level 4","South","Columns","C9","Hydraulic Services"
"2e05b855-d348-4da4-a391-89252b10f4cb","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Level 4","South","Columns","C10"
"e714440a-8375-4883-a51e-b03d04a10dec","","checklist-flat","not-started","Concrete Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slabs & Columns","Level 4","South","Columns","C10","Hydraulic Services"
"a14b0905-eebd-4726-8ab0-171c03d8b76a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Level 4","South","Columns","C11"
"4a7f18cd-9b69-46fd-8532-a47da932476e","","checklist-flat","not-started","Concrete Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slabs & Columns","Level 4","South","Columns","C11","Hydraulic Services"
"759d96aa-6ace-4b28-88ba-ebe74d7f3076","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Level 4","South","Columns","C12"
"0fcefd93-5432-46d1-99d4-d9de4743caba","","checklist-flat","not-started","Concrete Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slabs & Columns","Level 4","South","Columns","C12","Hydraulic Services"
"4d3316c0-7051-47d9-94fb-92cabe29abc1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slabs & Columns","Level 4","South","Columns","C13"
"efa40523-c7c7-4826-91c7-bfae4c173b2c","","checklist-flat","not-started","Concrete Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slabs & Columns","Level 4","South","Columns","C13","Hydraulic Services"
