Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Aspire Tower (Hickory) - Floor/Wall Penetrations,,,,,,
,Scope,,,,,
,Rows,,,,,
,,pour 1,,pour 1,level 22,floor/wall penetrations
,,pour 2,,level 22,floor/wall penetrations,pour 2
,,lobby,,level 22,lobby,floor/wall penetrations
,,Level 23,grouping,level 23,floor/wall penetrations,
,,zone 1,,level 23,zone 1,floor/wall penetrations
,,pour 1,,level 23,pour 1,floor/wall penetrations
,,pour 2,,level 23,floor/wall penetrations,pour 2
,,lobby,,level 23,lobby,floor/wall penetrations
,,Level 24,grouping,floor/wall penetrations,level 24,
,,zone 1,,zone 1,floor/wall penetrations,level 24
,,pour 1,,pour 1,floor/wall penetrations,level 24
,,pour 2,,floor/wall penetrations,level 24,pour 2
,,lobby,,lobby,floor/wall penetrations,level 24
,,Level 25,grouping,level 25,floor/wall penetrations,
,,zone 1,,level 25,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 25,floor/wall penetrations
,,pour 2,,level 25,floor/wall penetrations,pour 2
,,lobby,,level 25,lobby,floor/wall penetrations
,,Level 26,grouping,level 26,floor/wall penetrations,
,,zone 1,,level 26,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 26,floor/wall penetrations
,,pour 2,,level 26,floor/wall penetrations,pour 2
,,lobby,,level 26,lobby,floor/wall penetrations
,,Level 27,grouping,level 27,floor/wall penetrations,
,,zone 1,,level 27,zone 1,floor/wall penetrations
,,pour 1,,level 27,pour 1,floor/wall penetrations
,,pour 2,,level 27,floor/wall penetrations,pour 2
,,lobby,,level 27,lobby,floor/wall penetrations
,,Level 28,grouping,level 28,floor/wall penetrations,
,,zone 1,,level 28,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 28,floor/wall penetrations
,,pour 2,,level 28,floor/wall penetrations,pour 2
,,lobby,,level 28,lobby,floor/wall penetrations
,,Level 29,grouping,level 29,floor/wall penetrations,
,,zone 1,,level 29,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 29,floor/wall penetrations
,,pour 2,,level 29,floor/wall penetrations,pour 2
,,lobby,,level 29,lobby,floor/wall penetrations
,,Level 30,grouping,level 30,floor/wall penetrations,
,,zone 1,,level 30,zone 1,floor/wall penetrations
,,pour 1,,level 30,pour 1,floor/wall penetrations
,,pour 2,,level 30,floor/wall penetrations,pour 2
,,lobby,,level 30,lobby,floor/wall penetrations
,,Level 31,grouping,floor/wall penetrations,level 31,
,,zone 1,,zone 1,floor/wall penetrations,level 31
,,pour 1,,pour 1,floor/wall penetrations,level 31
,,pour 2,,floor/wall penetrations,level 31,pour 2
,,lobby,,lobby,floor/wall penetrations,level 31
,,Level 32,grouping,level 32,floor/wall penetrations,
,,zone 1,,level 32,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 32,floor/wall penetrations
,,pour 2,,level 32,floor/wall penetrations,pour 2
,,lobby,,level 32,lobby,floor/wall penetrations
,,Level 33,grouping,level 33,floor/wall penetrations,
,,zone 1,,level 33,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 33,floor/wall penetrations
,,pour 2,,level 33,floor/wall penetrations,pour 2
,,lobby,,level 33,lobby,floor/wall penetrations
,,Level 34,grouping,level 34,floor/wall penetrations,
