"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5b3ea4cd-411b-45e1-9f29-f1830c361c78","","work-in-progress","","folder","TRUE","FALSE","The Shed"
"c9154a95-9a8c-44ff-b631-df28ba50b064","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Shed","Nuralite Warm roof System 4/12/24  Plant room "
"eeabefe2-a555-415d-9725-bbd21ed871f2","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Shed","Nuralite Warm roof System 5/12/24 Plant room "
"8eca4bf7-bf96-4564-981d-7706758abe1a","","work-in-progress","","folder","TRUE","FALSE","The Home"
"b0e6ab80-1411-4ba9-a429-f7e6c0873bf2","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 15/10 Grid H42 to H41"
"d401d299-9bfd-4d6b-a9c8-99256a5a73b0","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System Gridline H41-H42  16/10/24"
"cb79e1a0-8b78-4909-9d00-b99ce84cd029","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System  Gridline H4 1& 42  17/10/24"
"320041e9-cd9a-4e6a-af05-e789d6fc44a7","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System  Gridline H41-H42 18/10/24"
"94822b99-c93d-4227-bf18-fc12d84ca1a8","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System Gridline H41-42 19/10/24"
"63b3ad58-c35f-47a5-be14-8e4dd4474dcb","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System Gridline H41-42 21/10/24"
"2168f16d-bed4-4b13-9624-37e38f8977d9","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System Gridline H38- 39 21/10/24"
"42d58582-8d54-42e9-9bee-f10ba87d1288","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System H41-H42 22/10/24"
"d7455ab0-f5a0-40f9-8ac9-401c7afee974","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System  18/11/24 HC to H36"
"0675ef2e-6632-4f91-aaf2-31917d496bf9","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 19/11/24  H34/H35"
"d5e66e4a-b385-4f8e-8475-d1d9d1d28281","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 19/11/24  H42"
"79e45f40-251f-45b4-9bb7-96226f075ed1","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 19/11/24 POP TOP ZONE  D"
"8152b685-4c09-498d-8a67-cb59938b8a08","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 21/ 11/24 POP TOP ZONE D"
"653ccd90-519b-40ee-979b-2877b99420b6","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 21/11/24 POP TOP Zone D"
"4f1bea53-26fa-44c1-8c6e-e811d592bc89","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 21/11/24 H-22"
"1b119e5e-f8ff-47ad-bedc-31f4a24381d7","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 22/11/24 POP TOP Zone D"
"a6a93ab9-6706-42ee-97c5-6048c5e7e8f7","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 23/11/24  TOP POP Zone D"
"21a3504e-de2d-4aee-96c8-66d0e01a715b","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 23/11/24 H10"
"4bfeaead-8e30-4bc0-96c0-88e845d58156","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 25/11/24 POP TOP  ZONE D"
"986a6efb-8fc5-4129-bbdd-16b54a8a202e","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 25/11/24   H41- H42"
"b5bac2d3-f37a-492f-816f-6a03708f10fb","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 26/11/24 POP TOP  Zone D"
"0bdded25-3541-490b-9453-f70b4b33f889","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 26/11/24  H39- H40"
"f0625026-937c-4154-8008-94b40d144553","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 27/11/24  H41 "
"fc0a5f83-3b38-430a-b887-b7f086db98ac","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 28/11/24  H39- H40"
"c29d2684-f92e-4a1d-86c8-e20a06c9b45d","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System  29/11/24  H39- H40"
"e8e378ce-b883-4573-a69c-3ebe517c654f","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 2/12/24 HC - H39 zone D"
"c3402608-ef02-419c-8821-76b73bb0f3ad","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 3/12/24 H38- H41"
"50a861a8-e4ac-4d16-9807-33f1c063fed3","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 4/12/24 H38"
"8cf4807f-a8e9-4b0c-89d7-049621b02d5f","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 5/12/24 POP TOP "
"671de0df-5f44-4f80-ba86-d3f4738a2c90","","work-in-progress","Nuralite Warm roof System","checklist","FALSE","FALSE","The Home","Nuralite Warm roof System 5/12/24 H37- H38 "
