"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"60b0c950-eec4-47b9-8219-f1f4a6590348","","pass","ITP-008 - Hot Mix Asphalt Rev2","checklist","FALSE","FALSE","ITP-008 - Hot Mix Asphalt","ITP-008 - Hot Mix Asphalt - Lot 2 "
"6d0dada7-29fd-4046-a4bc-b1de9869ad61","","pass","ITP-008 - Hot Mix Asphalt Rev2","checklist","FALSE","FALSE","ITP-008 - Hot Mix Asphalt","ITP-008 - Hot Mix Asphalt - Lot3"
"d6eb2110-fa7c-45d2-91c0-3853b224c355","","pass","ITP-008 - Hot Mix Asphalt Rev2","checklist","FALSE","FALSE","ITP-008 - Hot Mix Asphalt","ITP-008 - Hot Mix Asphalt - lot4"
"de484ad5-0031-4790-8577-a16c88353707","","pass","ITP-008 - Hot Mix Asphalt Rev2","checklist","FALSE","FALSE","ITP-008 - Hot Mix Asphalt","ITP-008 - Hot Mix Asphalt - Lot 5"
"ef83cf2b-138c-4a4f-834b-5514ef9288af","","pass","ITP-008 - Hot Mix Asphalt Rev2","checklist","FALSE","FALSE","ITP-008 - Hot Mix Asphalt","ITP-008 - Hot Mix Asphalt - Lot 6"
"669c8f4d-cd02-4df1-a419-2e2679949d09","","pass","","folder","TRUE","FALSE","ITP-019 - Line Marking"
"d9bc6040-e433-41ae-9dfd-fa6fa0b0ca7e","","pass","ITP-019 - Line Marking Rev3","checklist","FALSE","FALSE","ITP-019 - Line Marking","ITP-019 - Line Marking"
"386f8f26-91a8-4973-b569-43fe08ec05e1","","pass","ITP-000 - Client Pre-Construction Checklist Rev1","checklist","FALSE","FALSE","ITP-000 - Client Pre-Construction Checklist"
"9e4f6838-2c6f-4587-90c8-c989c44bd644","","pass","","folder","TRUE","FALSE","ITP-041 - Rail Expansion Joint Installation"
"dded4d16-0bfb-43b5-928c-29a04712687d","","pass","ITP-041 - Rail Expansion Joint Installation","checklist","FALSE","FALSE","ITP-041 - Rail Expansion Joint Installation","ITP-041 - Rail Expansion Joint Installation"
"b4b339c3-e458-41c7-b668-6b2a6ab84575","","no-status-not-started","","folder","TRUE","FALSE","Bridge Pre-Pour Checklist"
