"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Installation Progress Matrix"
,"Scope",,,"site qa","installation"
,"Rows"
,,"B1/LG/LGM/CarPark","grouping","b1/lg/lgm/carpark"
,,"Basement 1","dynamic","b1/lg/lgm/carpark","site qa","basement 1","mechanical installation rough in & fit off itps","installation"
,,"Lower Ground","dynamic","b1/lg/lgm/carpark","site qa","mechanical installation rough in & fit off itps","installation","lower ground"
,,"Lower Ground Mez","dynamic","b1/lg/lgm/carpark","lower ground mez","site qa","mechanical installation rough in & fit off itps","installation"
,,"Building A","grouping","building a"
,,"Ground","dynamic","ground","site qa","mechanical installation rough in & fit off itps","building a","installation"
,,"Level 1","dynamic","site qa","mechanical installation rough in & fit off itps","building a","level 1","installation"
,,"Level 2","dynamic","site qa","mechanical installation rough in & fit off itps","building a","level 2","installation"
,,"Level 3","dynamic","site qa","mechanical installation rough in & fit off itps","building a","installation","level 3"
,,"Level 4","dynamic","level 4","site qa","mechanical installation rough in & fit off itps","building a","installation"
,,"L5/L5M Plantroom","dynamic","l5/l5m plantroom","site qa","mechanical installation rough in & fit off itps","building a","installation"
,,"L6 Roof","dynamic","site qa","mechanical installation rough in & fit off itps","building a","l6 roof","installation"
,,"Building B","grouping","building b"
,,"Basement/CEP","dynamic","prefab modules","site qa","basement/cep","building b","installation"
,,"Ground","dynamic","ground","site qa","mechanical installation rough in & fit off itps","building b","installation"
,,"Level 1","dynamic","site qa","mechanical installation rough in & fit off itps","level 1","building b","installation"
,,"Level 2","dynamic","site qa","mechanical installation rough in & fit off itps","building b","level 2","installation"
,,"Level 3","dynamic","site qa","mechanical installation rough in & fit off itps","building b","installation","level 3"
,,"Level 4","dynamic","level 4","site qa","mechanical installation rough in & fit off itps","building b","installation"
,,"Level 5","dynamic","level 5","site qa","mechanical installation rough in & fit off itps","building b","installation"
,,"Level 6","dynamic","level 6","site qa","mechanical installation rough in & fit off itps","building b","installation"
,,"Level 7","dynamic","site qa","level 7","mechanical installation rough in & fit off itps","building b","installation"
,,"Level 8","dynamic","site qa","level 8","mechanical installation rough in & fit off itps","building b","installation"
,,"Level 9","dynamic","site qa","mechanical installation rough in & fit off itps","level 9","building b","installation"
,,"Level 10","dynamic","level 10","site qa","mechanical installation rough in & fit off itps","building b","installation"
,,"L11 Plantroom","dynamic","site qa","mechanical installation rough in & fit off itps","building b","l11 plantroom","installation"
,,"L12 Plantroom","dynamic","l12 plantroom","site qa","mechanical installation rough in & fit off itps","building b","installation"
,,"L13 Plantroom","dynamic","l13 plantroom","site qa","mechanical installation rough in & fit off itps","building b","installation"
,,"Building C","grouping","building c"
,,"Ground","dynamic","ground","site qa","mechanical installation rough in & fit off itps","building c","installation"
,,"L5 Roof","dynamic","l5 roof","site qa","mechanical installation rough in & fit off itps","building c","installation"
,,"Building D","grouping","building d"
,,"Ground","dynamic","building d","ground","site qa","mechanical installation rough in & fit off itps","installation"
,,"Level 1","dynamic","building d","site qa","mechanical installation rough in & fit off itps","level 1","installation"
,,"Level 2","dynamic","building d","site qa","mechanical installation rough in & fit off itps","level 2","installation"
,,"Level 3","dynamic","building d","site qa","mechanical installation rough in & fit off itps","installation","level 3"
,,"Level 4","dynamic","building d","level 4","site qa","mechanical installation rough in & fit off itps","installation"
,,"L5 Plantroom","dynamic","building d","site qa","mechanical installation rough in & fit off itps","l5 plantroom","installation"
,,"Building E","grouping","building e"
,,"Ground","dynamic","building e","ground","site qa","mechanical installation rough in & fit off itps","installation"
,,"Level 1","dynamic","building e","site qa","mechanical installation rough in & fit off itps","level 1","installation"
,,"Level 2","dynamic","building e","site qa","mechanical installation rough in & fit off itps","level 2","installation"
,,"Level 3","dynamic","building e","site qa","mechanical installation rough in & fit off itps","installation","level 3"
,,"Level 4","dynamic","level 4","building e","site qa","mechanical installation rough in & fit off itps","installation"
,,"L5 Plantroom","dynamic","building e","site qa","mechanical installation rough in & fit off itps","l5 plantroom","installation"
,"Columns"
,,"Rough In",,"rough in"
,,"Fit Off",,"fit off"

"Commissioning Progress Matrix"
,"Scope",,,"site qa","commissioning"
,"Rows"
,,"B1/LG/LGM/CarPark","dynamic","b1/lg/lgm/carpark","commissioning","site qa"
,,"Building A","dynamic","building a","commissioning","site qa"
,,"Building B","dynamic","building b","commissioning","site qa"
,,"Building C","dynamic","commissioning","site qa","building c"
,,"Building D","dynamic","building d","commissioning","site qa"
,,"Building E","dynamic","building e","commissioning","site qa"
,"Columns"
,,"Commissioning Workbook",,"commissioning workbook"
,,"Completion of all workbook Pre Commissioning Sheets (PCS)",,"completion of all workbook pre commissioning sheets (pcs)"
,,"PCS - Percentage Completed","Percentage Completed","completion of all workbook pre commissioning sheets (pcs)"
,,"Completion of all workbook Commissioning Sheets (CRS)",,"completion of all workbook commissioning sheets (crs)"
,,"CRS - Percentage Completed","Percentage Completed","completion of all workbook commissioning sheets (crs)"

