"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5b8ded9a-e11e-4e74-9821-bbb0768825bc","","folder-normal","not-started","","step","TRUE","FALSE","Emergency Lighting Test Results"
"25f31b6a-a9cb-4ec4-b16b-4a79d257f93c","","checklist-flat","not-started","Emergency Lighting Testing Evidence","checklist-flat","FALSE","FALSE","Emergency Lighting Test Results","Emergency Lighting Testing Evidence"
"425930f5-ae82-43be-b7f2-ddabd228e9cf","","folder-normal","not-started","","step","TRUE","FALSE","Temp DB's"
"d97d3f4c-3c43-4601-9a09-e73ec8f9ea47","","folder-normal","not-started","","step","TRUE","FALSE","Temp DB's","Temp DB Install Checklist"
"3c8ecf4a-8ed3-4c4f-adb2-c775f78f1888","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-1"
"c2403f4f-4bc3-49cb-a771-e1f6c64a7ab6","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-2"
"2ab90395-9b1c-474b-bc80-7525eae98b28","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-3"
"460ca25a-e96f-41e2-9b00-5a9e21f03f95","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-4"
"f3667dab-26c7-4fff-9af1-229ac886380d","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-5"
"2c04803c-0ff9-4038-8524-13ea3453430e","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-6"
"cb9ba72a-bc15-407a-9c07-43a2fa45f2b1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Temp DB's","Temp DB Monthly Testing"
"41ae48ea-caa9-4a91-878b-d643c9c8ff08","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Variations"
"da4f9d26-f028-4775-88a5-9a0c51187e18","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Test & Tag"
"bd94d72f-ace9-435c-ae85-1af0fc2110d7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks"
"d81e404f-2e6d-4f3a-9e74-acdf5c936721","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks","Weekly Toolbox Talks"
"5b97b7f0-754d-4d87-904b-b4334eb17b0c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks","Daily Pre-start Toolbox Talks"
"c57c2663-2900-4b43-9d06-0107c222c4ca","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA"
