type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Mains,,,,,,Mains
checkpoint,Correct size confirmed,,,,,,
checkpoint,Length of tails,,,,,,
checkpoint,Lugs correct size / hole size,,,,,,
,,,,,,,
checklist-flat,Submains,,,,,,Submains
checkpoint,Correct size confirmed,,,,,,
checkpoint,Length of tails,,,,,,
checkpoint,Lugs correct size / hole size,,,,,,
,,,,,,,
checklist-flat,Switchboard,,,,,,Switchboard
checkpoint,Switchboard securly fastened,,,,,,
checkpoint,Switcboard bonded,,,,,,
checkpoint,Teminals correctly crimped,,,,,,
checkpoint,Lugs heat shrinked,,,,,,
checkpoint,Lugs torqued,,,,,,
checkpoint,Labelling,,,,,,
,,,,,,,
checklist-flat,External Works,,,,,,External Works
checkpoint,Location confirmed,,,,,,
checkpoint,Duct correct,,,,,,
checkpoint,Cages set to height,,,,,,
,,,,,,,
checklist-flat,Catenaries,,,,,,Catenaries
checkpoint,Supported correctly,,,,,,
checkpoint,Correct locations,,,,,,
,,,,,,,
checklist-flat,Cable Tray,,,,,,Cable Tray
checkpoint,Installed correct location,,,,,,
checkpoint,Installed correct height,,,,,,
checkpoint,Provided enough support,,,,,,
checkpoint,Cable tray bonded,,,,,,
,,,,,,,
checklist-flat,Floor Penetrations,,,,,,Floor Penetrations
checkpoint,Penetration/chase marked as per plan,,,,,,
checkpoint,Depth/width correct for conduit/floor box,,,,,,
,,,,,,,
checklist-flat,Power Circuit First Fix,,,,,,Power Circuit First Fix
checkpoint,Cable schedule,,,,,,
checkpoint,Cable size correct,,,,,,
checkpoint,Cabling to correct location as per plan,,,,,,
checkpoint,Position on elevations confirmed,,,,,,
checkpoint,Droppers / Starters wired,,,,,,
checkpoint,TV locations wired,,,,,,
,,,,,,,
checklist-flat,Flush Boxes,,,,,,Flush Boxes
checkpoint,Correct location,,,,,,
checkpoint,Correct height,,,,,,
,,,,,,,
checklist-flat,Lighting Circuits First Fix,,,,,,Lighting Circuits First Fix
checkpoint,Cabling to correct location as per plan,,,,,,
checkpoint,Emergency lighting cabelled,,,,,,
checkpoint,Number of fittings correct,,,,,,
checkpoint,Local switch wire installed,,,,,,
checkpoint,Sensor control wire installed,,,,,,
checkpoint,Cabinet lighting confirmed / cabled,,,,,,
checkpoint,Lighting controls cabled ,,,,,,
,,,,,,,
checklist-flat,Data First Fix,,,,,,Data First Fix
checkpoint,Cabling to correct location as per plan,,,,,,
checkpoint,Cables to floor box,,,,,,
checkpoint,Data for TV locations,,,,,,
checkpoint,WAP locations wired,,,,,,
