type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Power Circuits Second Fix,,,,,,Power Second Fix,cd7b6a1e-bd20-4275-93c6-57d79ed0a4af
checkpoint,"Outlets installed, level and labelled",,,,,,,
checkpoint,RCD outlets correct rating for space 10mA/30mA,,,,,,,
checkpoint,Starters installed,,,,,,,
checkpoint,Floor boxes fit off,,,,,,,
checkpoint,Kitchen outlets / Isolators / HW kits,,,,,,,
,,,,,,,,
checklist-flat,Lighting Circuits Second Fix,,,,,,Lighting Second Fix,9f2c81fa-0e5c-4c22-98bb-5ca0c6842d2b
checkpoint,Correct light type installed,,,,,,,
checkpoint,Correct number installed,,,,,,,
checkpoint,Correct location,,,,,,,
checkpoint,Local switching installed,,,,,,,
checkpoint,Sensor installed,,,,,,,
checkpoint,Emergency lighting type installed,,,,,,,
,,,,,,,,
checklist-flat,Data Second Fix,,,,,,Data Second Fix,ebd91502-7891-4c25-9485-c0c307a8ed99
checkpoint,"Outlets installed, level and labelled ",,,,,,,
