type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Bathroom,,,,,,Bathroom - Commissioning Checklist,
section,WC - Commissioning,,,,,,,
checkpoint,WC siliconed,,,,,,,
checkpoint,WC installation works are completed ( no leaks present and ready for handover ),,,,,,,
section,WHB - Commissioning,,,,,,,
checkpoint,Sink overflow checked ( take video of test showing mixer on and overflow working ),,,,,,,
checkpoint,Sink mixer flow rate ( confirm flow rate matches products rating ),,,,,,,
checkpoint,Basin mixer aerator removed and cleaner of any debris,,,,,,,
section,Shower - Commissioning,,,,,,,
checkpoint,Shower hose filter clear of debris,,,,,,,
,,,,,,,,
checklist,Ensuite,,,,,,Ensuite - Commissioning Checklist,
section,WC - Commissioning,,,,,,,
checkpoint,WC siliconed,,,,,,,
checkpoint,WC installation works are completed ( no leaks present and ready for handover ),,,,,,,
section,WHB - Commissioning,,,,,,,
checkpoint,Sink overflow checked ( take video of test showing mixer on and overflow working ),,,,,,,
checkpoint,Sink mixer flow rate ( confirm flow rate matches products rating ),,,,,,,
checkpoint,Basin mixer aerator removed and cleaner of any debris,,,,,,,
section,Shower - Commissioning,,,,,,,
checkpoint,Shower hose filter clear of debris,,,,,,,
,,,,,,,,
checklist,Powder Room,,,,,,Powder Room - Commissioning Checklist,
section,WC - Commissioning,,,,,,,
checkpoint,WC siliconed,,,,,,,
checkpoint,WC installation works are completed ( no leaks present and ready for handover ),,,,,,,
section,WHB - Commissioning,,,,,,,
checkpoint,Sink overflow checked ( take video of test showing mixer on and overflow working ),,,,,,,
checkpoint,Sink mixer flow rate ( confirm flow rate matches products rating ),,,,,,,
checkpoint,Basin mixer aerator removed and cleaner of any debris,,,,,,,
,,,,,,,,
checklist,Powder Room,,,,,,Powder Room - 2nd Fix Checklist,
section,WC 2nd Fix ,,,,,,,
checkpoint,WC siliconed,,,,,,,
checkpoint,WC installation works are completed ( no leaks present and ready for handover ),,,,,,,
section,WHB 2nd Fix ,,,,,,,
checkpoint,Sink mixers hot & cold supplies hooked up correctly ( no cross-over ),,,,,,,
checkpoint,Vanity works completed ( no leaks present and ready for handover ),,,,,,,
