resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
,step,,,Roof,,,,,,,,,,
,step,,,,Area 1,,,,,,,,,
FC - R - Roofing,checklist,,,,,Roofing,,,,,,,,
FC - R - Anchor Points - Anchor Point Installation,checklist,,,,, Anchor Points - Anchor Point Installation,,,,,,,,
"FC - R - Anchor Points - Intermediate, Corner and End Plate Installation",checklist,,,,," Anchor Points - Intermediate, Corner and End Plate Installation",,,,,,,,
FC - R - Anchor Points - Static line installation,checklist,,,,,Anchor Points - Static line installation,,,,,,,,
FC - R - Down Pipes,checklist,,,,,Down Pipes,,,,,,,,
,step,,,,Area 2,,,,,,,,,
FC - R - Roofing,checklist,,,,,Roofing,,,,,,,,
FC - R - Anchor Points - Anchor Point Installation,checklist,,,,, Anchor Points - Anchor Point Installation,,,,,,,,
"FC - R - Anchor Points - Intermediate, Corner and End Plate Installation",checklist,,,,," Anchor Points - Intermediate, Corner and End Plate Installation",,,,,,,,
FC - R - Anchor Points - Static line installation,checklist,,,,,Anchor Points - Static line installation,,,,,,,,
FC - R - Down Pipes,checklist,,,,,Down Pipes,,,,,,,,
,step,,,,Area 3,,,,,,,,,
FC - R - Roofing,checklist,,,,,Roofing,,,,,,,,
FC - R - Anchor Points - Anchor Point Installation,checklist,,,,, Anchor Points - Anchor Point Installation,,,,,,,,
"FC - R - Anchor Points - Intermediate, Corner and End Plate Installation",checklist,,,,," Anchor Points - Intermediate, Corner and End Plate Installation",,,,,,,,
FC - R - Anchor Points - Static line installation,checklist,,,,,Anchor Points - Static line installation,,,,,,,,
FC - R - Down Pipes,checklist,,,,,Down Pipes,,,,,,,,
,step,,,,Area 4&5,,,,,,,,,
FC - R - Roofing,checklist,,,,,Roofing,,,,,,,,
FC - R - Anchor Points - Anchor Point Installation,checklist,,,,, Anchor Points - Anchor Point Installation,,,,,,,,
"FC - R - Anchor Points - Intermediate, Corner and End Plate Installation",checklist,,,,," Anchor Points - Intermediate, Corner and End Plate Installation",,,,,,,,
FC - R - Anchor Points - Static line installation,checklist,,,,,Anchor Points - Static line installation,,,,,,,,
FC - R - Down Pipes,checklist,,,,,Down Pipes,,,,,,,,
