"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2541c63e-9704-4f3a-b0f3-5145924cfbef","","folder-normal","work-in-progress","","step","TRUE","FALSE","Zone 1 - West"
"c0f74c73-7386-4106-91c9-ec0ddaa21977","","checklist-sectioned","work-in-progress","d827b1b317520da2c525b4a5d61805aac197fd97a625cb3c1fc9a2cb4589fefc","checklist","FALSE","FALSE","Zone 1 - West","ITP - Earthworks - 101 - Rev 2"
"98d414d1-9ba5-48e6-be65-7721f6d05b3b","","checklist-sectioned","work-in-progress","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Zone 1 - West","ITP - Stormwater - 102 - Rev A"
"0a87c417-3fb4-41fc-b197-75c4d7752db3","","checklist-sectioned","work-in-progress","020fab1972fb3646c0de4b90cfde10a3feddc8428d33d4538aa4d76b4ab4706f","checklist","FALSE","FALSE","Zone 1 - West","ITP - Concrete and Structures - 103 - Rev A"
"b844b630-9d50-4921-b42a-d445ab7c4174","","checklist-sectioned","work-in-progress","ITP - Pavement - Type A - 104.1 - Rev 2","checklist","FALSE","FALSE","Zone 1 - West","ITP - Pavement - Type A - 104.1 - Rev 2"
"3dcd9f93-b336-4e29-b3af-7652b8662bba","","checklist-sectioned","work-in-progress","ITP - Pavement - Type B - 104.2 - Rev 2","checklist","FALSE","FALSE","Zone 1 - West","ITP - Pavement - Type B - 104.2 - Rev 2"
"e8f92010-aa13-443c-958a-c1defef09194","","checklist-sectioned","work-in-progress","ITP - Pavement - Type C - 104.3 - Rev 2","checklist","FALSE","FALSE","Zone 1 - West","ITP - Pavement - Type C - 104.3 - Rev 2"
"e0d26047-447f-4cd5-9316-33b378bb23ca","","folder-normal","work-in-progress","","step","TRUE","FALSE","Zone 1 - East"
"3445656c-c825-4bba-b808-11394908249d","","checklist-sectioned","work-in-progress","4c8e171730ce6e7f3995740bb63cb500aa9bf6bd058ae9d892e2faca15130b5a","checklist","FALSE","FALSE","Zone 1 - East","ITP - Earthworks - 101 - Rev 2"
"dd5a9029-d387-4496-b9f7-2442b176f34c","","checklist-sectioned","work-in-progress","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Zone 1 - East","ITP - Stormwater - 102 - Rev A"
"79869666-280e-48b8-bab0-12a909f7dc7c","","checklist-sectioned","work-in-progress","020fab1972fb3646c0de4b90cfde10a3feddc8428d33d4538aa4d76b4ab4706f","checklist","FALSE","FALSE","Zone 1 - East","ITP - Concrete and Structures - 103 - Rev A"
