"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"429fcbb4-a59b-4cd0-97b7-b71f83826df4","","checklist-sectioned","pass","DS2672-ITP-S106 - Piling First Pile Hold Points - Rev 1","checklist","FALSE","FALSE","SECTION 7 – PILING","True LHS - Bored Piles","Pile Construction - LHS","First Pile Hold Points"
"b4cf5ee4-572f-42a7-ab6a-978522b99ba2","","checklist-sectioned","pass","DS2672-ITP-S107 - Piling Logging Hold Points - Rev 1","checklist","FALSE","FALSE","SECTION 7 – PILING","True LHS - Bored Piles","Pile Construction - LHS","Pile Logging Hold Points"
"e1ad17bd-8dd3-4560-8e24-89c0de6f5627","","checklist-sectioned","pass","DS2672-ITP-S105 - Pile Construction Card - Rev 2","checklist","FALSE","FALSE","SECTION 7 – PILING","True LHS - Bored Piles","Pile Construction - LHS","Combined Pile Cards & Pour Records"
"498787a0-fff3-4f51-b24f-852097e38260","","folder-normal","fail","","step","TRUE","FALSE","SECTION 8 – WALL AND SLAB"
"1af039dc-6ea8-433a-bfcb-4154542ef63f","","checklist-sectioned","pass","DS2672-ITP-S114 - Wall And Slab Materials - Rev 1","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","Wall And Slab Materials"
"71219919-07e0-466d-9762-b66f69ee451e","","checklist-sectioned","work-in-progress","DS2672-ITP-S115 - Wall And Slab Overarching - Rev 1","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","Wall And Slab Overarching"
"b3cbcce6-80dc-47d4-b707-f6c9bd77bd16","","folder-normal","work-in-progress","","step","TRUE","FALSE","SECTION 8 – WALL AND SLAB","LHS Slab Pours"
"51a3ef36-a115-4984-bbe0-e8be8c47af22","","checklist-sectioned","work-in-progress","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","LHS Slab Pours","Retaining Wall Slabs 2 & 3 - Pre and Post Pour"
"9a40d707-5086-457a-8ad3-7970d6ea36d1","","checklist-sectioned","work-in-progress","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","LHS Slab Pours","Retaining Wall Slab 4 - Pre and Post Pour"
"3e141a52-77c1-4c4d-95d2-223b79f02fcd","","checklist-sectioned","work-in-progress","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","LHS Slab Pours","Spillway Overlay Slab, Middle Section - Pre and Post Pour"
"31b96ac0-dca5-4f55-9dc1-3347f2a8c88a","","checklist-sectioned","work-in-progress","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","LHS Slab Pours","Spillway Overlay Slab, LH Outer Section - Pre and Post Pour"
"1b56b79d-55ea-4f51-bf5c-c59450075410","","checklist-sectioned","work-in-progress","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","LHS Slab Pours","Spillway Overlay Slab, RH Outer Section - Pre and Post Pour"
"0c69c446-3c2d-471e-ba67-62f4712b3145","","checklist-sectioned","work-in-progress","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","LHS Slab Pours","Return Wall Slabs"
"96287460-2b87-4780-b334-fdaef87e2ae6","","folder-normal","fail","","step","TRUE","FALSE","SECTION 8 – WALL AND SLAB","Wall Pours"
"589ec289-dfd6-4499-9425-61d0ca168e29","","folder-normal","fail","","step","TRUE","FALSE","SECTION 8 – WALL AND SLAB","Wall Pours","RW4"
"469bb47f-6bea-4732-8459-21520bc7cd11","","checklist-sectioned","fail","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","Wall Pours","RW4","Retaining Wall 4 Stem - Pre and Post Pour"
"cb5bb314-8ee1-4270-8c3a-2a177c1004ba","","checklist-sectioned","work-in-progress","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","Wall Pours","RW4","Retaining Wall 4 Overlay - Pre and Post Pour"
"29cfb376-2a81-40d8-be47-d3d970de55e2","","folder-normal","fail","","step","TRUE","FALSE","SECTION 8 – WALL AND SLAB","Wall Pours","RW 2"
"4aee1046-9183-44f2-95e4-d5bfa24e41c1","","checklist-sectioned","fail","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","Wall Pours","RW 2","Retaining Wall 2 Stem - Pre and Post Pour"
"c4872702-54ff-4ab7-a744-0e729a1aa058","","checklist-sectioned","work-in-progress","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","Wall Pours","RW 2","Retaining Wall 2 - Revised Pour - Pre pour and Post Pour"
"c6a8b752-df90-4fc9-9057-f28d24da13c7","","folder-normal","work-in-progress","","step","TRUE","FALSE","SECTION 8 – WALL AND SLAB","Wall Pours","Return Walls "
"55e71950-0366-46be-8c24-5f375d9e7b50","","checklist-sectioned","work-in-progress","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","Wall Pours","Return Walls ","Return Walls "
"73bfc35a-9b13-4a41-b39d-6348d975776a","","folder-normal","work-in-progress","","step","TRUE","FALSE","SECTION 8 – WALL AND SLAB","Wall Pours","RW 3 "
"12039b23-d05e-4f81-a28a-7d86c6e2f7cc","","checklist-sectioned","work-in-progress","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","Wall Pours","RW 3 ","RW 3 Pre and Post Pours "
"30f3862e-47f6-462a-875f-5aae0ca5bbe8","","folder-normal","work-in-progress","","step","TRUE","FALSE","SECTION 8 – WALL AND SLAB","Wall Pours","RW 1 "
"feb2c670-d64e-42a4-8013-68c8de072d39","","checklist-sectioned","work-in-progress","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","Wall Pours","RW 1 ","DS2672-ITP-S116 - Wall And Slab Installation - RW1"
"5f779de0-54d3-4e2e-96fa-1e2c03f59319","","folder-normal","pass","","step","TRUE","FALSE","SECTION 8 – WALL AND SLAB","LHS Stilling Basin/Dissipater Channel Pours"
"69d80ad2-acd0-4a03-b402-80f6a31ff956","","checklist-sectioned","pass","60ea1155cfdb5cce10cfb19f85bad05228510232e9fcf4d9d42cfe0632262e2c","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","LHS Stilling Basin/Dissipater Channel Pours","Dissipater Section 1 - Pre and Post Pour"
"061afb34-fc41-4d65-8eab-fd1b3d326478","","checklist-sectioned","pass","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","LHS Stilling Basin/Dissipater Channel Pours","Dissipater Sections 2 & 4 - Pre and Post Pour"
"e1b991f8-094f-48d9-97a3-96467a258979","","checklist-sectioned","pass","DS2672-ITP-S116 - Wall And Slab Installation - Rev 4","checklist","FALSE","FALSE","SECTION 8 – WALL AND SLAB","LHS Stilling Basin/Dissipater Channel Pours","Dissipater Section 3 - Pre and Post Pour"
"484f537a-1188-43a8-ae0c-4ffd03534361","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SECTION 8 – WALL AND SLAB","RHS Stilling Basin/Dissipater Channel Pours"
"0c5d7e85-eb13-43db-949e-f5ddb0f6b6e0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SECTION 8 – WALL AND SLAB","RHS Slab Pours"
"06dd9886-a5e0-44ba-b699-f11ccd2bb68b","","folder-normal","not-started","","step","TRUE","FALSE","SECTION 9 – RAIL AND WALKWAY"
"34d74ca3-a134-4f57-b9f7-755cbc0b0edd","","checklist-sectioned","not-started","DS2672-ITP-S117 - Rail and Walkway Materials - Rev 1","checklist","FALSE","FALSE","SECTION 9 – RAIL AND WALKWAY","Rail and Walkway Materials"
"08be4c7a-992e-481d-a059-9fc5cd38371f","","checklist-sectioned","not-started","DS2672-ITP-S119 - Welding Finishing and Coating - Rev 1","checklist","FALSE","FALSE","SECTION 9 – RAIL AND WALKWAY","Welding Finishing and Coating"
"67231b47-62a8-4fd7-8867-45e4e7185d3e","","checklist-sectioned","not-started","DS2672-ITP-S120 - Rail and Walkway Installation - Rev 1","checklist","FALSE","FALSE","SECTION 9 – RAIL AND WALKWAY","Rail and Walkway Installation"
"9fc95d4d-35e1-46fd-a31e-77de9c5f1a32","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SECTION 9 – RAIL AND WALKWAY","Rail and Walkway Concrete"
