"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f4f406b6-da69-4e4b-b20f-a46c1cf42102","","folder-normal","work-in-progress","","step","TRUE","FALSE","CVSC"
"6869894b-79be-4811-bbf2-870258332f32","","checklist-sectioned","not-started","558020-DOW-ITP-PC-0025 (Kerb and Channel Footpath for CVSC)","checklist","FALSE","FALSE","CVSC","558020-DOW-ITP-PC-0025 (Kerb and Channel Footpath for CVSC)"
"e0a242c6-bb0e-4e9c-99c8-27095d4c4e2c","","checklist-sectioned","work-in-progress","558020-DOW-ITP-PC-0026_v2 (Earthworks -CVSC)","checklist","FALSE","FALSE","CVSC","558020-DOW-ITP-PC-0026_v2 (Earthworks -CVSC)"
"9733afd9-0a48-4b18-85a3-657bde406b79","","checklist-sectioned","work-in-progress","558020-DOW-ITP-PC-0027_v3 (Pavement - CVSC)","checklist","FALSE","FALSE","CVSC","558020-DOW-ITP-PC-0027_v3 (Pavement - CVSC)"
"944c9fc5-9af3-40b4-870d-32651cb647b7","","checklist-sectioned","not-started","558020-DOW-ITP-PC-0028_v2 (3 Waters - CVSC)","checklist","FALSE","FALSE","CVSC","558020-DOW-ITP-PC-0028_v2 (3 Waters - CVSC)"
"7a688a9a-eaeb-4131-889e-8d46f5b001cf","","folder-normal","not-started","","step","TRUE","FALSE","VMS - North"
"44bed72b-17ba-41f2-a008-34e19ef54657","","checklist-sectioned","not-started","558020-DOW-ITP-PC-0029_v2 (VMS Site)","checklist","FALSE","FALSE","VMS - North","558020-DOW-ITP-PC-0029_v2 (VMS Site)"
"56cdf646-955c-4817-8def-5432e0f0f556","","folder-normal","not-started","","step","TRUE","FALSE","VMS - South"
"56b67505-0f31-44a0-87ac-1459711c66b0","","checklist-sectioned","not-started","558020-DOW-ITP-PC-0029_v2 (VMS Site)","checklist","FALSE","FALSE","VMS - South","558020-DOW-ITP-PC-0029_v2 (VMS Site)"
"a2fd2307-8fc7-4bc2-b781-1058495ad3c9","","folder-normal","not-started","","step","TRUE","FALSE","Signs and Furniture"
"f82126cf-ea71-4b86-ac65-536eb5c6bef1","","checklist-sectioned","not-started","558020-DOW-ITP-PC-0030_v1 (Signs and Furniture ITPs)","checklist","FALSE","FALSE","Signs and Furniture","558020-DOW-ITP-PC-0030_v1 (Signs and Furniture ITPs)"
"8958edad-7fed-44a4-9f7d-e0c8b0c58354","","folder-normal","no-status-not-started","","step","TRUE","FALSE","WIM Site - North"
"6d791a63-83f0-4ad2-9dcc-e9690480c87e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","WIM Site - South"
