"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"19305dcf-440d-4dce-bfdc-2a12a089a1e4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"474b8d18-87d6-4ad8-a209-a07fa5f082ec","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Mamaku Passing Lane"
"950c0e0f-44df-4838-94a4-cecf607cff53","","checklist-sectioned","not-started","ITP - Mamaku Passing Lane - Pavement Renewals - Unbound Granular Overlay Rev 0.02","checklist","FALSE","FALSE","Site QA","Mamaku Passing Lane","ITP - Mamaku Passing Lane - Pavement Renewals - Unbound Granular Overlay"
"2baeee6d-143b-4681-8aa6-c62ba0039381","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Dicks Hill"
"f3d12778-afbd-4311-b4d4-ef01d789b9f2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Palmer Mill Rd"
"c0052a4f-0d63-49bc-90aa-45380681a081","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Iwitahi"
"9e015b82-b228-422f-8129-94131e1b8ff8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Earthquake Gully 1 23 - 24"
"65f86e06-ad3a-445c-9956-265635beda9d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Double ""D"" Passing Lane"
"705b825c-e488-4cf7-89ff-2de1369b9d21","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Tuahu Wall"
"f73e182e-2fad-4e54-ab49-fea1355f84d3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Te Rere Passing Lane"
"76b67730-4345-44ef-95ef-5ed189b530e4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Hihitahi"
"0232922f-880b-4003-ac5e-296b950550bd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Makatoke Viaduct"
"1e5b64b4-01ba-4e52-ac0c-e6594929e220","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Puketarata"
"3e823cea-7aed-407a-9ab9-5d0919560129","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Oterere Hill Nth"
"2981adf2-3618-44fa-bad8-8007f0dd7c2c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","FBS"
"631aa5c8-4614-4b8e-870e-d2d9488e8344","","folder-normal","no-status-not-started","","step","TRUE","FALSE","FBS","Circle S"
"b8a5015f-36c3-4d91-9752-84e6c1b845e9","","checklist-sectioned","not-started","ITP - Dicks Hill - Pavement Renewals - Unbound Granular Overlay Rev 0.04","checklist","FALSE","FALSE","ITP - Dicks Hill - Pavement Renewals - Unbound Granular Overlay"
