"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"934fb9ab-6710-5d0d-a170-b9662ddde9bb","","folder-normal","work-in-progress","","step","TRUE","FALSE","TE00829 Silo D 2023"
"c10f73e1-59bc-54a6-8cb2-73c199fc5a81","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00829 Silo D 2023","OHS"
"96d7a73c-c770-55c4-a610-3b9743014764","","folder-normal","pass","","step","TRUE","FALSE","TE00829 Silo D 2023","TAKE 5"
"fcb0c7b6-40fe-5083-b1a9-5c2775f1448c","","folder-normal","pass","","step","TRUE","FALSE","TE00829 Silo D 2023","TAKE 5","Matt Feehan"
"8dc2812d-913b-507a-8837-94fcfbd5063a","","checklist-flat","pass","f67718ffc28742497595be01323080b19dc6b0ad862c0f01b5624a8a238559f9","checklist-flat","FALSE","FALSE","TE00829 Silo D 2023","TAKE 5","Matt Feehan","Take 5 Checklist - 16.11.22"
"1311200a-1fbe-5df0-a298-d44c8bfa327c","","folder-normal","pass","","step","TRUE","FALSE","TE00829 Silo D 2023","TAKE 5","Andrew Brew"
"8bd0e74d-8344-58a7-afc1-57041f2ca22c","","checklist-flat","pass","f67718ffc28742497595be01323080b19dc6b0ad862c0f01b5624a8a238559f9","checklist-flat","FALSE","FALSE","TE00829 Silo D 2023","TAKE 5","Andrew Brew","Take 5 16/11/22"
"a7ec6272-3afd-5d0d-8397-0c3460719f64","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00829 Silo D 2023","TAKE 5","Jackson Pollock"
"f583fcb9-a6ea-586b-bb28-8e9ffcb6825e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00829 Silo D 2023","TAKE 5","Travis De Bono"
"dc45b908-8fe2-5eab-be82-dbc923062ee8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00829 Silo D 2023","TAKE 5","Flynn Harrison Brown"
"7883e2d8-56ba-5fff-afbf-9b00bccfccd4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00829 Silo D 2023","TAKE 5","Riley Blake"
"84ff4dc4-f164-5aec-8655-d0f305f543d5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00829 Silo D 2023","TAKE 5","Dale May"
"ba496d1f-65b8-514e-8ce9-90b9c03a6ce9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00829 Silo D 2023","TAKE 5","Jack Rice"
"0ab1e597-fbb4-5c67-92d5-2948ebfdff5b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00829 Silo D 2023","QA"
"c5e8b657-91fe-52ee-a046-755a82ac9c9b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00829 Silo D 2023","QA","AWNINGS"
"a0696dfc-1007-5fad-b325-85fff9903b28","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00829 Silo D 2023","QA","ROOF STRUCTURE"
"8c538e71-d18d-5196-ab49-69847d77642c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00829 Silo D 2023","QA","PARAPAT"
"f142d236-5449-5e2d-aa7f-6308780a8dd7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00829 Silo D 2023","QA","BRIDGE"
