"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"511a4e79-c9bb-465f-afda-d3cbe46312e0","","pass","Job Details Checklist","checklist","FALSE","FALSE","Job Details"
"3510a042-1e82-40bd-a855-5deebcf1bbde","","fail","","folder","TRUE","FALSE","Project QA"
"d3ab155d-15ac-4d3d-906c-37396414649d","","pass","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P01"
"0b78b7a7-3d58-486b-8938-53aa3138dd23","","fail","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P02"
"18d6953e-5132-4510-a7bc-3f0fbd8fb30f","","pass","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P03"
"2337bd65-db3c-4abc-a99c-8a6eb28948cb","","pass","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P04"
"f8bca7c1-d9b8-482a-8e5f-c32c3e3dfe27","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P05"
"6fd498ec-ee16-4902-8187-bb1d1a985819","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P06"
"c2f728b4-829e-4daf-80b2-221b12ebce37","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P07"
"57af55e7-e054-413f-892d-9a0b94b7628f","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P08"
"ed881645-9622-4145-8642-fe5dfd0b6811","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P09"
"dd1817f3-f022-4522-bda6-335197a4d195","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P10"
"51ec73ff-8125-478a-822b-728b3c8ad360","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P11"
"343ac1a1-e81b-4f45-a090-44b59121ede2","","pass","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P12"
"72dc9aee-19ee-45cf-bad2-e66a45b3a7f6","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P13"
"609f428d-e017-4d21-b5ee-2ec558683fb9","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P14"
"c0b1ecc3-74fb-495a-ba0c-5e2d3c12e7d9","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P15"
"540a6381-6437-477d-89a4-0c34962f39ae","","pass","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P16"
"5bfe7c04-9967-4f3b-8424-8602813054a6","","fail","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P17"
"729d0ce5-76c0-4ef9-b953-0bd8ca989a7c","","pass","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P18"
"6044e8a1-8e12-4cb2-8fff-2a2a19ca0495","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P19"
"4d68912e-24b4-4e03-855e-6e0a17f4d955","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P20"
"ee7037b5-f74c-4eb7-afaf-11933cdeb69f","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P21"
"abef1cd9-94af-4184-8ac1-478a61515c87","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P22"
"b796af01-2c64-498c-8cb1-d7b15f124f45","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P23"
"7b7098ef-c22f-4b1b-a77b-9dc4e8d8fba0","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P24"
"eafdfef7-51f7-4c0c-aebd-7f7a9c2a2032","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P25"
"f54f5378-d09f-4353-a8b6-e8a48b85bfea","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P26"
"e103b0da-cbde-4df1-834a-a2255d23772d","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P27"
"a84e46f2-8aee-4adc-b34b-84c06ddc63b5","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P28"
"ed2a98fb-2614-46b8-802f-ffc666743291","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P29"
"aef1e3d7-b341-4bc3-b6df-1c7b724549fa","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P30"
"6a98c446-7cb0-40de-b43e-6bec859aa9ab","","work-in-progress","5d8d8f1885eea1871d0970fb095e44fb98c4bfd2d0f011185ec5f748af8eb42a","checklist","FALSE","FALSE","Project QA","P31"
