"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2dba1e85-7dca-453c-92b8-a45bf5328af2","","folder-normal","fail","","step","TRUE","FALSE","Basement 1"
"557a73a4-149c-4d78-b4fd-8d4b7bd066e0","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 1","B1-01"
"7996f8fa-3cbe-4702-a91d-30b78debae87","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 1","B1-02"
"c50b4aa2-0ae8-4efc-bc1a-fcced2941a80","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 1","B1-03"
"4219d8c3-4c42-4042-9dc9-3f5e01db0c69","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 1","B1-04"
"be1722f3-1ff6-4ac3-8bef-0341580cea68","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 1","B1-C11"
"233dd8f3-d4fc-4f45-8d65-d8a3a68cdff9","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 1","B1-C11(2)"
"c1953f7a-175a-457e-905c-e84d0c6e994d","","folder-normal","pass","","step","TRUE","FALSE","Basement 2"
"4d7371c8-1ca5-4332-a559-b1708bbc30af","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Basement 2","B2-01"
"3b9bfaf0-fcc2-4c5d-9f56-42e883ef5988","","checklist-sectioned","pass","18e0e8461ac2864fcd106a43fc6600e8608a9d0355d3afda55c2a7d24437d8e3","checklist","FALSE","FALSE","Basement 2","B2-02"
"20e12843-27a0-48c5-a25f-f3506086c0a2","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 2","B2-03"
"dd2094f6-266f-4c7f-916f-4b07061691ee","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 2","B2-04"
"bc46803a-8ebb-4280-95e5-b62c5f594bf6","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Basement 2","B2-C11"
"67ca1756-b198-4091-ba49-94595e7a2e72","","folder-normal","pass","","step","TRUE","FALSE","Basement 3"
"c38b6db4-9ef2-4a8e-9516-52ed17dba77f","","checklist-sectioned","pass","66969da32f0ccdf7826831d585558edbcf38b74f9441a5116dc6ebaaebd6b0e4","checklist","FALSE","FALSE","Basement 3","B3-01"
"f5aa5141-6b85-46a4-a646-c21427c5b66a","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Basement 3","B3-02"
"7e3a2e07-cd22-453f-9a51-02c9f14ddafe","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Basement 3","B3-03"
"ed330902-a792-4101-908c-aff1a052707e","","checklist-sectioned","pass","427da5a758f5aa4260280b04e2dc94d2de0b92fd656ef0cf94f96fe1a2dd6068","checklist","FALSE","FALSE","Basement 3","B3-04"
