Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Fit off,,,,,,,,,
,Scope,,,,,,,,
,Rows,,,,,,,,
,,Building A,grouping,Building A,,,,,
,,Level Basement / Carpark - Lift / Lift Lobby,,lift / lift lobby,level basement / carpark,site qa,fit off,building a,common areas
,,Level Basement / Carpark - MSB room / Services,,level basement / carpark,site qa,fit off,building a,service areas,msb room / services
,,Level Basement / Carpark - Sprinkler Room,,sprinkler room,level basement / carpark,site qa,fit off,building a,service areas
,,Level Ground - Lift Lobby,,level ground,common areas wifi/camera/nurse call,lift lobby,site qa,fit off,building a
,,Level Ground - Corridor,,level ground,common areas wifi/camera/nurse call,corridor,site qa,fit off,building a
,,Level Ground - Stairwell 01,,level ground,common areas wifi/camera/nurse call,site qa,fit off,building a,stairwell 01
,,Level Ground - Services (Riser),,level ground,site qa,fit off,services (riser),building a,service areas
,,Level 1 - Lift Lobby,,lift lobby,site qa,fit off,building a,level 1,common areas
,,Level 1 - Corridor,,corridor,site qa,fit off,building a,level 1,common areas
,,Level 1 - Stairwell 01,,site qa,fit off,building a,level 1,common areas,stairwell 01
,,Level 1 - Services (Riser),,site qa,fit off,services (riser),building a,level 1,service areas
,,Level 2 - Lift Lobby,,lift lobby,site qa,fit off,building a,common areas,level 2
,,Level 2 - Corridor,,corridor,site qa,fit off,building a,common areas,level 2
,,Level 2 - Stairwell 01,,site qa,fit off,building a,common areas,level 2,stairwell 01
,,Level 2 - Services (Riser),,site qa,fit off,services (riser),building a,service areas,level 2
,,Building B,grouping,Building B,,,,,
,,Level Basement / Carpark - Lift / Lift Lobby,,lift / lift lobby,level basement / carpark,site qa,fit off,common areas,building b
,,Level Basement / Carpark - MSB room / Services,,level basement / carpark,site qa,fit off,service areas,building b,msb room / services
,,Level Basement / Carpark - Sprinkler Room,,sprinkler room,level basement / carpark,site qa,fit off,service areas,building b
,,Level Ground - Lift Lobby,,level ground,lift lobby,site qa,fit off,common areas,building b
,,Level Ground - Corridor,,level ground,corridor,site qa,fit off,common areas,building b
,,Level Ground - Stairwell 01,,level ground,site qa,fit off,common areas,building b,stairwell 01
,,Level Ground - Services (Riser),,level ground,site qa,fit off,services (riser),service areas,building b
,,Level 1 - Lift Lobby,,lift lobby,site qa,fit off,level 1,common areas,building b
,,Level 1 - Corridor,,corridor,site qa,fit off,level 1,common areas,building b
,,Level 1 - Stairwell 01,,site qa,fit off,level 1,common areas,building b,stairwell 01
,,Level 1 - Services (Riser),,site qa,fit off,services (riser),level 1,service areas,building b
,,Level 2 - Lift Lobby,,lift lobby,site qa,fit off,common areas,building b,level 2
,,Level 2 - Corridor,,corridor,site qa,fit off,common areas,building b,level 2
,,Level 2 - Stairwell 01,,site qa,fit off,common areas,building b,level 2,stairwell 01
,,Level 2 - Services (Riser),,site qa,fit off,services (riser),service areas,building b,level 2
,,Pohutukawa Care Building,grouping,Pohutukawa Care Building,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Columns,,,,,,,,
,,GPON - Fit Off,,gpon - fit off (photos attached),,,,,
,,GCS - Structured Cabling,,gcs - structured cabling (photos attached),,,,,
,,PERS - Nurse Call Fit Off,,pers - nurse call fit off (photos attached),,,,,
,,ESS - Camera Fit Off,,ess - camera fit off (photos attached),,,,,
,,ESS - Intercom Fit Off,,ess - intercom fit off (photos attached),,,,,
,,ESS - Access Control Fit Off,,ess - access control fit off (photos attached),,,,,
,,Audio Visual / MATV - Fit off,,audio visual / matv - fit off (photos attached),,,,,
,,,,,,,,,
Pre Wire,,,,,,,,,
,Scope,,,,,,,,
,Rows,,,,,,,,
,,Building A,grouping,building a,,,,,
,,Level Basement / Carpark - Lift / Lift Lobby,,lift / lift lobby,level basement / carpark,site qa,pre wire,building a,common areas
,,Level Basement / Carpark - MSB room / Services,,level basement / carpark,site qa,pre wire,building a,service areas,msb room / services
,,Level Basement / Carpark - Sprinkler Room,,sprinkler room,level basement / carpark,site qa,pre wire,building a,service areas
,,Level Ground - Lift Lobby,,level ground,common areas wifi/camera/nurse call,lift lobby,site qa,pre wire,building a
,,Level Ground - Corridor,,level ground,common areas wifi/camera/nurse call,corridor,site qa,pre wire,building a
,,Level Ground - Stairwell 01,,level ground,common areas wifi/camera/nurse call,site qa,pre wire,building a,stairwell 01
,,Level Ground - Services (Riser),,level ground,site qa,services (riser),pre wire,building a,service areas
,,Level Ground - Apartment G-1,,level ground,site qa,residential areas,apartment g-1,pre wire,building a
,,Level Ground - Apartment G-2,,level ground,site qa,residential areas,pre wire,building a,apartment g-2
,,Level Ground - Apartment G-3,,level ground,site qa,residential areas,pre wire,building a,apartment g-3
,,Level Ground - Apartment G-4,,level ground,apartment g-4,site qa,residential areas,pre wire,building a
,,Level Ground - Apartment G-5,,apartment g-5,level ground,site qa,residential areas,pre wire,building a
,,Level Ground - Apartment G-6,,level ground,site qa,apartment g-6,residential areas,pre wire,building a
,,Level Ground - Apartment G-7,,level ground,apartment g-7,site qa,residential areas,pre wire,building a
,,Level Ground - Apartment G-8,,level ground,site qa,residential areas,pre wire,building a,apartment g-8
