"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"63dff424-d237-46bc-b79a-0347cbcf7627","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"662b7a40-3e39-474f-b057-25961f575050","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","SOG B-1"
"3bfa393e-694d-4f42-95c5-d3408084dffe","","checklist-flat","work-in-progress","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Walls"
"3d3bfd10-46ee-45a1-a7dc-18b3b2b2e6aa","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Ground","System"
"3107f35b-f0ad-4b48-b7d7-44ee530cda79","","checklist-flat","fail","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Slab"
"43cec90b-694e-4d0e-a6ea-dac8c0ffa3ab","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ground","Stairs"
"bb569f53-3535-4a7b-9d8d-25726d3b4676","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Ground","Hoist"
"1aa60c37-b297-436b-8e55-a0aa262779b5","","checklist-flat","pass","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Lift core P3"
"72e21a11-ed2d-4236-b347-9272ae1cacc7","","checklist-flat","work-in-progress","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","stair 3 core 09/03/23"
"a49b6e5f-fea0-4333-a484-1b0a49b2f653","","checklist-flat","work-in-progress","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","column pre pour 09/03/23"
"0cd6d8b4-b044-41fa-b606-3abb99a0d0ad","","checklist-flat","work-in-progress","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","stair 3 core top up 17/03/23"
"ab6de35b-1e60-4fe5-9d50-fc1c13bccedd","","checklist-flat","fail","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","27/03/2023  Pour 2 Ground Level Suspended Slab"
"dace44a0-ccee-4b1b-92db-e0ecf4e4ecac","","checklist-flat","work-in-progress","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Pour 3 Ground Level Suspended Slab  05/04/2023"
"334b0892-b6d1-48a9-9106-9f282b77612a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Mezz Level"
"bfa98dce-5cc5-4d2e-ae6b-2bb9e342ad37","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Columns"
"0df706b5-f43a-4d2a-953d-070b44a0cf95","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Walls"
"bf3126db-e3ec-4a11-8e1d-8ca0d243e857","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Mezz Level","System"
"f423a7f0-eeb4-4a84-8221-e57e54db702a","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Slab"
"a1c64e57-457c-48ed-86f8-2be948076ddf","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Mezz Level","Stairs"
"72db6ef7-fb5f-4b14-8342-3241a2322d57","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Mezz Level","Hoist"
"b926d7d1-e5ae-47c4-9661-a53b1af70629","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 1"
"cfb3c19e-31a3-450c-9606-969454e7e6e0","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Columns"
"2a4a3bd3-558b-4d39-834d-19ebebc28e4f","","checklist-flat","pass","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Walls"
"3e733337-4a57-4c69-b4f6-1d58721acb2c","","checklist-sectioned","work-in-progress","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 1","System"
"46dffa90-bb85-41c2-ac41-3e3208089321","","checklist-flat","work-in-progress","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Slab"
"aad0aecc-9623-4ca6-86b6-6887ff5ebc72","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Stairs"
"5bfb10eb-0204-4537-a60c-07a7e3dcfb5d","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 1","Hoist"
"e31761ca-6fab-457a-a9fb-854e491b358c","","checklist-flat","pass","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Columns Checklist 04/04/23"
"3f834c3b-f937-4a87-8a92-fd98b8bd6323","","checklist-flat","pass","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Walls Checklist CW6 pour A"
"a1f2b6d8-2f03-4811-8984-63b04be1ebbe","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","1500mm Deep Beam Level 1 Pour 1;  26/04/2023"
"674d4971-95fa-43db-a07a-022fa96cb859","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Pour 1 Level 1;  28/04/2023"
"503429ac-5dc9-42b2-a58b-133383618642","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 2"
"6d2ed30f-f9d2-4514-97b9-921dca79cb9a","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Columns"
"c147f07e-5ef6-437d-83d0-aa76e1d61e98","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Walls"
"0a79a78d-e447-448c-9bb0-333aaefa55d5","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 2","System"
"fb16b3f5-c4fb-422f-b355-a4a5d5ec013b","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Slab"
"ed1c709a-584b-4223-90ab-199c21f5a064","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Stairs"
"a0322e89-9e8a-40c0-8ac8-84d6082599df","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 2","Hoist"
"045c202c-bbe4-4578-9696-385ce015dc39","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 3"
"7180af2f-6498-4cbb-953a-af83249e2897","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Columns"
"27d47b6e-6119-4af2-94c2-6a2e82f8cf54","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Walls"
"fe3b79de-7414-4547-aeb3-3497466317bf","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 3","System"
"f8e1c966-c6c9-4fe6-afe5-1bcb14d6ab66","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","Slab"
"f52fbf4d-64fa-4ef5-b96c-101fb5ed4513","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 3","Stairs"
"d436df70-586c-4600-9a2c-5a5bbebdfc12","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 3","Hoist"
"806d1a8b-55d6-4064-94fe-82bce81b80cd","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 4"
"e76bcf18-b9ec-4052-9b64-5cb936b3646e","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Columns"
"271e80eb-e3ae-42c3-903e-7597519872b8","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Walls"
"22345050-9b55-4490-9379-275a531315e0","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 4","System"
"d7c146c9-355f-40fa-a607-048d6ba2635b","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Slab"
"510b828c-cff2-4aea-b302-0e4deba1faa7","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 4","Stairs"
"85ca1fe5-5153-4c28-9727-ad976b50872f","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 4","Hoist"
"a8997c57-7ca1-4987-860f-fafd9479d115","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 5"
"f7dba21e-078a-4760-81ba-e228b1129e07","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Columns"
"391b1c9d-ee31-41f4-b9af-5852b5d31be9","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Walls"
"afb7a131-1531-4530-9307-516ccf5856f7","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 5","System"
"f2b80d61-5714-45e1-984c-fbf48282caad","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Slab"
"83143aa8-cbeb-4acd-b376-f9e207b6605e","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 5","Stairs"
"6ee0619b-44b9-41ed-ab32-1458c98638b9","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 5","Hoist"
"9531376b-14a9-4812-9331-5512d954b078","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 6"
"57024c2b-f1f9-4290-9798-76578d2a4a01","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Columns"
"7d9b46c8-b7e2-41a9-a450-44643df60187","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Walls"
"7a20f7e4-a717-4e31-9886-167381809dbf","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 6","System"
"633940b9-e085-4fad-ab35-c9221772ad2f","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Slab"
"fe969a74-6051-4c3e-ad5f-043665001897","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Stairs"
"2823d72f-a64c-48f3-b503-c0e66d4134f8","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 6","Hoist"
"ee33191a-7aa8-43c3-9d47-7f1df1578bba","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 7"
"f46c969b-bfc6-493b-b941-e8d8ab524ae1","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Columns"
"0a117cae-fc14-444c-845a-f6d1fe6fb591","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Walls"
"400c6f71-68b5-47fe-8dd9-7d0e915700cb","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 7","System"
"88398d1a-c134-49a6-8a5a-1ecd3feec165","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Slab"
"d4332846-228d-40ca-acbc-63b2ed49591c","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 7","Stairs"
"534e0ae5-8002-4cad-80fb-ab2e260c2e86","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 7","Hoist"
"38588bd1-4a88-4159-aeed-7f55c7366c6d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 8"
"102eaf9e-d9d2-45d9-9a5b-5e25ed812c36","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Columns"
"fb8f33f5-deac-42be-be54-f086cfdc608e","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Walls"
"ac383b6a-ffd2-4859-b2a1-b9b8958c413c","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 8","System"
"352ae8e5-c03c-40bb-a4a8-1b9c1a607a2f","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Slab"
"3d2a3b35-1a8f-405d-a0db-21675bbb4cf6","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 8","Stairs"
"b0faa252-3544-41a6-9a94-ebaf956345ca","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 8","Hoist"
"0cb4dd3e-346d-4ca1-9965-dc78d41f666e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 9"
"2ac94628-4a03-42bd-9efc-a01c576b94b0","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 9","Columns"
"0b044bee-ed1f-40b7-aa40-967264353c6c","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 9","Walls"
"948817cf-ba76-431d-acef-5f6ac8993f70","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 9","System"
"d74f316e-a40d-4223-ab2e-51b293c59a05","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 9","Slab"
"9d2f252e-8141-42a1-aa08-55dfa9cb3f5b","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 9","Stairs"
"a88d943d-7e5b-48bb-b699-eb91bcc2e712","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 9","Hoist"
"c091f2aa-df7e-4407-acbc-bd6ace97d94f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 10"
"9dc2595a-8e65-4045-b0ee-04d62947568b","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 10","Columns"
"239ce55d-1271-4cf1-b448-ef83c3e917b5","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 10","Walls"
"a59ac040-7d43-4b1e-a5f1-9b6ef9e19872","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 10","System"
"fa20ece7-0e12-4d09-883e-d1e7e7ddd81f","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 10","Slab"
"955537b4-69fc-4591-a2fd-8352b237f32e","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 10","Stairs"
"d025d26e-05d4-428d-91bb-d8613c285d0f","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 10","Hoist"
"a821dc1c-e527-454c-8162-019b58aabc90","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 11"
"163c7ab6-3b00-489a-aaf7-b054c566937a","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 11","Columns"
"5e89db67-05dc-435e-8e63-609fa1eabfcf","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 11","Walls"
"68f3c1a7-566b-4b88-bc75-e260f22be04c","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 11","System"
"cc90f66b-9659-4977-9352-e75213bfecd2","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 11","Slab"
"2746aeac-cd86-43e4-b250-5f566af7315a","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 11","Stairs"
"188a2ee3-a68d-4306-bf65-6ae48aeb2d94","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 11","Hoist"
"66887383-8d62-4b4d-a040-57ec1becede1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 12"
"b050bbb4-e82f-498f-8ff4-08950f430ee6","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 12","Columns"
"e2c27423-7340-4ac3-bd36-6f9f5a4becf6","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 12","Walls"
"52070144-02bb-4af9-8db9-3fe39546e598","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 12","System"
"008507a6-d864-43bf-9ec0-1fd1fbc1a384","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 12","Slab"
"c89e925f-75ae-4015-8913-a8db24601eb3","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 12","Stairs"
"46d14358-380b-47ba-ae90-f37eac2bdfcf","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 12","Hoist"
"e14358a4-b680-4867-a708-03d47e20fa8b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 13"
"65eecaa3-ae55-4c0d-af44-5143ddb3848c","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 13","Columns"
"e2214b4f-6e4e-49f4-aa61-a38878ce43ef","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 13","Walls"
"d7e052c9-1372-4542-939d-1243277c643f","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 13","System"
"d9af344c-cb1c-49d8-8471-6fe61f4980a8","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 13","Slab"
"b7ca9bbd-0286-48eb-9ed2-644f9114f74e","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 13","Stairs"
"f911cba7-20b7-41e5-a89b-42b953d67164","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 13","Hoist"
"bc07eee0-933d-45f5-8b35-455c9e1ffa0f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 14"
"a22a799e-31a2-4e1b-b90e-8544276c6259","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 14","Columns"
"5dbd66ef-dd0f-406d-9da1-3b685279458b","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 14","Walls"
"ca4d2977-b9c8-475c-854a-ae713e240ba0","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 14","System"
"f8215a28-9f34-4906-918b-67609fef3094","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 14","Slab"
"2a19493a-36dd-44fc-ae76-f4ad905ab948","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 14","Stairs"
"a608cf14-c723-460e-a3a8-94de0e89f36f","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 14","Hoist"
"8d116abd-4aa4-424b-bcc6-3a98ab97c598","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 15"
"e1f665a1-7f95-47e2-bcbf-26b96ba8cce5","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 15","Columns"
"a4d5d0f4-6f10-4e8e-86b7-42996b1501c8","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 15","Walls"
"38e884fa-3739-499c-891a-8dedb784dfcd","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 15","System"
"00bc0e4e-873b-47b9-9ea1-e87acd7e71c4","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 15","Slab"
"eba36c69-8f64-413c-92a3-3eec6225ab15","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 15","Stairs"
"38029977-f1d1-4080-9e6e-10639affd88d","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 15","Hoist"
"9bb9da2b-5d4e-4804-9343-d4ac48932733","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 16"
"fa85d239-bef0-41b2-8fb7-030ec1f1616f","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","Columns"
"407d8086-b425-4f0b-ac9e-250ef2ed26f0","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","Walls"
"cfac4c41-9ef3-4580-a513-ca23d83e2478","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 16","System"
"17e46d96-afbf-4eb4-af83-765cbc44b414","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","Slab"
"0d9ad09c-7201-405e-8002-f21fbd256ba5","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 16","Stairs"
"214d9ca1-4de3-492f-811c-99067317b20d","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 16","Hoist"
"614e02bf-7293-48f0-a5ac-41a900154b1e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 17"
"00f66154-496c-4a20-898a-4b1e5d69ff3f","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","Columns"
"365550ca-c6e9-4f54-a1db-9f3963aa67fe","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","Walls"
"bc4270c5-d28f-4490-9bd3-5b746ec95153","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 17","System"
"8d414bac-6635-4ac4-a6f0-a0991495a0ed","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","Slab"
"a11f8ac6-bdc5-4146-89eb-81d71ca13dc0","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 17","Stairs"
"b86175a8-68b7-419c-bd86-d4f3752f29c1","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 17","Hoist"
"c99cb351-5195-4e89-b60e-d01448ea7d6a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Roof"
"471b96b2-eab2-4c42-acb6-636ad1fc68a7","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Roof","Core Walls"
"c0e9479f-9dce-4115-b64f-1d8bc5422fe4","","checklist-sectioned","not-started","Core Lids Checklist","checklist","FALSE","FALSE","Site QA","Roof","Core lids"
"bf6058ed-1494-4dd8-814e-098e5587b279","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site Diary"
"900443d3-3337-4895-b0a8-c11c4025301c","","folder-normal","pass","","step","TRUE","FALSE","Site Diary","1/01/2023"
"386eb743-0fb0-48f1-ad27-5ce0fc930c31","","checklist-flat","pass","Add Site Diary","checklist-flat","FALSE","FALSE","Site Diary","1/01/2023","Site Diary"
"d0bcfe76-b2a0-4436-8304-79e33f099eff","","checklist-flat","pass","Add Site Diary","checklist-flat","FALSE","FALSE","Site Diary","1/01/2023","Site Diary"
