"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Ground Floor","dynamic","ground floor","panels"
,,"Level 1","dynamic","level 1","panels"
,,"Level 2","dynamic","level 2","panels"
,"Columns"
,,"Precast Element Details",,"precast element details"
,,"Reinforcing Yard Checks (Reo QA)",,"reinforcing yard checks (reo qa)"
,,"Formwork Set  Up Checks (Tables QA)",,"formwork set  up checks (tables qa)"
,,"Prepour Checks (Tables QA)",,"prepour checks (tables qa)"
,,"Post Pour (Table Supervisor)",,"post pour (table supervisor)"
,,"Demould Inspection (Yard QA)",,"demould inspection (yard qa)"
,,"Overall Panel Quality (Yard QA)",,"overall panel quality (yard qa)"
,,"Loading Out (Yard QA)",,"loading out (yard qa)"
,,"Test Results, Certificates and Documentation (Reo & Yard QA)",,"test results, certificates and documentation (reo & yard qa)"

