"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"914dcbd1-623d-40ad-9184-25400a8f8fe1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Pre-pour & Concrete Delivery"
"f69fbe5f-e586-4013-be58-cc4f03aedb34","","folder-normal","not-started","","step","TRUE","FALSE","Pre-pour & Concrete Delivery","PSC01"
"72b609c7-45fc-4c9b-8393-0b58d07100a0","","checklist-sectioned","not-started","cb4533c196e0fa975a9e0dc78c392df5749b28ef0f54384ca251055a648a334b","checklist","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC01","Pre-Pour"
"7e4a2e9b-05e0-4547-927a-f953407d166f","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC01","Concrete Delivery"
"0dc0f091-0452-4065-bd93-038c4d2d5678","","folder-normal","pass","","step","TRUE","FALSE","Pre-pour & Concrete Delivery","PSC02"
"b62191c3-f339-4afe-bec2-9e6f87933c52","","checklist-sectioned","pass","zSYS - Pre-Pour Checklist (old version)","checklist","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC02","Pre-Pour"
"74fe6f4c-021d-4899-9df1-4f37f9511139","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC02","Concrete Delivery"
"aa81a836-755f-4e51-a1c8-89e06b3650a0","","folder-normal","pass","","step","TRUE","FALSE","Pre-pour & Concrete Delivery","PSC03"
"b2388e56-93c8-41a7-9c94-14c4a0e6f3e4","","checklist-sectioned","pass","zSYS - Pre-Pour Checklist (old version)","checklist","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC03","Pre-Pour"
"4b146de5-dbe6-4fd0-89fd-54a0b4b71840","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC03","Concrete Delivery"
"17079db2-7b0b-4457-85a1-f3ce51c59115","","folder-normal","not-started","","step","TRUE","FALSE","Pre-pour & Concrete Delivery","PSC04"
"1eaa9408-4883-4d81-a93b-be2f3edcaaee","","checklist-sectioned","not-started","cb4533c196e0fa975a9e0dc78c392df5749b28ef0f54384ca251055a648a334b","checklist","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC04","Pre-Pour"
"ed6b7bc9-8dce-4d91-ae10-96bd69eeb5e3","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC04","Concrete Delivery"
"d431bf47-dad0-4333-b66c-3ea83eb79ead","","folder-normal","not-started","","step","TRUE","FALSE","Pre-pour & Concrete Delivery","PSC05"
"e8c0d6ce-4a95-43b2-a7bd-9ec12285dfce","","checklist-sectioned","not-started","cb4533c196e0fa975a9e0dc78c392df5749b28ef0f54384ca251055a648a334b","checklist","FALSE","FALSE","Pre-pour & Concrete Delivery","PSC05","Pre-Pour"
