type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Metecno Panels,,,,,,,
section,Prestart,,,,,,,
checkpoint,Edge protection/scaffold in place,,,,,,,
holdpoint,Raise remedial / request review,,,,,,,
checkpoint,Safety nets installed,,,,,,,
holdpoint,Raise remedial / request review,,,,,,,
checkpoint,Purlins/battens & all necessary timberwork complete,,,,,,,
holdpoint,Raise remedial / request review,,,,,,,
section,Checklist : Metecno QA,,,,,,,
checkpoint,Underflashings & tapes installed correctly,,,,,,,
checkpoint,Panels lap tape & seals installed,,,,,,,
checkpoint,Roof laid in correct sequence,,,,,,,
checkpoint,Securelap installed,,,,,,,
checkpoint,Roof screwed off as per specification,,,,,,,
checkpoint,Foam filling complete,,,,,,,
checkpoint,Flashing junctions sealed & tidy,,,,,,,
checkpoint,Roof clean of roofing debris,,,,,,,
checkpoint,Roof clean of swarf - mark on plan areas of concern & include photos,,,,,,,
checkpoint,Damaged roofing sheet profile - mark on plan areas of concern & include photos,,,,,,,
checkpoint,Scratches - mark on plan areas of concern & include photos,,,,,,,
