"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"95f30d78-2b39-5fca-acea-726a0ee58476","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:7a83e1e9-2617-4a2d-9433-0182813596cd","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.PC.03","Waterproofing amenities floors, 150mm return to walls and shower walls only as per project specifications and as3740-2010 using mapei mapelastic smart or mapei aquadefense"
"0ab99ee0-d736-5921-a380-0d5537577375","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:ed875435-e7a3-48e6-b6a8-8f7d4e9a1d38","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.PC.03","Flood testing"
"8fd2adf2-56de-570d-8ccc-809669781d14","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:4dd93d1e-b8f8-420f-97df-eb1171b6547a","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.PC.03","Fix floor & wall tiles using mapei ultralite s1"
"10c31ac1-716a-5c2a-b154-cfc007587e1b","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:000eec2f-8f6a-4af4-94e9-f3586b994c31","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.PC.03","Grout using mapei keracolor ff"
"f25d2b5e-ab2c-5406-ac15-2d964797edb4","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:623d38e4-8e84-4da5-8510-045cf2d162cb","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.PC.03","Using silicone colour to match grout"
"ea095d47-2542-52bd-afc2-fb570765a665","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:2815bcc3-0139-4a7f-83af-a456ac723bd6","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.PC.03","Area cleaned and removed all redundant materials"
"b1b480da-1424-48ec-81e5-7ddf71fd3182","","checklist-flat","not-started","ITP01 - Ceramic Tiling","checklist-flat","FALSE","FALSE","Site QA","Tiling","Ground Level","LG.FBB.01"
"0936a8ae-4c09-5b30-9522-5375d99a6949","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:6848c40a-4cdd-4ecc-991b-c5d7676d8aac","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FBB.01","Ensure floor / substrate is clean of debris, dust and redundant materials"
"92b49bc4-588e-5159-9cea-dc3e2085a793","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:772e9aa5-5a07-428e-90c7-580e486d11cb","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FBB.01","Waterproofing amenities floors, 150mm return to walls and shower walls only as per project specifications and as3740-2010 using mapei mapelastic smart or mapei aquadefense"
"9adb3a4a-1d94-571e-8289-9a0ae24215cf","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:f1e1128d-4199-4a18-8731-91117ea2969a","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FBB.01","Screed area and ensure it reaches required strength"
"6c3eb9c0-80e9-5f15-b3b8-6c56c67c3210","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:7a83e1e9-2617-4a2d-9433-0182813596cd","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FBB.01","Waterproofing amenities floors, 150mm return to walls and shower walls only as per project specifications and as3740-2010 using mapei mapelastic smart or mapei aquadefense"
"62803434-7a3d-585c-a1a1-8d8f61b0c7e6","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:ed875435-e7a3-48e6-b6a8-8f7d4e9a1d38","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FBB.01","Flood testing"
"017191a3-b597-5386-80e8-ff18bf4826c4","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:4dd93d1e-b8f8-420f-97df-eb1171b6547a","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FBB.01","Fix floor & wall tiles using mapei ultralite s1"
"c4837329-ef3e-549f-8621-26e734d0eff7","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:000eec2f-8f6a-4af4-94e9-f3586b994c31","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FBB.01","Grout using mapei keracolor ff"
"0a0295c4-ce1a-5b22-bb6e-855af93d9070","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:623d38e4-8e84-4da5-8510-045cf2d162cb","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FBB.01","Using silicone colour to match grout"
"a38e72fc-eadf-5659-9218-26fd650c6fa1","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:2815bcc3-0139-4a7f-83af-a456ac723bd6","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FBB.01","Area cleaned and removed all redundant materials"
"39a7c18a-ac4d-477b-bf66-099fe68e6743","","checklist-flat","not-started","ITP01 - Ceramic Tiling","checklist-flat","FALSE","FALSE","Site QA","Tiling","Ground Level","LG.FO.01"
"be8c7bd8-4dd0-5c41-9ee6-98dfd264aa72","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:6848c40a-4cdd-4ecc-991b-c5d7676d8aac","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FO.01","Ensure floor / substrate is clean of debris, dust and redundant materials"
"74839f78-fdec-5458-be3e-cf3071ad11eb","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:772e9aa5-5a07-428e-90c7-580e486d11cb","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FO.01","Waterproofing amenities floors, 150mm return to walls and shower walls only as per project specifications and as3740-2010 using mapei mapelastic smart or mapei aquadefense"
"bf47044c-0285-5031-94aa-7d1c09451f20","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:f1e1128d-4199-4a18-8731-91117ea2969a","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FO.01","Screed area and ensure it reaches required strength"
"ff1b2a44-335b-528e-a536-7357a6c3b779","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:7a83e1e9-2617-4a2d-9433-0182813596cd","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FO.01","Waterproofing amenities floors, 150mm return to walls and shower walls only as per project specifications and as3740-2010 using mapei mapelastic smart or mapei aquadefense"
"354b7901-05bb-5f4d-aa96-71eb0204b7fb","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:ed875435-e7a3-48e6-b6a8-8f7d4e9a1d38","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FO.01","Flood testing"
"63d427c9-3f61-53ea-9459-72663ae7ed71","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:4dd93d1e-b8f8-420f-97df-eb1171b6547a","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FO.01","Fix floor & wall tiles using mapei ultralite s1"
"dc699793-6d8b-5903-a74c-ecb93638928c","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:000eec2f-8f6a-4af4-94e9-f3586b994c31","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FO.01","Grout using mapei keracolor ff"
"d9753de5-6fd5-5c59-85d7-ab184b388d63","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:623d38e4-8e84-4da5-8510-045cf2d162cb","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FO.01","Using silicone colour to match grout"
"daf650d5-deda-584d-84a4-b118d251b7ae","","checkpoint-status","not-started","ITP01 - Ceramic Tiling:2815bcc3-0139-4a7f-83af-a456ac723bd6","","TRUE","TRUE","Site QA","Tiling","Ground Level","LG.FO.01","Area cleaned and removed all redundant materials"
