"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5ee26e90-09ed-427d-bc2b-5df00db3341d","","folder-normal","","","step","TRUE","FALSE","B1"
"6450498c-b7a7-4d1b-a9c4-913d4e1775b2","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP01"
"7a4583b5-d0a3-4a71-8872-359f9a6b141d","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP01A"
"7d0351f1-efdd-4e4d-a10e-3f7214720d54","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP03"
"47852856-95dc-4438-bdf3-89318177c1ba","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP04"
"425873c2-c403-4a52-8380-d1b8b9ea58f8","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP06"
"cb3d8444-b547-4894-b170-bd08b368d44f","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP07"
"60bb9871-a4c4-4471-99e8-3ca02e1a0d30","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP08"
"5763d99f-e635-4efd-b9ac-391d5d3a0296","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP09"
"621ca312-fea2-4071-8aff-f66a0db9e15b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B1","B1-CP10"
"9e78d80a-299f-40f7-9e9f-44b55a6a7795","","folder-normal","","","step","TRUE","FALSE","B2"
"41de01db-d6fb-41fb-840e-0a0ef41cd574","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C01"
"84913889-25fc-41e9-8afd-29608e9a6c5f","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C02"
"39b1812a-f084-4cc0-bb7c-56b37cb19b51","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C03"
"69b89303-0c20-4f0a-9408-595db75080ee","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C04"
"20f35a1f-0a11-4202-8450-be82c9e17293","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C05"
"3b3d19ea-f934-4bce-b928-0630e3f5f9bd","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","B2","B2-C06"
