type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Sewer Pump Station:,,,,,,Add Sewer Pump Station checks,
section,Sewer Pump Station,,,,,,,
checkpoint,Plans Issues are correct,,,,,,,
checkpoint,Pump Station plans issues and correct - showing components and IL,,,,,,,
checkpoint,Check Plans for Sizing and pipe materials,,,,,,,
checkpoint,Subgrade Test - Use Scala or Shear Vane - 3 Blows per 100mm or 60KPA,,,,,,,
checkpoint,Holding Tank - Size and Spec correct,,,,,,,
checkpoint,Imported filled correctly as per engineer spec,,,,,,,
checkpoint,Backfilled in layers of 300mm - Test every 10m - 4 Blows per 100mm or over 30CIV on Clegg,,,,,,,
checkpoint,All trenches compacted with Compactor,,,,,,,
checkpoint,"Services required for pump station - Power, Comms, Water, etc",,,,,,,
checkpoint,Manholes Hauched as per Detail and Code,,,,,,,
checkpoint,All pipes tested,,,,,,,
checkpoint,Photos Taken,,,,,,,
checkpoint,Engineer/ Council Inspection passed,,,,,,,
,,,,,,,,
,,,,,,,,
checklist,Stormwater Water Catchment Discharge:,,,,,,Add Stormwater Water Catchment Discharge checks,
section,Stormwater Water Catchment Discharge,,,,,,,
checkpoint,Plans Issues are correct,,,,,,,
checkpoint,Discharge Manholoe correct size and Depth,,,,,,,
checkpoint,Check Plans for Sizing and pipe materials,,,,,,,
checkpoint,Subgrade Test - Use Scala or Shear Vane - 3 Blows per 100mm or 60KPA,,,,,,,
checkpoint,Discharge Pipes - Correct size,,,,,,,
checkpoint,Imported filled correctly as per engineer spec,,,,,,,
checkpoint,Backfilled in layers of 300mm - Test every 10m - 4 Blows per 100mm or over 30CIV on Clegg,,,,,,,
checkpoint,All trenches compacted with Compactor,,,,,,,
checkpoint,Anti-scour blocks installed as per engineer details,,,,,,,
checkpoint,Manholes Hauched as per Detail and Code,,,,,,,
checkpoint,Riprap installed around Discharge manhole as per Detail,,,,,,,
checkpoint,All pipes tested,,,,,,,
checkpoint,Photos Taken,,,,,,,
checkpoint,Engineer/ Council Inspection passed,,,,,,,
