"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"59bcce4e-4e1b-4307-a192-eebac70c9f09","","work-in-progress","","folder","FALSE","FALSE","Sarnafil Roof"
"f8ff9545-754a-4655-8a01-5af1ee4ac8bd","","work-in-progress","Sarnafil QA","checklist","FALSE","FALSE","Sarnafil Roof","Sarnafil QA"
"c8f5963b-b1b8-442e-9238-0f70bf3c02cc","","work-in-progress","","folder","FALSE","FALSE","Workshop"
"1fba9e3a-c56a-48df-82cc-98e1cec87b74","","work-in-progress","Bentonite QA","checklist","FALSE","FALSE","Workshop","Bentonite QA"
"7ece74f0-739e-4856-9c6b-5d9ce1173059","","work-in-progress","","folder","TRUE","FALSE","Puddle flange QA"
"0c6d6bae-e94c-4aa8-8823-dda6619ac6b3","","not-started","","folder","TRUE","FALSE","Puddle flange QA","Level 1"
"c30c111e-babe-49e0-ba6f-7f0e2b4f94ab","","not-started","Gripset Waterproofing QA","checklist","FALSE","FALSE","Puddle flange QA","Level 1","Zone A"
"0386536e-77aa-4115-8aef-f1679604da88","","not-started","Gripset Waterproofing QA","checklist","FALSE","FALSE","Puddle flange QA","Level 1","Zone B"
"d5cbcd82-f45b-401d-bbc7-f3a1c7d5df45","","work-in-progress","","folder","TRUE","FALSE","Puddle flange QA","Level 2"
"33f28768-1db9-4ee1-95e7-ddb59241cfde","","work-in-progress","Gripset Waterproofing QA","checklist","FALSE","FALSE","Puddle flange QA","Level 2","Zone A"
"7145a286-a6c3-4fad-bf86-bbe2a42da916","","work-in-progress","Gripset Waterproofing QA","checklist","FALSE","FALSE","Puddle flange QA","Level 2","Zone B"
"fe3a8468-c650-4f68-9ebd-14a82f4d8d53","","work-in-progress","","folder","TRUE","FALSE","Puddle flange QA","Level 3"
"d8e0cc50-751b-48eb-89c1-edea9e82c610","","work-in-progress","Gripset Waterproofing QA","checklist","FALSE","FALSE","Puddle flange QA","Level 3","Zone A"
"376ae89e-e6a0-4398-8875-64c55f0e1344","","work-in-progress","Gripset Waterproofing QA","checklist","FALSE","FALSE","Puddle flange QA","Level 3","Zone B"
"e18f490e-a071-4dcf-9cd8-d120b5a0e087","","work-in-progress","","folder","TRUE","FALSE","Puddle flange QA","Level 4"
"21d1ccab-565f-4c52-b238-c760fb87df49","","work-in-progress","Gripset Waterproofing QA","checklist","FALSE","FALSE","Puddle flange QA","Level 4","Zone A"
"9e28b932-ccb2-484e-8551-be78b2a8022f","","work-in-progress","Gripset Waterproofing QA","checklist","FALSE","FALSE","Puddle flange QA","Level 4","Zone B"
"bd603719-62b2-447d-b0ee-33d4746f8da4","","work-in-progress","","folder","TRUE","FALSE","Puddle flange QA","Level 5"
"5e95410b-acd2-48ea-9f85-dac08c4bb11e","","work-in-progress","Gripset Waterproofing QA","checklist","FALSE","FALSE","Puddle flange QA","Level 5","Zone A"
"34e6355d-a15c-4fe2-a9c3-bb0cc8e3cbdd","","work-in-progress","Gripset Waterproofing QA","checklist","FALSE","FALSE","Puddle flange QA","Level 5","Zone B"
"c250692c-cd7b-44d3-ae14-4fba6a50f2e3","","work-in-progress","","folder","TRUE","FALSE","Puddle flange QA","Level 6"
"ea0908c5-9b9f-4d25-9e0e-d0ce49957474","","work-in-progress","Gripset Waterproofing QA","checklist","FALSE","FALSE","Puddle flange QA","Level 6","Zone B"
"3c2449f1-69cc-465d-a295-9a194f110310","","work-in-progress","","folder","TRUE","FALSE","Balconies"
"7961d261-e75e-470f-a705-89dc31d8fa1a","","pass","","folder","TRUE","FALSE","Balconies","Level 2"
"e7fdd166-dd66-46fe-91a6-c21b6af0324c","","pass","Balcony Waterproofing QA","checklist","FALSE","FALSE","Balconies","Level 2","Zone A"
"9720245e-f90f-4a19-bfa6-19435c58991f","","pass","Balcony Waterproofing QA","checklist","FALSE","FALSE","Balconies","Level 2","Zone B"
"c84e00d7-5ec7-48de-9ec7-c4cd981cc506","","pass","","folder","TRUE","FALSE","Balconies","Level 3"
"a83597b5-b36a-479a-a416-69241cfa8aa6","","pass","Balcony Waterproofing QA","checklist","FALSE","FALSE","Balconies","Level 3","Zone A"
"d86edf93-99d6-4cdc-a3fc-a157039d8518","","pass","Balcony Waterproofing QA","checklist","FALSE","FALSE","Balconies","Level 3","Zone B"
"c252e319-b128-4850-8579-c1b49c46eb9a","","pass","","folder","TRUE","FALSE","Balconies","Level 4"
"fe89b8c6-3aa6-4b0f-a885-5f05bf7cfac3","","pass","Balcony Waterproofing QA","checklist","FALSE","FALSE","Balconies","Level 4","Zone A"
"2642c8b9-e1c3-42dc-ae69-f64148b17169","","pass","Balcony Waterproofing QA","checklist","FALSE","FALSE","Balconies","Level 4","Zone B"
"7b54808e-4366-4938-9518-ec6d6d45c96d","","work-in-progress","","folder","TRUE","FALSE","Balconies","Level 5"
"7e4b469c-8965-4105-8cdf-8965be43fb63","","work-in-progress","Balcony Waterproofing QA","checklist","FALSE","FALSE","Balconies","Level 5","Zone A"
"e810c4e6-a3de-4c3c-8b2e-304fae3e88b5","","pass","Balcony Waterproofing QA","checklist","FALSE","FALSE","Balconies","Level 5","Zone B"
"c1c1c77d-a29b-4a76-aa87-be4df1225acb","","pass","","folder","TRUE","FALSE","Balconies","Level 6"
"47f7bd51-8bc3-408c-8ea7-5297943a3f58","","pass","Balcony Waterproofing QA","checklist","FALSE","FALSE","Balconies","Level 6","Zone B"
