"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6bd3e9de-64a3-4809-9701-c565f58c43ff","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA"
"3f29ac4b-c60f-4e80-91f4-5ebd7479f4b1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Concrete QA"
"4cc61286-095f-469e-871d-8a836796dc82","","checklist-sectioned","work-in-progress","Concrete Pour Checklist","checklist","FALSE","FALSE","Project QA","Concrete QA","Ramp"
"babc00db-87ea-4be4-8135-f0675ed0d14a","","checklist-sectioned","work-in-progress","Concrete Pour Checklist","checklist","FALSE","FALSE","Project QA","Concrete QA","Ramp Walls"
"0dd7ebdb-4be9-46f6-8c68-1f74256195d1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Remedials"
"0d752fe6-59cc-4ef9-b23a-12cf4a06a32c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Documentation"
