"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1942e47a-3826-416d-83b5-670d459a4b4f","","folder-normal","pass","","step","TRUE","FALSE","Project QA"
"749cdd8e-5256-46cc-95ef-0f7e7e08089d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Concrete QA"
"2bd80420-9b9f-44f1-855e-02fce80fe299","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Remedials"
"bf5c926b-4ca5-4e2a-914c-700442d90105","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Documentation"
"c44861e3-33be-409c-a357-7157deb947b6","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Project QA","Documentation","Daily Pre Start Checklist10/10/2023 tuesday"
"88215efd-79af-4edb-be27-44725bf1361d","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Project QA","Documentation","Daily Pre Start Checklist 11/10/2023 wednesay"
"bd120dc3-7f9c-4907-b2ba-915acfccf381","","checklist-flat","pass","Add Site Toolbox Meeting Checklist","checklist-flat","FALSE","FALSE","Project QA","Documentation","Site Toolbox Meeting Checklist11/10/2023 Wednesday "
"886d2d66-4f7b-4851-8713-1b05d7b93e72","","folder-normal","pass","","step","TRUE","FALSE","Daily prestart"
"2e833409-6421-45b6-b235-56e9e91df158","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestart","Daily Pre Start Checklist 12/10/2023 thursday"
"fab1d81d-f69d-4899-821e-ef84ad996fbe","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestart","Daily Pre Start Checklist 16/10/2023 Monday"
"a209d69c-054a-460d-956a-b1839c93d3aa","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestart","Daily Pre Start Checklist09/11/2023 Thursday "
"f2c8baa0-124f-46e8-821f-e60ce5019e58","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestart","Daily Pre Start Checklist10/11/2023 Friday "
"1a7bbf24-6583-406d-9609-87289c6cf173","","folder-normal","pass","","step","TRUE","FALSE","Toolbox"
"2f59088a-b490-43df-83c8-a5a7d1c665f5","","checklist-flat","pass","Add Site Toolbox Meeting Checklist","checklist-flat","FALSE","FALSE","Toolbox","Site Toolbox Meeting Checklist 08/11/2023 Wednesday "
