"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ceb4fff8-75e2-41fa-8e86-fe2b9f3fc2a1","","folder-normal","pass","","step","TRUE","FALSE","Project QA"
"2906110f-1d0a-42e2-823f-0240c93b8a1c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Concrete QA"
"e8480d39-9cd6-4166-a20a-c3028074084d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Remedials"
"0d9c8abe-06c2-4785-9660-c28d32f6e6d3","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Documentation"
"1bc2abd4-2a3d-4aed-a06f-4f5fa11a73d5","","checklist-flat","pass","Add Site Toolbox Meeting Checklist","checklist-flat","FALSE","FALSE","Project QA","Documentation","Site Toolbox Meeting Checklist   18/10/23"
"39054720-aa3a-4d8a-9596-806223afd4e6","","folder-normal","not-started","","step","TRUE","FALSE"," East CO1 - CO4 Pour 18-08-23"
"dbd3da75-a491-4ce6-9733-a7febf668b9f","","checklist-sectioned","not-started","Concrete Pour Checklist","checklist","FALSE","FALSE"," East CO1 - CO4 Pour 18-08-23","Concrete Pour Checklist"
"5d4abf6b-bc92-4df2-9a73-8fa9a979447c","","folder-normal","work-in-progress","","step","TRUE","FALSE","East CO4 - CO7 Pour 25-08-23"
"43de94c7-1074-437b-9689-0ded1c54f558","","checklist-sectioned","work-in-progress","Concrete Pour Checklist","checklist","FALSE","FALSE","East CO4 - CO7 Pour 25-08-23","Concrete Pour Checklist"
"1551b8cc-6ea8-47d6-a396-75f9307074bd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Daily prestarts "
"b6282c14-dd2c-40fc-aa3a-f8d7c82031af","","checklist-flat","work-in-progress","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 25/9/23"
"6787afd7-7e2c-411b-8bd2-0a25e54f304e","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","26/09/2023 Daily Pre Start Checklist"
"af294793-c162-4231-9f85-31926f9e9729","","checklist-flat","work-in-progress","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","27/09/2023 Daily Pre Start Checklist"
"7cd7177d-c70f-495c-ae3a-48d3e0d20b98","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","28/09/2023Daily Pre Start Checklist"
"22a84a46-de79-4270-8c72-066ff3be44dc","","checklist-flat","work-in-progress","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","29/10/2023 Daily Pre Start Checklist"
"30a276cc-e0da-4a2a-ba7a-a02594921777","","checklist-flat","work-in-progress","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","04/10/2023 Daily Pre Start Checklist"
"3bc17989-321b-4909-a014-81fd970402f8","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","05/10/2023 Daily Pre Start Checklist"
"40b1982a-42f7-407f-9d13-2a435c972ebf","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily pre start  09/10/23"
"16038d60-065f-4476-9b2b-23674ee57e32","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 10/10/23"
"632dc585-28f1-4414-936e-0fd1ef56ff54","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 12/10/23"
"4784a1fb-6041-41b0-a4d0-7479fc6145d7","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 13/10/23"
"282910cf-2fc0-4d34-b3a2-18077b0c07c7","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 16/10/23"
"8f80e2a3-422b-4d5c-b1ed-2ac78a4620a7","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 17/10/23"
"dfd47235-d554-4b26-8eb2-fce606df4554","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 2/10/23"
"4f5cf012-ab4a-4d81-a7b3-180127ec44be","","checklist-flat","work-in-progress","Add Site Toolbox Meeting Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Site Toolbox Meeting Checklist 18/10/23"
"8056526d-c9bf-479e-81cc-dbb445beb4f4","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 6/10/23"
"21fedfb5-98db-46de-b924-a0ca3e088fcd","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 19/10/23"
"1b3eb58e-499c-4457-aee1-bd9424309733","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 20/10/23"
"2044f9dd-2679-44d3-9520-11869c6ea442","","checklist-flat","work-in-progress","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 26/10/23"
"e43d54ae-a830-4b67-ba1c-4274f5baf4ca","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist27 /10/23"
"5b070f00-e93c-4e1a-9e0a-6366c04b5a8d","","checklist-flat","work-in-progress","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 30/10/23"
"77a1252e-37c7-4c5e-a11a-c3651f441499","","checklist-flat","work-in-progress","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 31/10/23"
"b1eab777-e418-4455-b7e7-f20d990f2afb","","checklist-flat","work-in-progress","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 2/11/23"
"ce167bfd-dac3-489f-b51f-69628c66e9d5","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily prestarts ","Daily Pre Start Checklist 6/10/23"
"51f5ac53-e017-49c7-8bef-9e9e35368478","","checklist-flat","pass","Add Site Toolbox Meeting Checklist","checklist-flat","FALSE","FALSE","Site Toolbox Meeting Checklist 25/10/23"
"0da56fc0-9f50-4c5f-9f7d-588aa3327988","","checklist-flat","pass","Add Site Toolbox Meeting Checklist","checklist-flat","FALSE","FALSE","Site Toolbox Meeting Checklist"
"1f58ddb4-5201-473f-b2de-3a1c68ab9b98","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start Checklist 7/11/23"
"7f5c2a7e-9b38-4367-866b-c2950b24f1df","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start Checklist 8/11/23"
"7c1e73dc-3117-4433-8c85-eb0ca8182d6b","","checklist-flat","pass","Add Site Toolbox Meeting Checklist","checklist-flat","FALSE","FALSE","Site Toolbox Meeting Checklist"
"9fb4d0a3-5628-412f-b8aa-ace840d2a28d","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start Checklist 10/11/23"
"e56a83c3-9db8-4dd5-af90-25257399caec","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start Checklist 13/11/23"
"623368b4-b5ad-4f8d-8603-160630f42dbe","","checklist-flat","pass","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start Checklist 15/11/23"
