"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"deae3f66-88b7-400e-8368-514e4fb0b0fd","","folder-normal","pass","","step","TRUE","FALSE","Project QA"
"d28a89f2-5e91-42d3-8946-781ae66d80fa","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Concrete QA"
"a7ae0200-fc58-49a4-a319-fea3a457d599","","checklist-sectioned","pass","Concrete Pour Checklist","checklist","FALSE","FALSE","Project QA","Concrete QA","Concrete Pour Checklist"
"e556599f-3a2f-4ed0-ba53-b8d10c37a386","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Remedials"
"33ea1d07-e0f5-43a3-a6a3-0ce893466cc0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Documentation"
