type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Underground Services (Ducts) Checklist,,,,,,Underground Services (Ducts) Checklist
checkpoint,"Md, hd, orange, green, size",,,,,,
checkpoint,Depth = >600 power >450 comms,,,,,,
checkpoint,"Set out marked, and all services located",,,,,,
checkpoint,Draw tape present ,,,,,,
checkpoint,Ends covered ,,,,,,
checkpoint,Danger tape @200mm cover / mag slab ,,,,,,
,,,,,,,
checklist-flat,Cabling,,,,,,Cabling
checkpoint,Cables split btween ducts,,,,,,
checkpoint,Labelled correctly,,,,,,
checkpoint,Cables cut to correct length,,,,,,
checkpoint,Earth cable installed in trench ,,,,,,
checkpoint,Pictures / testing of earth ,,,,,,
checkpoint,Earth pits installed,,,,,,
,,,,,,,
,,,,,,,
checklist-flat,Switchboard Checklist,,,,,,Switchboard Checklist
checkpoint,Switchboard securly fastened,,,,,,
checkpoint,Switcboard bonded,,,,,,
checkpoint,Teminals correctly crimped,,,,,,
checkpoint,Lugs heat shrinked,,,,,,
checkpoint,Lugs torqued,,,,,,
checkpoint,Polarity correct,,,,,,
checkpoint,All cables tested,,,,,,
checkpoint,All labels installed ,,,,,,
checkpoint,Test sheets complete,,,,,,
checkpoint,C.O.C complete  ,,,,,,
checkpoint,R.O.I required,,,,,,
checkpoint,Live tests complete,,,,,,
