type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Stud Install,,,,,,Stud Install Checklist,
section,Details,,,,,,,
checkpoint,Washers nut and lock nut install behind sub straight ,,,,,,,
checkpoint,S/S bush install inline with weather line,,,,,,,
checkpoint,EPDM washer install between sub straight and s/s bush  ,,,,,,,
checkpoint,Correct amount of stud protruding in front of the bush ,,,,,,,
checkpoint,Top stud height to top of cap flashing ,,,,,,,
checkpoint,Centres between studs vertically ,,,,,,,
checkpoint,Centres between studs horizontally  ,,,,,,,
,,,,,,,,
,,,,,,,,
checklist,Balustrade 1,,,,,,Balustrade Checklist 1,
section,Details,,,,,,,
checkpoint,Bolts/Screws tight,,,,,,,
checkpoint,Balustrade plumb,,,,,,,
checkpoint,Handrail straight ,,,,,,,
checkpoint,Balustrade free of scratches,,,,,,,
checkpoint,Balustrade installed with no more than 100mm gap between cladding screens,,,,,,,
checkpoint,Balustrade installation 1m above the cap flashing,,,,,,,
