"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9c19783f-566b-4a4e-bd12-a14a09a5ee0f","","fail","","folder","TRUE","FALSE","Site QA"
"ab6f9ee6-6599-4c7c-8d66-d37492459fe8","","work-in-progress","","folder","TRUE","FALSE","Site QA","Level 0"
"0cf27cc7-bc8e-435c-88e5-e73fae0134de","","not-applicable","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-21"
"1e4eae00-5668-45ce-91a8-55b7c8850dbb","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-07"
"d1744022-68a5-4d14-8392-95e00cfe2db5","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-18"
"4b74097d-7fae-4e67-9cab-3360c26cce73","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-03"
"5bacb835-0b40-4495-93f1-727382a50ce7","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-06"
"73fc992b-2bd0-467d-84dc-e29d5ff016e8","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-12"
"c42de8c2-385f-4e18-8bc9-f80cdea65b6e","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-13"
"1ec0f277-baad-46e0-aa8f-7eff83e0e17e","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-19"
"0c532242-1f97-43b6-97a4-e86d718cfba3","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-04"
"8cf0b91f-d1fd-452f-8a44-b7bb0d61273c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Site QA","Level 0","Level 0 Window No. A0-10"
