Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,,,,,,,
8dc3ae88-3f32-5437-9a16-ef8987538cd1,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0,Level 0 Window No. A0-15,"Two-sided structural glazing on site (Mullions / Transoms) Cavity free form dust / dirt, Perimeter seal completed. No visible cavities between silicone and tape. Silicone joints are neat & tidy.",,,,,,,,,
5d4dc608-0ce2-5864-8de4-4221d75b1df5,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0,Level 0 Window No. A0-17,"Two-sided structural glazing on site (Mullions / Transoms) Cavity free form dust / dirt, Perimeter seal completed. No visible cavities between silicone and tape. Silicone joints are neat & tidy.",,,,,,,,,
c76cf45f-c866-5802-9056-0e99531ad143,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0,Level 0 Window No. A0-16,"Two-sided structural glazing on site (Mullions / Transoms) Cavity free form dust / dirt, Perimeter seal completed. No visible cavities between silicone and tape. Silicone joints are neat & tidy.",,,,,,,,,
4e7428d6-cf3f-5d6c-ab49-76496fb0e224,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Level 1 Window No. B5-05,"Two-sided structural glazing on site (Mullions / Transoms) Cavity free form dust / dirt, Perimeter seal completed. No visible cavities between silicone and tape. Silicone joints are neat & tidy.",,,,,,,,,
694b4204-d61f-583e-a1d3-d2d1201942b1,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Level 1 Window No. A1-16,"Two-sided structural glazing on site (Mullions / Transoms) Cavity free form dust / dirt, Perimeter seal completed. No visible cavities between silicone and tape. Silicone joints are neat & tidy.",,,,,,,,,
e59e2d6a-8620-5144-9493-129154c04fbd,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Level 1 Window No. A1-26,"Two-sided structural glazing on site (Mullions / Transoms) Cavity free form dust / dirt, Perimeter seal completed. No visible cavities between silicone and tape. Silicone joints are neat & tidy.",,,,,,,,,
c39b4279-0f88-5ae2-9871-a729027b52d7,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Level 1 Window No. A1-15,"Two-sided structural glazing on site (Mullions / Transoms) Cavity free form dust / dirt, Perimeter seal completed. No visible cavities between silicone and tape. Silicone joints are neat & tidy.",,,,,,,,,
61e59304-6fb8-581e-a451-82d49820c907,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Level 1 Window No. A1-06 ,"Two-sided structural glazing on site (Mullions / Transoms) Cavity free form dust / dirt, Perimeter seal completed. No visible cavities between silicone and tape. Silicone joints are neat & tidy.",,,,,,,,,
c598e64f-ae16-55c8-85ee-ed018c603d29,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Level 1 Window No. A1-34 ,"Two-sided structural glazing on site (Mullions / Transoms) Cavity free form dust / dirt, Perimeter seal completed. No visible cavities between silicone and tape. Silicone joints are neat & tidy.",,,,,,,,,
8bd12243-fdd5-588b-bf2b-f3f6a4647618,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 1 ,Level 1 Window No. B1-10,"Two-sided structural glazing on site (Mullions / Transoms) Cavity free form dust / dirt, Perimeter seal completed. No visible cavities between silicone and tape. Silicone joints are neat & tidy.",,,,,,,,,
