"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9f32b121-294c-435c-8bc0-62bdfc5db344","","checklist-sectioned","not-started","Waterproofing Installation Checklist","checklist","FALSE","FALSE","Site QA","Tanks","Supply and install waterproofing to floor & walls"
"3d2e2a56-6bf3-4e4b-b7c8-70f4a6aaf765","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Epoxy Flooring"
"4e6983b1-d9cf-4ba0-9945-6cc342b71180","","checklist-sectioned","not-started","Waterproofing Installation Checklist","checklist","FALSE","FALSE","Site QA","Epoxy Flooring","Supply and install waterproofing to floor with 300mm upturns"
"e1a99a76-6d91-4ff2-99b4-f4a3907d034a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Roof"
"ece42483-6509-479d-bae5-9ea0fc468b12","","checklist-sectioned","not-started","Waterproofing Installation Checklist","checklist","FALSE","FALSE","Site QA","Roof","Supply and install waterproofing additive to concrete slab "
"d9f1ccc4-59b0-4223-b85e-4997307b52b3","","checklist-sectioned","not-started","Waterproofing Installation Checklist","checklist","FALSE","FALSE","Site QA","Roof","Supply and install waterproofing additive to perimeter hob "
"27ac7a24-a89e-46d8-a0de-61156de9b163","","checklist-flat","not-started","Waterstop - Supply and Install Checklist","checklist-flat","FALSE","FALSE","Site QA","Roof","Supply and install waterstops to perimeter underneath hob "
"139f8b60-5761-4be2-bf66-ad7c01a28e09","","checklist-flat","not-started","Waterstop - Supply and Install Checklist","checklist-flat","FALSE","FALSE","Site QA","Roof","Supply and install waterstops to refuse shute, lobby relief, roof access hatch penetrating slab "
"49529ecc-166e-4951-afae-8b9f91ff3912","","checklist-sectioned","not-started","Waterproofing Installation Checklist","checklist","FALSE","FALSE","Site QA","Roof","Supply and install penetrating concrete sealer"
"a94dad24-6031-43b6-bdfc-42dc88068c11","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sunhoods/Slab Projections"
"df754c71-a7ff-46bf-add7-d0f75d200bac","","checklist-sectioned","not-started","Waterproofing Installation Checklist","checklist","FALSE","FALSE","Site QA","Sunhoods/Slab Projections","Supply and install waterproofing to floor with upturns"
"7945d10c-88c8-422c-b8c9-69c684ae5ec8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Window Reveals - External"
"f8f9886f-b770-4b27-aafc-cbe615943698","","checklist-sectioned","work-in-progress","Waterproofing Installation Checklist","checklist","FALSE","FALSE","Site QA","Window Reveals - External","Supply and install waterproofing to Window reveals"
