"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8f5c9fab-4037-4436-8dc2-524e14ebf2ad","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","12 - Gridline A-B – Low Voltage 1 x 100."
"48878fbc-32d7-426a-a162-8349c98f2475","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","13 - Gridline A-B – Low Voltage 1 x 100."
"727b80c3-bbbf-4893-9ea5-5466f9fa7271","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","14 - Gridline B – Low Voltage 1 x 100."
"d8cd4b6d-f658-4300-a493-85a63fa71cb1","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","15 - Gridline B – Low Voltage 1 x 100."
"f0db974a-0a85-40b7-a63d-9db2c0fb4223","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","16 - Gridline B-D – Low Voltage 1 x 100."
"3a7ab589-4a9f-4402-9c56-80ba3b9e29b9","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","17 - Gridline E-F – Low Voltage 13 x 100 + 2 x 50."
"d2ddc6d5-1e76-450c-aaf9-881660416d8e","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","18 - Gridline F-G – Low Voltage 12 x 100 + 2 x 50."
"06f59845-626e-4aae-a4f8-85fbb0328a18","","pass","Master HV Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","19 - Gridline F-G – High Voltage 11 x 150."
"2ae27ecb-3f14-4bde-874e-6b8ab90b1777","","pass","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","20 - Gridline F-G – Comms 1 x 150."
"720768b3-8226-4000-9315-bcd7e2772af0","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","21 - Gridline F-G – Low Voltage 1 x 150."
"c09935f7-1049-4a2f-b621-2c22d6ecf304","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","22 - Gridline F-G – Comms 1 x 150."
"48c3ffa3-d199-42fb-a49e-a4591de30113","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","23 - Gridline G – Low Voltage 1 x 100."
"53b4b17b-d510-4196-a467-cf0d74ee374d","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","24 - Gridline G – Comms 1 x 100."
"a32fc313-7e4b-42e4-86f5-86903a72e3ea","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","25 - Gridline D-G – Low Voltage 1 x 80."
"a5458386-1b16-44e5-850e-3e531baada36","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","26 - Gridline D-G – Low Voltage 1 x 80."
"5cd9dd98-cca0-4ce6-949f-d39c94d8b305","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","27 - Gridline D-G – Low Voltage 1 x 80."
"c5f1025d-f566-443f-bfc0-372f97465fb0","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","28 - Gridline D-G – Low Voltage 1 x 50."
"25cc80f1-3b55-4d50-b0f6-8c5289d890ce","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","29 - Gridline E-G – Comms 1 x 80."
"1b28e7fb-2f20-4f8b-85f6-56d2286dc0f9","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","30 - Gridline E-G – Low Voltage 1 x 80."
"27c97fbc-80c6-4311-8a6d-0d8666f3ce12","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","31 - Gridline E-D – Low Voltage 1 x 80."
"c0b425bc-b26d-49d3-a0a0-a8ee066350fe","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","32 - Gridline E-D – Comms 1 x 80."
"71aca5ff-0a52-45d5-96d4-fa6cde854638","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","33 - Gridline E-D – Low Voltage 1 x 80."
"4800a512-6adc-41e6-872c-1806e3306745","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","34 - Gridline F-G – Comms 1 x 100."
"c23cb136-8cdb-46ec-9a47-35073dcc5310","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","35 - Gridline F-G – Low Voltage 1 x 100."
"1f506982-f93e-4001-ba77-31a948e3e47f","","not-started","Master HV Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","36 - Gridline G-I – High Voltage 12 x 100 + 2 x 50."
"d4b91042-8499-49df-b16b-edd8377c1c0f","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","37 - Gridline G – Low Voltage 6 x 150."
"e9f00b64-d8a9-4ac5-880c-b870ab831310","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","38 - Gridline G-I – Low Voltage 6 x 150 + 1 x 100."
"476d5b38-c748-436b-8622-ed701d4fcbcd","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","39 - Gridline H – Comms 4 x 100."
"d34ba49b-6aaf-4571-9655-8af1c0db3e31","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","40 - Gridline H-I – Comms 1 x 100."
"16a0cbb3-ad9a-4874-8d7b-3a6b8ec4d256","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","41 - Gridline H-I – Comms 4 x 100."
"d2f6b98e-19f8-4ee5-bac6-62197fce60c9","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","42 - Gridline I – Low Voltage 1 x 100."
"2b04bf2f-3677-44f5-bcb0-92ca708a07a2","","not-started","Master Ducting Installation","checklist","FALSE","FALSE","Cable Containment","DUCTING - EXTERNAL","43 - Gridline I-K – Low Voltage 3 x 150."
